forecast_date,target,target_end_date,location,type,quantile,value
2021-04-19,1 wk ahead inc case,2021-04-24,AT,point,NA,19397.776007191776
2021-04-19,1 wk ahead inc case,2021-04-24,AT,quantile,0.025,13527.574659914631
2021-04-19,1 wk ahead inc case,2021-04-24,AT,quantile,0.1,15559.457657464312
2021-04-19,1 wk ahead inc case,2021-04-24,AT,quantile,0.25,17377.6416212761
2021-04-19,1 wk ahead inc case,2021-04-24,AT,quantile,0.5,19397.776007191776
2021-04-19,1 wk ahead inc case,2021-04-24,AT,quantile,0.75,21417.910393107453
2021-04-19,1 wk ahead inc case,2021-04-24,AT,quantile,0.9,23236.094356919242
2021-04-19,1 wk ahead inc case,2021-04-24,AT,quantile,0.975,25267.97735446892
2021-04-19,2 wk ahead inc case,2021-05-01,AT,point,NA,16952.873763520896
2021-04-19,2 wk ahead inc case,2021-05-01,AT,quantile,0.025,9259.08195701789
2021-04-19,2 wk ahead inc case,2021-05-01,AT,quantile,0.1,11922.173703533826
2021-04-19,2 wk ahead inc case,2021-05-01,AT,quantile,0.25,14305.180359681812
2021-04-19,2 wk ahead inc case,2021-05-01,AT,quantile,0.5,16952.873763520896
2021-04-19,2 wk ahead inc case,2021-05-01,AT,quantile,0.75,19600.567167359983
2021-04-19,2 wk ahead inc case,2021-05-01,AT,quantile,0.9,21983.573823507966
2021-04-19,2 wk ahead inc case,2021-05-01,AT,quantile,0.975,24646.6655700239
2021-04-19,3 wk ahead inc case,2021-05-08,AT,point,NA,19275.130095284185
2021-04-19,3 wk ahead inc case,2021-05-08,AT,quantile,0.025,11723.268741239535
2021-04-19,3 wk ahead inc case,2021-05-08,AT,quantile,0.1,14337.233369940606
2021-04-19,3 wk ahead inc case,2021-05-08,AT,quantile,0.25,16676.279749878297
2021-04-19,3 wk ahead inc case,2021-05-08,AT,quantile,0.5,19275.130095284185
2021-04-19,3 wk ahead inc case,2021-05-08,AT,quantile,0.75,21873.980440690073
2021-04-19,3 wk ahead inc case,2021-05-08,AT,quantile,0.9,24213.02682062776
2021-04-19,3 wk ahead inc case,2021-05-08,AT,quantile,0.975,26826.99144932883
2021-04-19,4 wk ahead inc case,2021-05-15,AT,point,NA,33638.827885887
2021-04-19,4 wk ahead inc case,2021-05-15,AT,quantile,0.025,25890.62185622733
2021-04-19,4 wk ahead inc case,2021-05-15,AT,quantile,0.1,28572.548277793758
2021-04-19,4 wk ahead inc case,2021-05-15,AT,quantile,0.25,30972.408711537057
2021-04-19,4 wk ahead inc case,2021-05-15,AT,quantile,0.5,33638.827885887
2021-04-19,4 wk ahead inc case,2021-05-15,AT,quantile,0.75,36305.24706023695
2021-04-19,4 wk ahead inc case,2021-05-15,AT,quantile,0.9,38705.10749398025
2021-04-19,4 wk ahead inc case,2021-05-15,AT,quantile,0.975,41387.03391554667
2021-04-19,1 wk ahead inc case,2021-04-24,BE,point,NA,25456.03004186449
2021-04-19,1 wk ahead inc case,2021-04-24,BE,quantile,0.025,17908.1495141864
2021-04-19,1 wk ahead inc case,2021-04-24,BE,quantile,0.1,20520.73623897381
2021-04-19,1 wk ahead inc case,2021-04-24,BE,quantile,0.25,22858.549633152714
2021-04-19,1 wk ahead inc case,2021-04-24,BE,quantile,0.5,25456.03004186449
2021-04-19,1 wk ahead inc case,2021-04-24,BE,quantile,0.75,28053.51045057627
2021-04-19,1 wk ahead inc case,2021-04-24,BE,quantile,0.9,30391.323844755174
2021-04-19,1 wk ahead inc case,2021-04-24,BE,quantile,0.975,33003.91056954258
2021-04-19,2 wk ahead inc case,2021-05-01,BE,point,NA,19433.017349409478
2021-04-19,2 wk ahead inc case,2021-05-01,BE,quantile,0.025,0.0
2021-04-19,2 wk ahead inc case,2021-05-01,BE,quantile,0.1,4546.843909979019
2021-04-19,2 wk ahead inc case,2021-05-01,BE,quantile,0.25,11598.317853513488
2021-04-19,2 wk ahead inc case,2021-05-01,BE,quantile,0.5,19433.017349409478
2021-04-19,2 wk ahead inc case,2021-05-01,BE,quantile,0.75,27267.71684530547
2021-04-19,2 wk ahead inc case,2021-05-01,BE,quantile,0.9,34319.19078883994
2021-04-19,2 wk ahead inc case,2021-05-01,BE,quantile,0.975,42199.4549968106
2021-04-19,3 wk ahead inc case,2021-05-08,BE,point,NA,18687.37407397059
2021-04-19,3 wk ahead inc case,2021-05-08,BE,quantile,0.025,6429.148509428853
2021-04-19,3 wk ahead inc case,2021-05-08,BE,quantile,0.1,10672.15119898298
2021-04-19,3 wk ahead inc case,2021-05-08,BE,quantile,0.25,14468.904977552349
2021-04-19,3 wk ahead inc case,2021-05-08,BE,quantile,0.5,18687.37407397059
2021-04-19,3 wk ahead inc case,2021-05-08,BE,quantile,0.75,22905.84317038883
2021-04-19,3 wk ahead inc case,2021-05-08,BE,quantile,0.9,26702.5969489582
2021-04-19,3 wk ahead inc case,2021-05-08,BE,quantile,0.975,30945.599638512325
2021-04-19,4 wk ahead inc case,2021-05-15,BE,point,NA,18808.341107914224
2021-04-19,4 wk ahead inc case,2021-05-15,BE,quantile,0.025,18768.46566095263
2021-04-19,4 wk ahead inc case,2021-05-15,BE,quantile,0.1,18782.267954589206
2021-04-19,4 wk ahead inc case,2021-05-15,BE,quantile,0.25,18794.618620933732
2021-04-19,4 wk ahead inc case,2021-05-15,BE,quantile,0.5,18808.341107914224
2021-04-19,4 wk ahead inc case,2021-05-15,BE,quantile,0.75,18822.063594894717
2021-04-19,4 wk ahead inc case,2021-05-15,BE,quantile,0.9,18834.414261239242
2021-04-19,4 wk ahead inc case,2021-05-15,BE,quantile,0.975,18848.21655487582
2021-04-19,1 wk ahead inc case,2021-04-24,BG,point,NA,15898.875289179668
2021-04-19,1 wk ahead inc case,2021-04-24,BG,quantile,0.025,7456.355256053474
2021-04-19,1 wk ahead inc case,2021-04-24,BG,quantile,0.1,10378.60815624378
2021-04-19,1 wk ahead inc case,2021-04-24,BG,quantile,0.25,12993.519235147376
2021-04-19,1 wk ahead inc case,2021-04-24,BG,quantile,0.5,15898.875289179668
2021-04-19,1 wk ahead inc case,2021-04-24,BG,quantile,0.75,18804.231343211963
2021-04-19,1 wk ahead inc case,2021-04-24,BG,quantile,0.9,21419.142422115558
2021-04-19,1 wk ahead inc case,2021-04-24,BG,quantile,0.975,24341.395322305863
2021-04-19,2 wk ahead inc case,2021-05-01,BG,point,NA,12920.687119140624
2021-04-19,2 wk ahead inc case,2021-05-01,BG,quantile,0.025,0.0
2021-04-19,2 wk ahead inc case,2021-05-01,BG,quantile,0.1,2825.7759719089117
2021-04-19,2 wk ahead inc case,2021-05-01,BG,quantile,0.25,7607.663218261159
