"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"BE","point",NA,1067
"2021-11-01","2 wk ahead inc hosp",2021-11-13,"BE","point",NA,2231
"2021-11-01","3 wk ahead inc hosp",2021-11-20,"BE","point",NA,2938
"2021-11-01","4 wk ahead inc hosp",2021-11-27,"BE","point",NA,3570
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"BE","quantile",0.01,919
"2021-11-01","2 wk ahead inc hosp",2021-11-13,"BE","quantile",0.01,351
"2021-11-01","3 wk ahead inc hosp",2021-11-20,"BE","quantile",0.01,390
"2021-11-01","4 wk ahead inc hosp",2021-11-27,"BE","quantile",0.01,324
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"BE","quantile",0.025,922
"2021-11-01","2 wk ahead inc hosp",2021-11-13,"BE","quantile",0.025,352
"2021-11-01","3 wk ahead inc hosp",2021-11-20,"BE","quantile",0.025,391
"2021-11-01","4 wk ahead inc hosp",2021-11-27,"BE","quantile",0.025,325
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"BE","quantile",0.05,926
"2021-11-01","2 wk ahead inc hosp",2021-11-13,"BE","quantile",0.05,353
"2021-11-01","3 wk ahead inc hosp",2021-11-20,"BE","quantile",0.05,393
"2021-11-01","4 wk ahead inc hosp",2021-11-27,"BE","quantile",0.05,327
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"BE","quantile",0.1,941
"2021-11-01","2 wk ahead inc hosp",2021-11-13,"BE","quantile",0.1,359
"2021-11-01","3 wk ahead inc hosp",2021-11-20,"BE","quantile",0.1,399
"2021-11-01","4 wk ahead inc hosp",2021-11-27,"BE","quantile",0.1,332
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"BE","quantile",0.15,965
"2021-11-01","2 wk ahead inc hosp",2021-11-13,"BE","quantile",0.15,368
"2021-11-01","3 wk ahead inc hosp",2021-11-20,"BE","quantile",0.15,409
"2021-11-01","4 wk ahead inc hosp",2021-11-27,"BE","quantile",0.15,340
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"BE","quantile",0.2,990
"2021-11-01","2 wk ahead inc hosp",2021-11-13,"BE","quantile",0.2,378
"2021-11-01","3 wk ahead inc hosp",2021-11-20,"BE","quantile",0.2,420
"2021-11-01","4 wk ahead inc hosp",2021-11-27,"BE","quantile",0.2,349
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"BE","quantile",0.25,1015
"2021-11-01","2 wk ahead inc hosp",2021-11-13,"BE","quantile",0.25,387
"2021-11-01","3 wk ahead inc hosp",2021-11-20,"BE","quantile",0.25,430
"2021-11-01","4 wk ahead inc hosp",2021-11-27,"BE","quantile",0.25,358
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"BE","quantile",0.3,1018
"2021-11-01","2 wk ahead inc hosp",2021-11-13,"BE","quantile",0.3,388
"2021-11-01","3 wk ahead inc hosp",2021-11-20,"BE","quantile",0.3,431
"2021-11-01","4 wk ahead inc hosp",2021-11-27,"BE","quantile",0.3,359
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"BE","quantile",0.35,1027
"2021-11-01","2 wk ahead inc hosp",2021-11-13,"BE","quantile",0.35,392
"2021-11-01","3 wk ahead inc hosp",2021-11-20,"BE","quantile",0.35,435
"2021-11-01","4 wk ahead inc hosp",2021-11-27,"BE","quantile",0.35,362
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"BE","quantile",0.4,1051
"2021-11-01","2 wk ahead inc hosp",2021-11-13,"BE","quantile",0.4,401
"2021-11-01","3 wk ahead inc hosp",2021-11-20,"BE","quantile",0.4,446
"2021-11-01","4 wk ahead inc hosp",2021-11-27,"BE","quantile",0.4,371
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"BE","quantile",0.45,1062
"2021-11-01","2 wk ahead inc hosp",2021-11-13,"BE","quantile",0.45,405
"2021-11-01","3 wk ahead inc hosp",2021-11-20,"BE","quantile",0.45,450
"2021-11-01","4 wk ahead inc hosp",2021-11-27,"BE","quantile",0.45,375
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"BE","quantile",0.5,1067
"2021-11-01","2 wk ahead inc hosp",2021-11-13,"BE","quantile",0.5,2231
"2021-11-01","3 wk ahead inc hosp",2021-11-20,"BE","quantile",0.5,2938
"2021-11-01","4 wk ahead inc hosp",2021-11-27,"BE","quantile",0.5,3570
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"BE","quantile",0.55,1101
"2021-11-01","2 wk ahead inc hosp",2021-11-13,"BE","quantile",0.55,12628
"2021-11-01","3 wk ahead inc hosp",2021-11-20,"BE","quantile",0.55,19723
"2021-11-01","4 wk ahead inc hosp",2021-11-27,"BE","quantile",0.55,34997
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"BE","quantile",0.6,1125
"2021-11-01","2 wk ahead inc hosp",2021-11-13,"BE","quantile",0.6,12903
"2021-11-01","3 wk ahead inc hosp",2021-11-20,"BE","quantile",0.6,20152
"2021-11-01","4 wk ahead inc hosp",2021-11-27,"BE","quantile",0.6,35757
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"BE","quantile",0.65,1128
"2021-11-01","2 wk ahead inc hosp",2021-11-13,"BE","quantile",0.65,12928
"2021-11-01","3 wk ahead inc hosp",2021-11-20,"BE","quantile",0.65,20191
"2021-11-01","4 wk ahead inc hosp",2021-11-27,"BE","quantile",0.65,35827
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"BE","quantile",0.7,1131
"2021-11-01","2 wk ahead inc hosp",2021-11-13,"BE","quantile",0.7,12962
"2021-11-01","3 wk ahead inc hosp",2021-11-20,"BE","quantile",0.7,20244
"2021-11-01","4 wk ahead inc hosp",2021-11-27,"BE","quantile",0.7,35920
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"BE","quantile",0.75,1134
"2021-11-01","2 wk ahead inc hosp",2021-11-13,"BE","quantile",0.75,13000
"2021-11-01","3 wk ahead inc hosp",2021-11-20,"BE","quantile",0.75,20303
"2021-11-01","4 wk ahead inc hosp",2021-11-27,"BE","quantile",0.75,36026
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"BE","quantile",0.8,1179
"2021-11-01","2 wk ahead inc hosp",2021-11-13,"BE","quantile",0.8,13522
"2021-11-01","3 wk ahead inc hosp",2021-11-20,"BE","quantile",0.8,21119
"2021-11-01","4 wk ahead inc hosp",2021-11-27,"BE","quantile",0.8,37474
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"BE","quantile",0.85,1242
"2021-11-01","2 wk ahead inc hosp",2021-11-13,"BE","quantile",0.85,14241
"2021-11-01","3 wk ahead inc hosp",2021-11-20,"BE","quantile",0.85,22241
"2021-11-01","4 wk ahead inc hosp",2021-11-27,"BE","quantile",0.85,39465
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"BE","quantile",0.9,1339
"2021-11-01","2 wk ahead inc hosp",2021-11-13,"BE","quantile",0.9,15351
"2021-11-01","3 wk ahead inc hosp",2021-11-20,"BE","quantile",0.9,23976
"2021-11-01","4 wk ahead inc hosp",2021-11-27,"BE","quantile",0.9,42543
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"BE","quantile",0.95,1448
"2021-11-01","2 wk ahead inc hosp",2021-11-13,"BE","quantile",0.95,16597
"2021-11-01","3 wk ahead inc hosp",2021-11-20,"BE","quantile",0.95,25922
"2021-11-01","4 wk ahead inc hosp",2021-11-27,"BE","quantile",0.95,45996
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"BE","quantile",0.975,1505
"2021-11-01","2 wk ahead inc hosp",2021-11-13,"BE","quantile",0.975,17254
"2021-11-01","3 wk ahead inc hosp",2021-11-20,"BE","quantile",0.975,26948
"2021-11-01","4 wk ahead inc hosp",2021-11-27,"BE","quantile",0.975,47816
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"BE","quantile",0.99,1539
"2021-11-01","2 wk ahead inc hosp",2021-11-13,"BE","quantile",0.99,17648
"2021-11-01","3 wk ahead inc hosp",2021-11-20,"BE","quantile",0.99,27563
"2021-11-01","4 wk ahead inc hosp",2021-11-27,"BE","quantile",0.99,48908
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"HR","point",NA,906
"2021-11-01","2 wk ahead inc hosp",2021-11-13,"HR","point",NA,1533
"2021-11-01","3 wk ahead inc hosp",2021-11-20,"HR","point",NA,2166
"2021-11-01","4 wk ahead inc hosp",2021-11-27,"HR","point",NA,2600
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"HR","quantile",0.01,569
"2021-11-01","2 wk ahead inc hosp",2021-11-13,"HR","quantile",0.01,963
"2021-11-01","3 wk ahead inc hosp",2021-11-20,"HR","quantile",0.01,1360
"2021-11-01","4 wk ahead inc hosp",2021-11-27,"HR","quantile",0.01,1275
"2021-11-01","1 wk ahead inc hosp",2021-11-06,"HR","quantile",0.025,580
