model,location,truth_data_source,starting_from
FIAS_FZJ-Epi1Ger,GM,ECDC,2020-01-01
FIAS_FZJ-Epi1Ger,GM07,ECDC,2020-01-01
Geneva-DeterministicGrowth,GM,ECDC,2020-01-01
Geneva-DeterministicGrowth,PL,ECDC,2020-01-01
IHME-CurveFit,GM,ECDC,2020-01-01
IHME-CurveFit,GM01,ECDC,2020-01-01
IHME-CurveFit,GM02,ECDC,2020-01-01
IHME-CurveFit,GM03,ECDC,2020-01-01
IHME-CurveFit,GM04,ECDC,2020-01-01
IHME-CurveFit,GM05,ECDC,2020-01-01
IHME-CurveFit,GM06,ECDC,2020-01-01
IHME-CurveFit,GM07,ECDC,2020-01-01
IHME-CurveFit,GM08,ECDC,2020-01-01
IHME-CurveFit,GM09,ECDC,2020-01-01
IHME-CurveFit,GM10,ECDC,2020-01-01
IHME-CurveFit,GM11,ECDC,2020-01-01
IHME-CurveFit,GM12,ECDC,2020-01-01
IHME-CurveFit,GM13,ECDC,2020-01-01
IHME-CurveFit,GM14,ECDC,2020-01-01
IHME-CurveFit,GM15,ECDC,2020-01-01
IHME-CurveFit,GM16,ECDC,2020-01-01
IHME-CurveFit,PL,JHU,2020-01-01
Imperial-ensemble1,GM,ECDC,2020-01-01
Imperial-ensemble2,GM,ECDC,2020-01-01
Imperial-ensemble1,PL,ECDC,2020-01-01
Imperial-ensemble2,PL,ECDC,2020-01-01
JGU_UHH-SMM,GM,ECDC,2020-01-01
KIT-baseline,GM,ECDC,2020-01-01
KIT-baseline,GM01,ECDC,2020-01-01
KIT-baseline,GM02,ECDC,2020-01-01
KIT-baseline,GM03,ECDC,2020-01-01
KIT-baseline,GM04,ECDC,2020-01-01
KIT-baseline,GM05,ECDC,2020-01-01
KIT-baseline,GM06,ECDC,2020-01-01
KIT-baseline,GM07,ECDC,2020-01-01
KIT-baseline,GM08,ECDC,2020-01-01
KIT-baseline,GM09,ECDC,2020-01-01
KIT-baseline,GM10,ECDC,2020-01-01
KIT-baseline,GM11,ECDC,2020-01-01
KIT-baseline,GM12,ECDC,2020-01-01
KIT-baseline,GM13,ECDC,2020-01-01
KIT-baseline,GM14,ECDC,2020-01-01
KIT-baseline,GM15,ECDC,2020-01-01
KIT-baseline,GM16,ECDC,2020-01-01
KIT-baseline,PL,ECDC,2020-01-01
KITCOVIDhub-mean_ensemble,GM,ECDC,2020-01-01
KITCOVIDhub-mean_ensemble,GM01,ECDC,2020-01-01
KITCOVIDhub-mean_ensemble,GM02,ECDC,2020-01-01
KITCOVIDhub-mean_ensemble,GM03,ECDC,2020-01-01
KITCOVIDhub-mean_ensemble,GM04,ECDC,2020-01-01
KITCOVIDhub-mean_ensemble,GM05,ECDC,2020-01-01
KITCOVIDhub-mean_ensemble,GM06,ECDC,2020-01-01
KITCOVIDhub-mean_ensemble,GM07,ECDC,2020-01-01
KITCOVIDhub-mean_ensemble,GM08,ECDC,2020-01-01
KITCOVIDhub-mean_ensemble,GM09,ECDC,2020-01-01
KITCOVIDhub-mean_ensemble,GM10,ECDC,2020-01-01
