country,source,type,truncate_weeks
Belgium,Public,Scraped,0
Croatia,Public,Scraped,1
Cyprus,TESSy,ECDC,0
Czechia,TESSy,ECDC,0
Denmark,Public,Scraped,0
Estonia,Public,Scraped,0
France,Public,Scraped,0
Germany,NA,NA,NA
Greece,TESSy,ECDC,0
Iceland,TESSy,ECDC,0
Ireland,Public,Scraped,1
Italy,TESSy,ECDC,0
Latvia,TESSy,ECDC,0
Liechtenstein,TESSy,ECDC,0
Lithuania,TESSy,ECDC,0
Luxembourg,TESSy,ECDC,0
Malta,TESSy,ECDC,0
Netherlands,TESSy,ECDC,0
Norway,Public,ECDC,0
Poland,TESSy,Scraped,0
Portugal,TESSy,ECDC,0
Romania,NA,NA,NA
Slovakia,TESSy,ECDC,0
Slovenia,Public,ECDC,0
Spain,TESSy,ECDC,0
United Kingdom,NA,NA,NA
