model,target_variable,location,all_quantiles_all_horizons,all_horizons,not_excluded_manually,rel_wis,included_in_ensemble
ECDC-norrsken_blue,inc case,AT,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc case,BE,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc case,BG,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc case,CZ,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc case,DK,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc case,EE,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc case,GR,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc case,HR,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc case,HU,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc case,IE,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc case,IS,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc case,IT,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc case,LI,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc case,LT,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc case,LU,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc case,MT,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc case,NL,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc case,NO,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc case,PL,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc case,PT,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc case,RO,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc case,SE,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc case,SI,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc case,SK,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc death,BG,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc death,EE,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc death,GR,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc death,LI,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc death,LT,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc death,MT,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc death,PL,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc death,PT,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_blue,inc death,RO,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_green,inc case,AT,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_green,inc case,BE,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_green,inc case,BG,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_green,inc case,CZ,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_green,inc case,DK,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_green,inc case,EE,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_green,inc case,GR,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_green,inc case,HR,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_green,inc case,HU,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_green,inc case,IE,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_green,inc case,IS,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_green,inc case,IT,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_green,inc case,LI,TRUE,TRUE,TRUE,TRUE,TRUE
ECDC-norrsken_green,inc case,LT,TRUE,TRUE,TRUE,TRUE,TRUE
