forecast_date,method
2021-03-08,mean
2021-03-15,mean
2021-03-22,mean
2021-03-29,mean
2021-04-05,mean
2021-04-12,mean
2021-04-19,mean
2021-04-26,mean
2021-05-03,mean
2021-05-10,mean
2021-05-17,mean
2021-05-24,mean
2021-05-31,mean
2021-06-07,mean
2021-06-14,mean
2021-06-21,mean
2021-06-28,mean
2021-07-05,mean
2021-07-12,mean
2021-07-19,median
2021-07-26,median
2021-08-02,median
2021-08-09,median
2021-08-16,median
2021-08-23,median
2021-08-30,median
2021-09-06,median
2021-09-13,median
2021-09-20,median
2021-09-27,median
2021-10-04,median
2021-10-11,median
2021-10-18,median
2021-10-25,median
2021-11-01,median
2021-11-08,median
