forecast_date,target,target_end_date,location,type,quantile,value
2021-03-15,1 wk ahead inc case,2021-03-20,AT,quantile,0.01,14529.691222824622
2021-03-15,1 wk ahead inc case,2021-03-20,AT,quantile,0.025,15053.88373133765
2021-03-15,1 wk ahead inc case,2021-03-20,AT,quantile,0.05,15589.848843529357
2021-03-15,1 wk ahead inc case,2021-03-20,AT,quantile,0.1,16307.769562979356
2021-03-15,1 wk ahead inc case,2021-03-20,AT,quantile,0.15,16824.045462755534
2021-03-15,1 wk ahead inc case,2021-03-20,AT,quantile,0.2,17755.048564028828
2021-03-15,1 wk ahead inc case,2021-03-20,AT,quantile,0.25,18580.764956459487
2021-03-15,1 wk ahead inc case,2021-03-20,AT,quantile,0.3,18935.48675421106
2021-03-15,1 wk ahead inc case,2021-03-20,AT,quantile,0.35,19250.748655837117
2021-03-15,1 wk ahead inc case,2021-03-20,AT,quantile,0.4,19634.69667954376
2021-03-15,1 wk ahead inc case,2021-03-20,AT,quantile,0.45,20051.970353105327
2021-03-15,1 wk ahead inc case,2021-03-20,AT,quantile,0.5,20412.655161262097
2021-03-15,1 wk ahead inc case,2021-03-20,AT,quantile,0.55,20800.724141170354
2021-03-15,1 wk ahead inc case,2021-03-20,AT,quantile,0.6,21219.21231906698
2021-03-15,1 wk ahead inc case,2021-03-20,AT,quantile,0.65,21631.299248989908
2021-03-15,1 wk ahead inc case,2021-03-20,AT,quantile,0.7,21977.29059018578
2021-03-15,1 wk ahead inc case,2021-03-20,AT,quantile,0.75,22335.46362545021
2021-03-15,1 wk ahead inc case,2021-03-20,AT,quantile,0.8,22746.22384150521
2021-03-15,1 wk ahead inc case,2021-03-20,AT,quantile,0.85,23219.56951462083
2021-03-15,1 wk ahead inc case,2021-03-20,AT,quantile,0.9,23828.407147918842
2021-03-15,1 wk ahead inc case,2021-03-20,AT,quantile,0.95,24760.25934614231
2021-03-15,1 wk ahead inc case,2021-03-20,AT,quantile,0.975,25618.730940559908
2021-03-15,1 wk ahead inc case,2021-03-20,AT,quantile,0.99,26506.035276273662
2021-03-15,1 wk ahead inc case,2021-03-20,BE,quantile,0.01,13905.952838217543
2021-03-15,1 wk ahead inc case,2021-03-20,BE,quantile,0.025,14704.840276304994
2021-03-15,1 wk ahead inc case,2021-03-20,BE,quantile,0.05,15501.312377091203
2021-03-15,1 wk ahead inc case,2021-03-20,BE,quantile,0.1,16468.616397560814
2021-03-15,1 wk ahead inc case,2021-03-20,BE,quantile,0.15,17178.047917596417
2021-03-15,1 wk ahead inc case,2021-03-20,BE,quantile,0.2,18101.225135498127
2021-03-15,1 wk ahead inc case,2021-03-20,BE,quantile,0.25,18959.086905173084
2021-03-15,1 wk ahead inc case,2021-03-20,BE,quantile,0.3,19490.495120173604
2021-03-15,1 wk ahead inc case,2021-03-20,BE,quantile,0.35,20047.076951039846
2021-03-15,1 wk ahead inc case,2021-03-20,BE,quantile,0.4,20596.676359959118
2021-03-15,1 wk ahead inc case,2021-03-20,BE,quantile,0.45,21148.022365124783
2021-03-15,1 wk ahead inc case,2021-03-20,BE,quantile,0.5,21647.22525693978
2021-03-15,1 wk ahead inc case,2021-03-20,BE,quantile,0.55,22169.320786274246
2021-03-15,1 wk ahead inc case,2021-03-20,BE,quantile,0.6,22900.3850581494
2021-03-15,1 wk ahead inc case,2021-03-20,BE,quantile,0.65,23680.68286897306
2021-03-15,1 wk ahead inc case,2021-03-20,BE,quantile,0.7,24334.330364888327
2021-03-15,1 wk ahead inc case,2021-03-20,BE,quantile,0.75,25055.27084977145
2021-03-15,1 wk ahead inc case,2021-03-20,BE,quantile,0.8,26032.418057194416
2021-03-15,1 wk ahead inc case,2021-03-20,BE,quantile,0.85,27218.247299805487
2021-03-15,1 wk ahead inc case,2021-03-20,BE,quantile,0.9,28618.634446524506
2021-03-15,1 wk ahead inc case,2021-03-20,BE,quantile,0.95,30801.506041471268
2021-03-15,1 wk ahead inc case,2021-03-20,BE,quantile,0.975,32930.353930568956
2021-03-15,1 wk ahead inc case,2021-03-20,BE,quantile,0.99,35903.52023634524
2021-03-15,1 wk ahead inc case,2021-03-20,BG,quantile,0.01,12533.403516034312
2021-03-15,1 wk ahead inc case,2021-03-20,BG,quantile,0.025,13536.77775684159
2021-03-15,1 wk ahead inc case,2021-03-20,BG,quantile,0.05,14565.209568314882
2021-03-15,1 wk ahead inc case,2021-03-20,BG,quantile,0.1,15917.499483690422
2021-03-15,1 wk ahead inc case,2021-03-20,BG,quantile,0.15,16900.424510399156
2021-03-15,1 wk ahead inc case,2021-03-20,BG,quantile,0.2,17801.97033102171
2021-03-15,1 wk ahead inc case,2021-03-20,BG,quantile,0.25,18594.70551022092
2021-03-15,1 wk ahead inc case,2021-03-20,BG,quantile,0.3,19244.56336903814
2021-03-15,1 wk ahead inc case,2021-03-20,BG,quantile,0.35,19909.524099752856
2021-03-15,1 wk ahead inc case,2021-03-20,BG,quantile,0.4,21051.008731757378
2021-03-15,1 wk ahead inc case,2021-03-20,BG,quantile,0.45,22240.88763656132
2021-03-15,1 wk ahead inc case,2021-03-20,BG,quantile,0.5,22929.966799480553
2021-03-15,1 wk ahead inc case,2021-03-20,BG,quantile,0.55,23675.750979655375
2021-03-15,1 wk ahead inc case,2021-03-20,BG,quantile,0.6,24550.179975106403
2021-03-15,1 wk ahead inc case,2021-03-20,BG,quantile,0.65,25461.782826929953
2021-03-15,1 wk ahead inc case,2021-03-20,BG,quantile,0.7,26313.650295406544
2021-03-15,1 wk ahead inc case,2021-03-20,BG,quantile,0.75,27236.8156707993
2021-03-15,1 wk ahead inc case,2021-03-20,BG,quantile,0.8,28273.0166141737
2021-03-15,1 wk ahead inc case,2021-03-20,BG,quantile,0.85,29476.388137350914
2021-03-15,1 wk ahead inc case,2021-03-20,BG,quantile,0.9,31065.766682802936
2021-03-15,1 wk ahead inc case,2021-03-20,BG,quantile,0.95,33434.31394461298
2021-03-15,1 wk ahead inc case,2021-03-20,BG,quantile,0.975,35842.67695797242
2021-03-15,1 wk ahead inc case,2021-03-20,BG,quantile,0.99,38838.09052698046
2021-03-15,1 wk ahead inc case,2021-03-20,CH,quantile,0.01,3850.843294151583
2021-03-15,1 wk ahead inc case,2021-03-20,CH,quantile,0.025,4192.036487612631
2021-03-15,1 wk ahead inc case,2021-03-20,CH,quantile,0.05,4558.798078503433
2021-03-15,1 wk ahead inc case,2021-03-20,CH,quantile,0.1,5043.200889517526
2021-03-15,1 wk ahead inc case,2021-03-20,CH,quantile,0.15,5410.158730410028
2021-03-15,1 wk ahead inc case,2021-03-20,CH,quantile,0.2,5828.9183036820305
2021-03-15,1 wk ahead inc case,2021-03-20,CH,quantile,0.25,6219.6156222728905
2021-03-15,1 wk ahead inc case,2021-03-20,CH,quantile,0.3,6504.34027327488
2021-03-15,1 wk ahead inc case,2021-03-20,CH,quantile,0.35,6762.666891663061
2021-03-15,1 wk ahead inc case,2021-03-20,CH,quantile,0.4,7249.854849178303
2021-03-15,1 wk ahead inc case,2021-03-20,CH,quantile,0.45,7731.633636409776
2021-03-15,1 wk ahead inc case,2021-03-20,CH,quantile,0.5,8000.638225279856
2021-03-15,1 wk ahead inc case,2021-03-20,CH,quantile,0.55,8282.303699079948
2021-03-15,1 wk ahead inc case,2021-03-20,CH,quantile,0.6,8630.568830259497
2021-03-15,1 wk ahead inc case,2021-03-20,CH,quantile,0.65,8990.840584760283
2021-03-15,1 wk ahead inc case,2021-03-20,CH,quantile,0.7,9357.666630083237
2021-03-15,1 wk ahead inc case,2021-03-20,CH,quantile,0.75,9754.239448296436
2021-03-15,1 wk ahead inc case,2021-03-20,CH,quantile,0.8,10395.0222967042
2021-03-15,1 wk ahead inc case,2021-03-20,CH,quantile,0.85,11117.099127817653
2021-03-15,1 wk ahead inc case,2021-03-20,CH,quantile,0.9,11833.108098456618
2021-03-15,1 wk ahead inc case,2021-03-20,CH,quantile,0.95,12865.889059949382
2021-03-15,1 wk ahead inc case,2021-03-20,CH,quantile,0.975,13850.986477362929
2021-03-15,1 wk ahead inc case,2021-03-20,CH,quantile,0.99,14788.63078581407
2021-03-15,1 wk ahead inc case,2021-03-20,CY,quantile,0.01,1726.6004650803213
2021-03-15,1 wk ahead inc case,2021-03-20,CY,quantile,0.025,1831.5478029332537
2021-03-15,1 wk ahead inc case,2021-03-20,CY,quantile,0.05,1937.5698449126976
2021-03-15,1 wk ahead inc case,2021-03-20,CY,quantile,0.1,2086.109948237518
2021-03-15,1 wk ahead inc case,2021-03-20,CY,quantile,0.15,2192.1299575520266
2021-03-15,1 wk ahead inc case,2021-03-20,CY,quantile,0.2,2449.3757641957973
2021-03-15,1 wk ahead inc case,2021-03-20,CY,quantile,0.25,2699.164728204388
2021-03-15,1 wk ahead inc case,2021-03-20,CY,quantile,0.3,2792.176937596108
2021-03-15,1 wk ahead inc case,2021-03-20,CY,quantile,0.35,2881.1595874406885
2021-03-15,1 wk ahead inc case,2021-03-20,CY,quantile,0.4,3000.634804749382
2021-03-15,1 wk ahead inc case,2021-03-20,CY,quantile,0.45,3112.4730407040656
2021-03-15,1 wk ahead inc case,2021-03-20,CY,quantile,0.5,3193.663012716861
2021-03-15,1 wk ahead inc case,2021-03-20,CY,quantile,0.55,3285.313411454163
2021-03-15,1 wk ahead inc case,2021-03-20,CY,quantile,0.6,3680.659517171546
2021-03-15,1 wk ahead inc case,2021-03-20,CY,quantile,0.65,4088.0360282315423
2021-03-15,1 wk ahead inc case,2021-03-20,CY,quantile,0.7,4202.129812221638
2021-03-15,1 wk ahead inc case,2021-03-20,CY,quantile,0.75,4330.404447266598
2021-03-15,1 wk ahead inc case,2021-03-20,CY,quantile,0.8,4788.284655816744
2021-03-15,1 wk ahead inc case,2021-03-20,CY,quantile,0.85,5306.596451786342
2021-03-15,1 wk ahead inc case,2021-03-20,CY,quantile,0.9,5580.11013445031
2021-03-15,1 wk ahead inc case,2021-03-20,CY,quantile,0.95,5964.456233025874
2021-03-15,1 wk ahead inc case,2021-03-20,CY,quantile,0.975,6278.331748351882
2021-03-15,1 wk ahead inc case,2021-03-20,CY,quantile,0.99,6556.311485858827
2021-03-15,1 wk ahead inc case,2021-03-20,CZ,quantile,0.01,43552.68433546712
2021-03-15,1 wk ahead inc case,2021-03-20,CZ,quantile,0.025,46910.57986779562
2021-03-15,1 wk ahead inc case,2021-03-20,CZ,quantile,0.05,50228.72875044093
2021-03-15,1 wk ahead inc case,2021-03-20,CZ,quantile,0.1,54653.38741671048
2021-03-15,1 wk ahead inc case,2021-03-20,CZ,quantile,0.15,57781.45750922548
2021-03-15,1 wk ahead inc case,2021-03-20,CZ,quantile,0.2,60403.52984956197
2021-03-15,1 wk ahead inc case,2021-03-20,CZ,quantile,0.25,62771.56024547984
2021-03-15,1 wk ahead inc case,2021-03-20,CZ,quantile,0.3,64991.05546512064
2021-03-15,1 wk ahead inc case,2021-03-20,CZ,quantile,0.35,67113.54439214665
