model,GM_cum_death,PL_cum_death,GM_inc_death,PL_inc_death,GM_cum_case,PL_cum_case,GM_inc_case,PL_inc_case
FIAS_FZJ-Epi1Ger,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
KIT-baseline,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
KIT-time_series_baseline,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LANL-GrowthRate,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
MIT_CovidAnalytics-DELPHI,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MOCOS-agent1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ICM-agentModel,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ITWW-county_repro,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
LeipzigIMISE-SECIR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
epiforecasts-EpiExpert,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
epiforecasts-EpiNow2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Karlen-pypm,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
USC-SIkJalpha,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
