"location","target","model","inverse_wis_weight"
"GM","inc case","FIAS_FZJ-Epi1Ger",0.218214760230023
"GM","inc case","LANL-GrowthRate",0.0657892376019991
"GM","inc case","LeipzigIMISE-SECIR",0.0467935206336094
"GM","inc case","ITWW-county_repro",0.0325254418979614
"GM","inc case","epiforecasts-EpiExpert",0.384199361324074
"GM","inc case","epiforecasts-EpiNow2",0.252477678312334
"GM","cum case","FIAS_FZJ-Epi1Ger",0.164719211835269
"GM","cum case","LANL-GrowthRate",0.0583845127660373
"GM","cum case","LeipzigIMISE-SECIR",0.134352183920415
"GM","cum case","ITWW-county_repro",0.0313701490134721
"GM","cum case","epiforecasts-EpiExpert",0.370014267544558
"GM","cum case","epiforecasts-EpiNow2",0.241159674920249
"GM","inc death","FIAS_FZJ-Epi1Ger",0.108552900884926
"GM","inc death","LANL-GrowthRate",0.216081256886626
"GM","inc death","LeipzigIMISE-SECIR",0.0890087508077343
"GM","inc death","epiforecasts-EpiExpert",0.450525727660121
"GM","inc death","epiforecasts-EpiNow2",0.135831363760592
"GM","cum death","FIAS_FZJ-Epi1Ger",0.113962494538045
"GM","cum death","LANL-GrowthRate",0.228919824477987
"GM","cum death","LeipzigIMISE-SECIR",0.0446527190885866
"GM","cum death","epiforecasts-EpiExpert",0.481810691526885
"GM","cum death","epiforecasts-EpiNow2",0.130654270368497
"PL","inc case","LANL-GrowthRate",0.194829539824287
"PL","inc case","MIT_CovidAnalytics-DELPHI",0.121548304632022
"PL","inc case","MOCOS-agent1",0.198047865436357
"PL","inc case","ICM-agentModel",0.107176459040066
"PL","inc case","epiforecasts-EpiExpert",0.235863762039759
"PL","inc case","epiforecasts-EpiNow2",0.142534069027509
"PL","cum case","LANL-GrowthRate",0.18857791001886
"PL","cum case","MOCOS-agent1",0.241545370003496
"PL","cum case","ICM-agentModel",0.128758760233959
"PL","cum case","epiforecasts-EpiExpert",0.280215980011471
"PL","cum case","epiforecasts-EpiNow2",0.160901979732214
"PL","inc death","LANL-GrowthRate",0.15847350965978
"PL","inc death","MIT_CovidAnalytics-DELPHI",0.331265303997811
"PL","inc death","MOCOS-agent1",0.224936681970289
"PL","inc death","ICM-agentModel",0.102478601177826
"PL","inc death","epiforecasts-EpiExpert",0.132140989395853
"PL","inc death","epiforecasts-EpiNow2",0.0507049137984409
"PL","cum death","LANL-GrowthRate",0.13990314519966
"PL","cum death","MIT_CovidAnalytics-DELPHI",0.275225047962686
"PL","cum death","MOCOS-agent1",0.265966743817403
"PL","cum death","ICM-agentModel",0.127987024754059
"PL","cum death","epiforecasts-EpiExpert",0.134893901554193
"PL","cum death","epiforecasts-EpiNow2",0.0560241367119984
