forecast_date,model,missing_quantiles,missing_horizons,excluded_manually,include
2021-03-22,epiforecasts-EpiExpert,FALSE,FALSE,FALSE,TRUE
2021-03-22,epiforecasts-EpiNow2,FALSE,FALSE,FALSE,TRUE
2021-03-22,FIAS_FZJ-Epi1Ger,FALSE,FALSE,FALSE,TRUE
2021-03-22,HZI-AgeExtendedSEIR,TRUE,FALSE,FALSE,FALSE
2021-03-22,ICM-agentModel,FALSE,FALSE,FALSE,TRUE
2021-03-22,IEM_Health-CovidProject,FALSE,FALSE,FALSE,TRUE
2021-03-22,ILM-EKF,FALSE,FALSE,FALSE,TRUE
2021-03-22,Imperial-DeCa,FALSE,TRUE,FALSE,FALSE
2021-03-22,Imperial-RtI0,FALSE,TRUE,FALSE,FALSE
2021-03-22,Imperial-sbkp,FALSE,TRUE,FALSE,FALSE
2021-03-22,itwm-dSEIR,FALSE,FALSE,FALSE,TRUE
2021-03-22,ITWW-county_repro,FALSE,FALSE,FALSE,TRUE
2021-03-22,MIT_CovidAnalytics-DELPHI,FALSE,FALSE,FALSE,TRUE
2021-03-22,MOCOS-agent1,FALSE,FALSE,FALSE,TRUE
2021-03-22,MUNI_DMS-SEIAR,FALSE,FALSE,FALSE,TRUE
2021-03-22,Priesemann-bayes,FALSE,FALSE,FALSE,TRUE
2021-03-22,RobertWalraven-ESG,FALSE,FALSE,FALSE,TRUE
2021-03-22,UNED-PreCoV2,TRUE,TRUE,FALSE,FALSE
2021-03-22,UNIPV-BayesINGARCHX,FALSE,FALSE,FALSE,TRUE
2021-03-22,UpgUmibUsi-MultiBayes,FALSE,TRUE,FALSE,FALSE
2021-03-22,UVA-Ensemble,TRUE,FALSE,FALSE,FALSE
