forecast_date;target_end_date;target;location;type;quantile;value;scenario_id
2020-11-23;2020-11-28;1 wk ahead inc death;PL;point;NA;1922,788806;forecast
2020-11-23;2020-11-28;1 wk ahead inc death;PL;quantile;0,01;1826,649365;forecast
2020-11-23;2020-11-28;1 wk ahead inc death;PL;quantile;0,025;1836,263309;forecast
2020-11-23;2020-11-28;1 wk ahead inc death;PL;quantile;0,05;1845,877253;forecast
2020-11-23;2020-11-28;1 wk ahead inc death;PL;quantile;0,1;1854,422981;forecast
2020-11-23;2020-11-28;1 wk ahead inc death;PL;quantile;0,15;1862,019184;forecast
2020-11-23;2020-11-28;1 wk ahead inc death;PL;quantile;0,2;1868,771364;forecast
2020-11-23;2020-11-28;1 wk ahead inc death;PL;quantile;0,25;1874,773302;forecast
2020-11-23;2020-11-28;1 wk ahead inc death;PL;quantile;0,3;1880,108358;forecast
2020-11-23;2020-11-28;1 wk ahead inc death;PL;quantile;0,35;1884,85063;forecast
2020-11-23;2020-11-28;1 wk ahead inc death;PL;quantile;0,4;1889,065983;forecast
2020-11-23;2020-11-28;1 wk ahead inc death;PL;quantile;0,45;1892,812963;forecast
2020-11-23;2020-11-28;1 wk ahead inc death;PL;quantile;0,5;1922,788806;forecast
2020-11-23;2020-11-28;1 wk ahead inc death;PL;quantile;0,55;1928,032775;forecast
2020-11-23;2020-11-28;1 wk ahead inc death;PL;quantile;0,6;1933,276744;forecast
2020-11-23;2020-11-28;1 wk ahead inc death;PL;quantile;0,65;1938,520714;forecast
2020-11-23;2020-11-28;1 wk ahead inc death;PL;quantile;0,7;1943,764683;forecast
2020-11-23;2020-11-28;1 wk ahead inc death;PL;quantile;0,75;1949,008653;forecast
2020-11-23;2020-11-28;1 wk ahead inc death;PL;quantile;0,8;1954,252622;forecast
2020-11-23;2020-11-28;1 wk ahead inc death;PL;quantile;0,85;1959,496592;forecast
2020-11-23;2020-11-28;1 wk ahead inc death;PL;quantile;0,9;1964,740561;forecast
2020-11-23;2020-11-28;1 wk ahead inc death;PL;quantile;0,95;1969,984531;forecast
2020-11-23;2020-11-28;1 wk ahead inc death;PL;quantile;0,975;1975,2285;forecast
2020-11-23;2020-11-28;1 wk ahead inc death;PL;quantile;0,99;1980,47247;forecast
2020-11-23;2020-12-05;2 wk ahead inc death;PL;point;NA;1606,543226;forecast
2020-11-23;2020-12-05;2 wk ahead inc death;PL;quantile;0,01;1526,216065;forecast
2020-11-23;2020-12-05;2 wk ahead inc death;PL;quantile;0,025;1534,248781;forecast
2020-11-23;2020-12-05;2 wk ahead inc death;PL;quantile;0,05;1541,478225;forecast
2020-11-23;2020-12-05;2 wk ahead inc death;PL;quantile;0,1;1547,984725;forecast
2020-11-23;2020-12-05;2 wk ahead inc death;PL;quantile;0,15;1553,840576;forecast
2020-11-23;2020-12-05;2 wk ahead inc death;PL;quantile;0,2;1559,110841;forecast
2020-11-23;2020-12-05;2 wk ahead inc death;PL;quantile;0,25;1563,854079;forecast
