forecast_date;target_end_date;target;location;type;quantile;value;scenario_id
2021-01-11;2021-01-16;1 wk ahead inc death;PL;point;NA;5931,45651;forecast
2021-01-11;2021-01-16;1 wk ahead inc death;PL;quantile;0,01;5634,883685;forecast
2021-01-11;2021-01-16;1 wk ahead inc death;PL;quantile;0,025;5664,540968;forecast
2021-01-11;2021-01-16;1 wk ahead inc death;PL;quantile;0,05;5694,19825;forecast
2021-01-11;2021-01-16;1 wk ahead inc death;PL;quantile;0,1;5720,560279;forecast
2021-01-11;2021-01-16;1 wk ahead inc death;PL;quantile;0,15;5743,993194;forecast
2021-01-11;2021-01-16;1 wk ahead inc death;PL;quantile;0,2;5764,822451;forecast
2021-01-11;2021-01-16;1 wk ahead inc death;PL;quantile;0,25;5783,337347;forecast
2021-01-11;2021-01-16;1 wk ahead inc death;PL;quantile;0,3;5799,795031;forecast
2021-01-11;2021-01-16;1 wk ahead inc death;PL;quantile;0,35;5814,424085;forecast
2021-01-11;2021-01-16;1 wk ahead inc death;PL;quantile;0,4;5827,427688;forecast
2021-01-11;2021-01-16;1 wk ahead inc death;PL;quantile;0,45;5838,986446;forecast
2021-01-11;2021-01-16;1 wk ahead inc death;PL;quantile;0,5;5931,45651;forecast
2021-01-11;2021-01-16;1 wk ahead inc death;PL;quantile;0,55;5947,63321;forecast
2021-01-11;2021-01-16;1 wk ahead inc death;PL;quantile;0,6;5963,80991;forecast
2021-01-11;2021-01-16;1 wk ahead inc death;PL;quantile;0,65;5979,986609;forecast
2021-01-11;2021-01-16;1 wk ahead inc death;PL;quantile;0,7;5996,163309;forecast
2021-01-11;2021-01-16;1 wk ahead inc death;PL;quantile;0,75;6012,340008;forecast
2021-01-11;2021-01-16;1 wk ahead inc death;PL;quantile;0,8;6028,516708;forecast
2021-01-11;2021-01-16;1 wk ahead inc death;PL;quantile;0,85;6044,693408;forecast
2021-01-11;2021-01-16;1 wk ahead inc death;PL;quantile;0,9;6060,870107;forecast
2021-01-11;2021-01-16;1 wk ahead inc death;PL;quantile;0,95;6077,046807;forecast
2021-01-11;2021-01-16;1 wk ahead inc death;PL;quantile;0,975;6093,223506;forecast
2021-01-11;2021-01-16;1 wk ahead inc death;PL;quantile;0,99;6109,400206;forecast
2021-01-11;2021-01-23;2 wk ahead inc death;PL;point;NA;4047,995673;forecast
