"forecast_date","target","target_end_date","location","type","quantile","value","scenario_id"
2021-04-19,"1 wk ahead inc death",2021-04-24,"PL","point",NA,3962,"forecast"
2021-04-19,"1 wk ahead inc death",2021-04-24,"PL","quantile",0.01,3669,"forecast"
2021-04-19,"1 wk ahead inc death",2021-04-24,"PL","quantile",0.025,3722,"forecast"
2021-04-19,"1 wk ahead inc death",2021-04-24,"PL","quantile",0.05,3767,"forecast"
2021-04-19,"1 wk ahead inc death",2021-04-24,"PL","quantile",0.1,3805,"forecast"
2021-04-19,"1 wk ahead inc death",2021-04-24,"PL","quantile",0.15,3838,"forecast"
2021-04-19,"1 wk ahead inc death",2021-04-24,"PL","quantile",0.2,3859,"forecast"
2021-04-19,"1 wk ahead inc death",2021-04-24,"PL","quantile",0.25,3876,"forecast"
2021-04-19,"1 wk ahead inc death",2021-04-24,"PL","quantile",0.3,3897,"forecast"
2021-04-19,"1 wk ahead inc death",2021-04-24,"PL","quantile",0.35,3913,"forecast"
2021-04-19,"1 wk ahead inc death",2021-04-24,"PL","quantile",0.4,3929,"forecast"
2021-04-19,"1 wk ahead inc death",2021-04-24,"PL","quantile",0.45,3948,"forecast"
2021-04-19,"1 wk ahead inc death",2021-04-24,"PL","quantile",0.5,3962,"forecast"
2021-04-19,"1 wk ahead inc death",2021-04-24,"PL","quantile",0.55,3977,"forecast"
2021-04-19,"1 wk ahead inc death",2021-04-24,"PL","quantile",0.6,3989,"forecast"
2021-04-19,"1 wk ahead inc death",2021-04-24,"PL","quantile",0.65,4005,"forecast"
2021-04-19,"1 wk ahead inc death",2021-04-24,"PL","quantile",0.7,4025,"forecast"
2021-04-19,"1 wk ahead inc death",2021-04-24,"PL","quantile",0.75,4046,"forecast"
2021-04-19,"1 wk ahead inc death",2021-04-24,"PL","quantile",0.8,4065,"forecast"
2021-04-19,"1 wk ahead inc death",2021-04-24,"PL","quantile",0.85,4094,"forecast"
2021-04-19,"1 wk ahead inc death",2021-04-24,"PL","quantile",0.9,4126,"forecast"
2021-04-19,"1 wk ahead inc death",2021-04-24,"PL","quantile",0.95,4166,"forecast"
2021-04-19,"1 wk ahead inc death",2021-04-24,"PL","quantile",0.975,4207,"forecast"
2021-04-19,"1 wk ahead inc death",2021-04-24,"PL","quantile",0.99,4244,"forecast"
2021-04-19,"2 wk ahead inc death",2021-05-01,"PL","point",NA,3989,"forecast"
2021-04-19,"2 wk ahead inc death",2021-05-01,"PL","quantile",0.01,3579,"forecast"
2021-04-19,"2 wk ahead inc death",2021-05-01,"PL","quantile",0.025,3626,"forecast"
2021-04-19,"2 wk ahead inc death",2021-05-01,"PL","quantile",0.05,3679,"forecast"
2021-04-19,"2 wk ahead inc death",2021-05-01,"PL","quantile",0.1,3757,"forecast"
2021-04-19,"2 wk ahead inc death",2021-05-01,"PL","quantile",0.15,3805,"forecast"
2021-04-19,"2 wk ahead inc death",2021-05-01,"PL","quantile",0.2,3835,"forecast"
2021-04-19,"2 wk ahead inc death",2021-05-01,"PL","quantile",0.25,3865,"forecast"
2021-04-19,"2 wk ahead inc death",2021-05-01,"PL","quantile",0.3,3897,"forecast"
2021-04-19,"2 wk ahead inc death",2021-05-01,"PL","quantile",0.35,3919,"forecast"
2021-04-19,"2 wk ahead inc death",2021-05-01,"PL","quantile",0.4,3941,"forecast"
2021-04-19,"2 wk ahead inc death",2021-05-01,"PL","quantile",0.45,3968,"forecast"
2021-04-19,"2 wk ahead inc death",2021-05-01,"PL","quantile",0.5,3989,"forecast"
2021-04-19,"2 wk ahead inc death",2021-05-01,"PL","quantile",0.55,4012,"forecast"
