forecast_date,target,target_end_date,location,type,quantile,value
2021-10-24,1 wk ahead inc hosp,2021-10-30,BE,quantile,0.01,350
2021-10-24,1 wk ahead inc hosp,2021-10-30,BE,quantile,0.025,386
2021-10-24,1 wk ahead inc hosp,2021-10-30,BE,quantile,0.05,419
2021-10-24,1 wk ahead inc hosp,2021-10-30,BE,quantile,0.1,457
2021-10-24,1 wk ahead inc hosp,2021-10-30,BE,quantile,0.15,493
2021-10-24,1 wk ahead inc hosp,2021-10-30,BE,quantile,0.2,523
2021-10-24,1 wk ahead inc hosp,2021-10-30,BE,quantile,0.25,541
2021-10-24,1 wk ahead inc hosp,2021-10-30,BE,quantile,0.3,562
2021-10-24,1 wk ahead inc hosp,2021-10-30,BE,quantile,0.35,580
2021-10-24,1 wk ahead inc hosp,2021-10-30,BE,quantile,0.4,599
2021-10-24,1 wk ahead inc hosp,2021-10-30,BE,quantile,0.45,619
2021-10-24,1 wk ahead inc hosp,2021-10-30,BE,quantile,0.5,636
2021-10-24,1 wk ahead inc hosp,2021-10-30,BE,quantile,0.55,655
2021-10-24,1 wk ahead inc hosp,2021-10-30,BE,quantile,0.6,673
2021-10-24,1 wk ahead inc hosp,2021-10-30,BE,quantile,0.65,693
2021-10-24,1 wk ahead inc hosp,2021-10-30,BE,quantile,0.7,713
2021-10-24,1 wk ahead inc hosp,2021-10-30,BE,quantile,0.75,737
2021-10-24,1 wk ahead inc hosp,2021-10-30,BE,quantile,0.8,764
2021-10-24,1 wk ahead inc hosp,2021-10-30,BE,quantile,0.85,791
2021-10-24,1 wk ahead inc hosp,2021-10-30,BE,quantile,0.9,820
2021-10-24,1 wk ahead inc hosp,2021-10-30,BE,quantile,0.95,867
2021-10-24,1 wk ahead inc hosp,2021-10-30,BE,quantile,0.975,913
2021-10-24,1 wk ahead inc hosp,2021-10-30,BE,quantile,0.99,971
2021-10-24,2 wk ahead inc hosp,2021-11-06,BE,quantile,0.01,204
2021-10-24,2 wk ahead inc hosp,2021-11-06,BE,quantile,0.025,251
2021-10-24,2 wk ahead inc hosp,2021-11-06,BE,quantile,0.05,331
2021-10-24,2 wk ahead inc hosp,2021-11-06,BE,quantile,0.1,396
2021-10-24,2 wk ahead inc hosp,2021-11-06,BE,quantile,0.15,443
2021-10-24,2 wk ahead inc hosp,2021-11-06,BE,quantile,0.2,477
2021-10-24,2 wk ahead inc hosp,2021-11-06,BE,quantile,0.25,518
2021-10-24,2 wk ahead inc hosp,2021-11-06,BE,quantile,0.3,548
2021-10-24,2 wk ahead inc hosp,2021-11-06,BE,quantile,0.35,577
2021-10-24,2 wk ahead inc hosp,2021-11-06,BE,quantile,0.4,603
2021-10-24,2 wk ahead inc hosp,2021-11-06,BE,quantile,0.45,631
2021-10-24,2 wk ahead inc hosp,2021-11-06,BE,quantile,0.5,650
2021-10-24,2 wk ahead inc hosp,2021-11-06,BE,quantile,0.55,674
2021-10-24,2 wk ahead inc hosp,2021-11-06,BE,quantile,0.6,701
2021-10-24,2 wk ahead inc hosp,2021-11-06,BE,quantile,0.65,723
2021-10-24,2 wk ahead inc hosp,2021-11-06,BE,quantile,0.7,753
2021-10-24,2 wk ahead inc hosp,2021-11-06,BE,quantile,0.75,781
2021-10-24,2 wk ahead inc hosp,2021-11-06,BE,quantile,0.8,814
2021-10-24,2 wk ahead inc hosp,2021-11-06,BE,quantile,0.85,851
2021-10-24,2 wk ahead inc hosp,2021-11-06,BE,quantile,0.9,899
2021-10-24,2 wk ahead inc hosp,2021-11-06,BE,quantile,0.95,966
2021-10-24,2 wk ahead inc hosp,2021-11-06,BE,quantile,0.975,1032
2021-10-24,2 wk ahead inc hosp,2021-11-06,BE,quantile,0.99,1096
2021-10-24,3 wk ahead inc hosp,2021-11-13,BE,quantile,0.01,146
2021-10-24,3 wk ahead inc hosp,2021-11-13,BE,quantile,0.025,227
2021-10-24,3 wk ahead inc hosp,2021-11-13,BE,quantile,0.05,288
2021-10-24,3 wk ahead inc hosp,2021-11-13,BE,quantile,0.1,361
2021-10-24,3 wk ahead inc hosp,2021-11-13,BE,quantile,0.15,403
2021-10-24,3 wk ahead inc hosp,2021-11-13,BE,quantile,0.2,446
2021-10-24,3 wk ahead inc hosp,2021-11-13,BE,quantile,0.25,492
2021-10-24,3 wk ahead inc hosp,2021-11-13,BE,quantile,0.3,534
2021-10-24,3 wk ahead inc hosp,2021-11-13,BE,quantile,0.35,565
2021-10-24,3 wk ahead inc hosp,2021-11-13,BE,quantile,0.4,595
2021-10-24,3 wk ahead inc hosp,2021-11-13,BE,quantile,0.45,624
2021-10-24,3 wk ahead inc hosp,2021-11-13,BE,quantile,0.5,653
2021-10-24,3 wk ahead inc hosp,2021-11-13,BE,quantile,0.55,679
2021-10-24,3 wk ahead inc hosp,2021-11-13,BE,quantile,0.6,707
2021-10-24,3 wk ahead inc hosp,2021-11-13,BE,quantile,0.65,737
2021-10-24,3 wk ahead inc hosp,2021-11-13,BE,quantile,0.7,765
2021-10-24,3 wk ahead inc hosp,2021-11-13,BE,quantile,0.75,797
2021-10-24,3 wk ahead inc hosp,2021-11-13,BE,quantile,0.8,827
2021-10-24,3 wk ahead inc hosp,2021-11-13,BE,quantile,0.85,876
2021-10-24,3 wk ahead inc hosp,2021-11-13,BE,quantile,0.9,924
2021-10-24,3 wk ahead inc hosp,2021-11-13,BE,quantile,0.95,995
2021-10-24,3 wk ahead inc hosp,2021-11-13,BE,quantile,0.975,1043
2021-10-24,3 wk ahead inc hosp,2021-11-13,BE,quantile,0.99,1144
2021-10-24,4 wk ahead inc hosp,2021-11-20,BE,quantile,0.01,9
2021-10-24,4 wk ahead inc hosp,2021-11-20,BE,quantile,0.025,173
2021-10-24,4 wk ahead inc hosp,2021-11-20,BE,quantile,0.05,243
2021-10-24,4 wk ahead inc hosp,2021-11-20,BE,quantile,0.1,325
2021-10-24,4 wk ahead inc hosp,2021-11-20,BE,quantile,0.15,399
2021-10-24,4 wk ahead inc hosp,2021-11-20,BE,quantile,0.2,436
2021-10-24,4 wk ahead inc hosp,2021-11-20,BE,quantile,0.25,477
2021-10-24,4 wk ahead inc hosp,2021-11-20,BE,quantile,0.3,522
2021-10-24,4 wk ahead inc hosp,2021-11-20,BE,quantile,0.35,557
2021-10-24,4 wk ahead inc hosp,2021-11-20,BE,quantile,0.4,589
2021-10-24,4 wk ahead inc hosp,2021-11-20,BE,quantile,0.45,627
2021-10-24,4 wk ahead inc hosp,2021-11-20,BE,quantile,0.5,662
2021-10-24,4 wk ahead inc hosp,2021-11-20,BE,quantile,0.55,692
2021-10-24,4 wk ahead inc hosp,2021-11-20,BE,quantile,0.6,716
2021-10-24,4 wk ahead inc hosp,2021-11-20,BE,quantile,0.65,749
2021-10-24,4 wk ahead inc hosp,2021-11-20,BE,quantile,0.7,780
2021-10-24,4 wk ahead inc hosp,2021-11-20,BE,quantile,0.75,831
2021-10-24,4 wk ahead inc hosp,2021-11-20,BE,quantile,0.8,863
2021-10-24,4 wk ahead inc hosp,2021-11-20,BE,quantile,0.85,914
2021-10-24,4 wk ahead inc hosp,2021-11-20,BE,quantile,0.9,963
2021-10-24,4 wk ahead inc hosp,2021-11-20,BE,quantile,0.95,1051
2021-10-24,4 wk ahead inc hosp,2021-11-20,BE,quantile,0.975,1122
2021-10-24,4 wk ahead inc hosp,2021-11-20,BE,quantile,0.99,1214
2021-10-24,1 wk ahead inc hosp,2021-10-30,DK,quantile,0.01,41
2021-10-24,1 wk ahead inc hosp,2021-10-30,DK,quantile,0.025,59
2021-10-24,1 wk ahead inc hosp,2021-10-30,DK,quantile,0.05,74
2021-10-24,1 wk ahead inc hosp,2021-10-30,DK,quantile,0.1,92
2021-10-24,1 wk ahead inc hosp,2021-10-30,DK,quantile,0.15,105
2021-10-24,1 wk ahead inc hosp,2021-10-30,DK,quantile,0.2,116
2021-10-24,1 wk ahead inc hosp,2021-10-30,DK,quantile,0.25,124
2021-10-24,1 wk ahead inc hosp,2021-10-30,DK,quantile,0.3,132
2021-10-24,1 wk ahead inc hosp,2021-10-30,DK,quantile,0.35,138
2021-10-24,1 wk ahead inc hosp,2021-10-30,DK,quantile,0.4,145
2021-10-24,1 wk ahead inc hosp,2021-10-30,DK,quantile,0.45,153
2021-10-24,1 wk ahead inc hosp,2021-10-30,DK,quantile,0.5,159
2021-10-24,1 wk ahead inc hosp,2021-10-30,DK,quantile,0.55,164
2021-10-24,1 wk ahead inc hosp,2021-10-30,DK,quantile,0.6,171
2021-10-24,1 wk ahead inc hosp,2021-10-30,DK,quantile,0.65,178
2021-10-24,1 wk ahead inc hosp,2021-10-30,DK,quantile,0.7,184
2021-10-24,1 wk ahead inc hosp,2021-10-30,DK,quantile,0.75,192
2021-10-24,1 wk ahead inc hosp,2021-10-30,DK,quantile,0.8,200
2021-10-24,1 wk ahead inc hosp,2021-10-30,DK,quantile,0.85,208
2021-10-24,1 wk ahead inc hosp,2021-10-30,DK,quantile,0.9,218
2021-10-24,1 wk ahead inc hosp,2021-10-30,DK,quantile,0.95,237
2021-10-24,1 wk ahead inc hosp,2021-10-30,DK,quantile,0.975,256
2021-10-24,1 wk ahead inc hosp,2021-10-30,DK,quantile,0.99,271
2021-10-24,2 wk ahead inc hosp,2021-11-06,DK,quantile,0.01,4
2021-10-24,2 wk ahead inc hosp,2021-11-06,DK,quantile,0.025,38
2021-10-24,2 wk ahead inc hosp,2021-11-06,DK,quantile,0.05,61
2021-10-24,2 wk ahead inc hosp,2021-11-06,DK,quantile,0.1,87
2021-10-24,2 wk ahead inc hosp,2021-11-06,DK,quantile,0.15,101
2021-10-24,2 wk ahead inc hosp,2021-11-06,DK,quantile,0.2,112
2021-10-24,2 wk ahead inc hosp,2021-11-06,DK,quantile,0.25,123
2021-10-24,2 wk ahead inc hosp,2021-11-06,DK,quantile,0.3,132
2021-10-24,2 wk ahead inc hosp,2021-11-06,DK,quantile,0.35,142
2021-10-24,2 wk ahead inc hosp,2021-11-06,DK,quantile,0.4,150
2021-10-24,2 wk ahead inc hosp,2021-11-06,DK,quantile,0.45,158
2021-10-24,2 wk ahead inc hosp,2021-11-06,DK,quantile,0.5,164
2021-10-24,2 wk ahead inc hosp,2021-11-06,DK,quantile,0.55,173
2021-10-24,2 wk ahead inc hosp,2021-11-06,DK,quantile,0.6,181
2021-10-24,2 wk ahead inc hosp,2021-11-06,DK,quantile,0.65,190
2021-10-24,2 wk ahead inc hosp,2021-11-06,DK,quantile,0.7,199
2021-10-24,2 wk ahead inc hosp,2021-11-06,DK,quantile,0.75,206
2021-10-24,2 wk ahead inc hosp,2021-11-06,DK,quantile,0.8,216
2021-10-24,2 wk ahead inc hosp,2021-11-06,DK,quantile,0.85,230
2021-10-24,2 wk ahead inc hosp,2021-11-06,DK,quantile,0.9,245
2021-10-24,2 wk ahead inc hosp,2021-11-06,DK,quantile,0.95,264
2021-10-24,2 wk ahead inc hosp,2021-11-06,DK,quantile,0.975,285
2021-10-24,2 wk ahead inc hosp,2021-11-06,DK,quantile,0.99,303
2021-10-24,3 wk ahead inc hosp,2021-11-13,DK,quantile,0.01,0
2021-10-24,3 wk ahead inc hosp,2021-11-13,DK,quantile,0.025,6
2021-10-24,3 wk ahead inc hosp,2021-11-13,DK,quantile,0.05,37
2021-10-24,3 wk ahead inc hosp,2021-11-13,DK,quantile,0.1,67
2021-10-24,3 wk ahead inc hosp,2021-11-13,DK,quantile,0.15,84
2021-10-24,3 wk ahead inc hosp,2021-11-13,DK,quantile,0.2,99
2021-10-24,3 wk ahead inc hosp,2021-11-13,DK,quantile,0.25,110
2021-10-24,3 wk ahead inc hosp,2021-11-13,DK,quantile,0.3,121
2021-10-24,3 wk ahead inc hosp,2021-11-13,DK,quantile,0.35,130
2021-10-24,3 wk ahead inc hosp,2021-11-13,DK,quantile,0.4,139
2021-10-24,3 wk ahead inc hosp,2021-11-13,DK,quantile,0.45,150
2021-10-24,3 wk ahead inc hosp,2021-11-13,DK,quantile,0.5,159
2021-10-24,3 wk ahead inc hosp,2021-11-13,DK,quantile,0.55,170
2021-10-24,3 wk ahead inc hosp,2021-11-13,DK,quantile,0.6,179
2021-10-24,3 wk ahead inc hosp,2021-11-13,DK,quantile,0.65,189
2021-10-24,3 wk ahead inc hosp,2021-11-13,DK,quantile,0.7,200
2021-10-24,3 wk ahead inc hosp,2021-11-13,DK,quantile,0.75,211
2021-10-24,3 wk ahead inc hosp,2021-11-13,DK,quantile,0.8,223
2021-10-24,3 wk ahead inc hosp,2021-11-13,DK,quantile,0.85,238
2021-10-24,3 wk ahead inc hosp,2021-11-13,DK,quantile,0.9,256
2021-10-24,3 wk ahead inc hosp,2021-11-13,DK,quantile,0.95,278
2021-10-24,3 wk ahead inc hosp,2021-11-13,DK,quantile,0.975,302
2021-10-24,3 wk ahead inc hosp,2021-11-13,DK,quantile,0.99,323
2021-10-24,4 wk ahead inc hosp,2021-11-20,DK,quantile,0.01,0
2021-10-24,4 wk ahead inc hosp,2021-11-20,DK,quantile,0.025,0
2021-10-24,4 wk ahead inc hosp,2021-11-20,DK,quantile,0.05,31
2021-10-24,4 wk ahead inc hosp,2021-11-20,DK,quantile,0.1,60
2021-10-24,4 wk ahead inc hosp,2021-11-20,DK,quantile,0.15,82
2021-10-24,4 wk ahead inc hosp,2021-11-20,DK,quantile,0.2,96
2021-10-24,4 wk ahead inc hosp,2021-11-20,DK,quantile,0.25,110
2021-10-24,4 wk ahead inc hosp,2021-11-20,DK,quantile,0.3,123
2021-10-24,4 wk ahead inc hosp,2021-11-20,DK,quantile,0.35,136
2021-10-24,4 wk ahead inc hosp,2021-11-20,DK,quantile,0.4,145
2021-10-24,4 wk ahead inc hosp,2021-11-20,DK,quantile,0.45,155
2021-10-24,4 wk ahead inc hosp,2021-11-20,DK,quantile,0.5,165
2021-10-24,4 wk ahead inc hosp,2021-11-20,DK,quantile,0.55,174
2021-10-24,4 wk ahead inc hosp,2021-11-20,DK,quantile,0.6,184
2021-10-24,4 wk ahead inc hosp,2021-11-20,DK,quantile,0.65,195
2021-10-24,4 wk ahead inc hosp,2021-11-20,DK,quantile,0.7,207
2021-10-24,4 wk ahead inc hosp,2021-11-20,DK,quantile,0.75,218
2021-10-24,4 wk ahead inc hosp,2021-11-20,DK,quantile,0.8,232
2021-10-24,4 wk ahead inc hosp,2021-11-20,DK,quantile,0.85,248
2021-10-24,4 wk ahead inc hosp,2021-11-20,DK,quantile,0.9,276
2021-10-24,4 wk ahead inc hosp,2021-11-20,DK,quantile,0.95,302
2021-10-24,4 wk ahead inc hosp,2021-11-20,DK,quantile,0.975,320
2021-10-24,4 wk ahead inc hosp,2021-11-20,DK,quantile,0.99,356
2021-10-24,1 wk ahead inc hosp,2021-10-30,EE,quantile,0.01,237
2021-10-24,1 wk ahead inc hosp,2021-10-30,EE,quantile,0.025,266
2021-10-24,1 wk ahead inc hosp,2021-10-30,EE,quantile,0.05,287
2021-10-24,1 wk ahead inc hosp,2021-10-30,EE,quantile,0.1,315
2021-10-24,1 wk ahead inc hosp,2021-10-30,EE,quantile,0.15,338
2021-10-24,1 wk ahead inc hosp,2021-10-30,EE,quantile,0.2,351
2021-10-24,1 wk ahead inc hosp,2021-10-30,EE,quantile,0.25,362
2021-10-24,1 wk ahead inc hosp,2021-10-30,EE,quantile,0.3,373
2021-10-24,1 wk ahead inc hosp,2021-10-30,EE,quantile,0.35,384
2021-10-24,1 wk ahead inc hosp,2021-10-30,EE,quantile,0.4,393
2021-10-24,1 wk ahead inc hosp,2021-10-30,EE,quantile,0.45,403
2021-10-24,1 wk ahead inc hosp,2021-10-30,EE,quantile,0.5,410
2021-10-24,1 wk ahead inc hosp,2021-10-30,EE,quantile,0.55,418
2021-10-24,1 wk ahead inc hosp,2021-10-30,EE,quantile,0.6,427
2021-10-24,1 wk ahead inc hosp,2021-10-30,EE,quantile,0.65,436
2021-10-24,1 wk ahead inc hosp,2021-10-30,EE,quantile,0.7,446
2021-10-24,1 wk ahead inc hosp,2021-10-30,EE,quantile,0.75,458
2021-10-24,1 wk ahead inc hosp,2021-10-30,EE,quantile,0.8,469
2021-10-24,1 wk ahead inc hosp,2021-10-30,EE,quantile,0.85,484
2021-10-24,1 wk ahead inc hosp,2021-10-30,EE,quantile,0.9,498
2021-10-24,1 wk ahead inc hosp,2021-10-30,EE,quantile,0.95,527
2021-10-24,1 wk ahead inc hosp,2021-10-30,EE,quantile,0.975,542
2021-10-24,1 wk ahead inc hosp,2021-10-30,EE,quantile,0.99,569
2021-10-24,2 wk ahead inc hosp,2021-11-06,EE,quantile,0.01,174
2021-10-24,2 wk ahead inc hosp,2021-11-06,EE,quantile,0.025,228
2021-10-24,2 wk ahead inc hosp,2021-11-06,EE,quantile,0.05,253
2021-10-24,2 wk ahead inc hosp,2021-11-06,EE,quantile,0.1,296
2021-10-24,2 wk ahead inc hosp,2021-11-06,EE,quantile,0.15,321
2021-10-24,2 wk ahead inc hosp,2021-11-06,EE,quantile,0.2,343
2021-10-24,2 wk ahead inc hosp,2021-11-06,EE,quantile,0.25,360
2021-10-24,2 wk ahead inc hosp,2021-11-06,EE,quantile,0.3,374
2021-10-24,2 wk ahead inc hosp,2021-11-06,EE,quantile,0.35,388
2021-10-24,2 wk ahead inc hosp,2021-11-06,EE,quantile,0.4,399
2021-10-24,2 wk ahead inc hosp,2021-11-06,EE,quantile,0.45,410
2021-10-24,2 wk ahead inc hosp,2021-11-06,EE,quantile,0.5,424
2021-10-24,2 wk ahead inc hosp,2021-11-06,EE,quantile,0.55,434
2021-10-24,2 wk ahead inc hosp,2021-11-06,EE,quantile,0.6,448
2021-10-24,2 wk ahead inc hosp,2021-11-06,EE,quantile,0.65,460
2021-10-24,2 wk ahead inc hosp,2021-11-06,EE,quantile,0.7,472
2021-10-24,2 wk ahead inc hosp,2021-11-06,EE,quantile,0.75,486
2021-10-24,2 wk ahead inc hosp,2021-11-06,EE,quantile,0.8,502
2021-10-24,2 wk ahead inc hosp,2021-11-06,EE,quantile,0.85,523
2021-10-24,2 wk ahead inc hosp,2021-11-06,EE,quantile,0.9,544
2021-10-24,2 wk ahead inc hosp,2021-11-06,EE,quantile,0.95,578
2021-10-24,2 wk ahead inc hosp,2021-11-06,EE,quantile,0.975,611
2021-10-24,2 wk ahead inc hosp,2021-11-06,EE,quantile,0.99,645
2021-10-24,3 wk ahead inc hosp,2021-11-13,EE,quantile,0.01,153
2021-10-24,3 wk ahead inc hosp,2021-11-13,EE,quantile,0.025,188
2021-10-24,3 wk ahead inc hosp,2021-11-13,EE,quantile,0.05,229
2021-10-24,3 wk ahead inc hosp,2021-11-13,EE,quantile,0.1,276
2021-10-24,3 wk ahead inc hosp,2021-11-13,EE,quantile,0.15,305
2021-10-24,3 wk ahead inc hosp,2021-11-13,EE,quantile,0.2,326
2021-10-24,3 wk ahead inc hosp,2021-11-13,EE,quantile,0.25,349
2021-10-24,3 wk ahead inc hosp,2021-11-13,EE,quantile,0.3,371
2021-10-24,3 wk ahead inc hosp,2021-11-13,EE,quantile,0.35,387
2021-10-24,3 wk ahead inc hosp,2021-11-13,EE,quantile,0.4,404
2021-10-24,3 wk ahead inc hosp,2021-11-13,EE,quantile,0.45,420
2021-10-24,3 wk ahead inc hosp,2021-11-13,EE,quantile,0.5,437
2021-10-24,3 wk ahead inc hosp,2021-11-13,EE,quantile,0.55,451
2021-10-24,3 wk ahead inc hosp,2021-11-13,EE,quantile,0.6,468
2021-10-24,3 wk ahead inc hosp,2021-11-13,EE,quantile,0.65,485
2021-10-24,3 wk ahead inc hosp,2021-11-13,EE,quantile,0.7,502
2021-10-24,3 wk ahead inc hosp,2021-11-13,EE,quantile,0.75,522
2021-10-24,3 wk ahead inc hosp,2021-11-13,EE,quantile,0.8,547
2021-10-24,3 wk ahead inc hosp,2021-11-13,EE,quantile,0.85,568
2021-10-24,3 wk ahead inc hosp,2021-11-13,EE,quantile,0.9,602
2021-10-24,3 wk ahead inc hosp,2021-11-13,EE,quantile,0.95,659
2021-10-24,3 wk ahead inc hosp,2021-11-13,EE,quantile,0.975,692
2021-10-24,3 wk ahead inc hosp,2021-11-13,EE,quantile,0.99,733
2021-10-24,4 wk ahead inc hosp,2021-11-20,EE,quantile,0.01,135
2021-10-24,4 wk ahead inc hosp,2021-11-20,EE,quantile,0.025,174
2021-10-24,4 wk ahead inc hosp,2021-11-20,EE,quantile,0.05,208
2021-10-24,4 wk ahead inc hosp,2021-11-20,EE,quantile,0.1,259
2021-10-24,4 wk ahead inc hosp,2021-11-20,EE,quantile,0.15,288
2021-10-24,4 wk ahead inc hosp,2021-11-20,EE,quantile,0.2,311
2021-10-24,4 wk ahead inc hosp,2021-11-20,EE,quantile,0.25,341
2021-10-24,4 wk ahead inc hosp,2021-11-20,EE,quantile,0.3,372
2021-10-24,4 wk ahead inc hosp,2021-11-20,EE,quantile,0.35,394
2021-10-24,4 wk ahead inc hosp,2021-11-20,EE,quantile,0.4,413
2021-10-24,4 wk ahead inc hosp,2021-11-20,EE,quantile,0.45,431
2021-10-24,4 wk ahead inc hosp,2021-11-20,EE,quantile,0.5,447
2021-10-24,4 wk ahead inc hosp,2021-11-20,EE,quantile,0.55,465
2021-10-24,4 wk ahead inc hosp,2021-11-20,EE,quantile,0.6,485
2021-10-24,4 wk ahead inc hosp,2021-11-20,EE,quantile,0.65,503
2021-10-24,4 wk ahead inc hosp,2021-11-20,EE,quantile,0.7,520
2021-10-24,4 wk ahead inc hosp,2021-11-20,EE,quantile,0.75,544
2021-10-24,4 wk ahead inc hosp,2021-11-20,EE,quantile,0.8,570
2021-10-24,4 wk ahead inc hosp,2021-11-20,EE,quantile,0.85,606
2021-10-24,4 wk ahead inc hosp,2021-11-20,EE,quantile,0.9,637
2021-10-24,4 wk ahead inc hosp,2021-11-20,EE,quantile,0.95,693
2021-10-24,4 wk ahead inc hosp,2021-11-20,EE,quantile,0.975,726
2021-10-24,4 wk ahead inc hosp,2021-11-20,EE,quantile,0.99,784
2021-10-24,1 wk ahead inc hosp,2021-10-30,ES,quantile,0.01,0
2021-10-24,1 wk ahead inc hosp,2021-10-30,ES,quantile,0.025,12
2021-10-24,1 wk ahead inc hosp,2021-10-30,ES,quantile,0.05,98
2021-10-24,1 wk ahead inc hosp,2021-10-30,ES,quantile,0.1,177
2021-10-24,1 wk ahead inc hosp,2021-10-30,ES,quantile,0.15,240
2021-10-24,1 wk ahead inc hosp,2021-10-30,ES,quantile,0.2,312
2021-10-24,1 wk ahead inc hosp,2021-10-30,ES,quantile,0.25,362
2021-10-24,1 wk ahead inc hosp,2021-10-30,ES,quantile,0.3,402
2021-10-24,1 wk ahead inc hosp,2021-10-30,ES,quantile,0.35,441
2021-10-24,1 wk ahead inc hosp,2021-10-30,ES,quantile,0.4,475
2021-10-24,1 wk ahead inc hosp,2021-10-30,ES,quantile,0.45,508
2021-10-24,1 wk ahead inc hosp,2021-10-30,ES,quantile,0.5,547
2021-10-24,1 wk ahead inc hosp,2021-10-30,ES,quantile,0.55,593
2021-10-24,1 wk ahead inc hosp,2021-10-30,ES,quantile,0.6,634
2021-10-24,1 wk ahead inc hosp,2021-10-30,ES,quantile,0.65,675
2021-10-24,1 wk ahead inc hosp,2021-10-30,ES,quantile,0.7,720
2021-10-24,1 wk ahead inc hosp,2021-10-30,ES,quantile,0.75,762
2021-10-24,1 wk ahead inc hosp,2021-10-30,ES,quantile,0.8,815
2021-10-24,1 wk ahead inc hosp,2021-10-30,ES,quantile,0.85,877
2021-10-24,1 wk ahead inc hosp,2021-10-30,ES,quantile,0.9,956
2021-10-24,1 wk ahead inc hosp,2021-10-30,ES,quantile,0.95,1079
2021-10-24,1 wk ahead inc hosp,2021-10-30,ES,quantile,0.975,1158
2021-10-24,1 wk ahead inc hosp,2021-10-30,ES,quantile,0.99,1251
2021-10-24,2 wk ahead inc hosp,2021-11-06,ES,quantile,0.01,0
2021-10-24,2 wk ahead inc hosp,2021-11-06,ES,quantile,0.025,0
2021-10-24,2 wk ahead inc hosp,2021-11-06,ES,quantile,0.05,0
2021-10-24,2 wk ahead inc hosp,2021-11-06,ES,quantile,0.1,0
2021-10-24,2 wk ahead inc hosp,2021-11-06,ES,quantile,0.15,64
2021-10-24,2 wk ahead inc hosp,2021-11-06,ES,quantile,0.2,178
2021-10-24,2 wk ahead inc hosp,2021-11-06,ES,quantile,0.25,231
2021-10-24,2 wk ahead inc hosp,2021-11-06,ES,quantile,0.3,307
2021-10-24,2 wk ahead inc hosp,2021-11-06,ES,quantile,0.35,381
2021-10-24,2 wk ahead inc hosp,2021-11-06,ES,quantile,0.4,430
2021-10-24,2 wk ahead inc hosp,2021-11-06,ES,quantile,0.45,480
2021-10-24,2 wk ahead inc hosp,2021-11-06,ES,quantile,0.5,556
2021-10-24,2 wk ahead inc hosp,2021-11-06,ES,quantile,0.55,623
2021-10-24,2 wk ahead inc hosp,2021-11-06,ES,quantile,0.6,682
2021-10-24,2 wk ahead inc hosp,2021-11-06,ES,quantile,0.65,766
2021-10-24,2 wk ahead inc hosp,2021-11-06,ES,quantile,0.7,826
2021-10-24,2 wk ahead inc hosp,2021-11-06,ES,quantile,0.75,888
2021-10-24,2 wk ahead inc hosp,2021-11-06,ES,quantile,0.8,949
2021-10-24,2 wk ahead inc hosp,2021-11-06,ES,quantile,0.85,1035
2021-10-24,2 wk ahead inc hosp,2021-11-06,ES,quantile,0.9,1133
2021-10-24,2 wk ahead inc hosp,2021-11-06,ES,quantile,0.95,1301
2021-10-24,2 wk ahead inc hosp,2021-11-06,ES,quantile,0.975,1411
2021-10-24,2 wk ahead inc hosp,2021-11-06,ES,quantile,0.99,1592
2021-10-24,3 wk ahead inc hosp,2021-11-13,ES,quantile,0.01,0
2021-10-24,3 wk ahead inc hosp,2021-11-13,ES,quantile,0.025,0
2021-10-24,3 wk ahead inc hosp,2021-11-13,ES,quantile,0.05,0
2021-10-24,3 wk ahead inc hosp,2021-11-13,ES,quantile,0.1,0
2021-10-24,3 wk ahead inc hosp,2021-11-13,ES,quantile,0.15,0
2021-10-24,3 wk ahead inc hosp,2021-11-13,ES,quantile,0.2,0
2021-10-24,3 wk ahead inc hosp,2021-11-13,ES,quantile,0.25,64
2021-10-24,3 wk ahead inc hosp,2021-11-13,ES,quantile,0.3,145
2021-10-24,3 wk ahead inc hosp,2021-11-13,ES,quantile,0.35,231
2021-10-24,3 wk ahead inc hosp,2021-11-13,ES,quantile,0.4,301
2021-10-24,3 wk ahead inc hosp,2021-11-13,ES,quantile,0.45,387
2021-10-24,3 wk ahead inc hosp,2021-11-13,ES,quantile,0.5,477
2021-10-24,3 wk ahead inc hosp,2021-11-13,ES,quantile,0.55,565
2021-10-24,3 wk ahead inc hosp,2021-11-13,ES,quantile,0.6,650
2021-10-24,3 wk ahead inc hosp,2021-11-13,ES,quantile,0.65,729
2021-10-24,3 wk ahead inc hosp,2021-11-13,ES,quantile,0.7,815
2021-10-24,3 wk ahead inc hosp,2021-11-13,ES,quantile,0.75,906
2021-10-24,3 wk ahead inc hosp,2021-11-13,ES,quantile,0.8,1009
