forecast_date,scenario_id,target,target_end_date,location,type,quantile,value
2022-09-26,forecast,1 wk ahead inc case,2022-10-01,BG,point,NA,3871
2022-09-26,forecast,1 wk ahead inc case,2022-10-01,BG,"quantile",0.01,2619
2022-09-26,forecast,1 wk ahead inc case,2022-10-01,BG,"quantile",0.025,2887
2022-09-26,forecast,1 wk ahead inc case,2022-10-01,BG,"quantile",0.05,3070
2022-09-26,forecast,1 wk ahead inc case,2022-10-01,BG,"quantile",0.1,3280
2022-09-26,forecast,1 wk ahead inc case,2022-10-01,BG,"quantile",0.15,3415
2022-09-26,forecast,1 wk ahead inc case,2022-10-01,BG,"quantile",0.2,3508
2022-09-26,forecast,1 wk ahead inc case,2022-10-01,BG,"quantile",0.25,3583
2022-09-26,forecast,1 wk ahead inc case,2022-10-01,BG,"quantile",0.3,3650
2022-09-26,forecast,1 wk ahead inc case,2022-10-01,BG,"quantile",0.35,3708
2022-09-26,forecast,1 wk ahead inc case,2022-10-01,BG,"quantile",0.4,3759
2022-09-26,forecast,1 wk ahead inc case,2022-10-01,BG,"quantile",0.45,3809
2022-09-26,forecast,1 wk ahead inc case,2022-10-01,BG,"quantile",0.5,3859
2022-09-26,forecast,1 wk ahead inc case,2022-10-01,BG,"quantile",0.55,3911
2022-09-26,forecast,1 wk ahead inc case,2022-10-01,BG,"quantile",0.6,3967
2022-09-26,forecast,1 wk ahead inc case,2022-10-01,BG,"quantile",0.65,4027
2022-09-26,forecast,1 wk ahead inc case,2022-10-01,BG,"quantile",0.7,4094
2022-09-26,forecast,1 wk ahead inc case,2022-10-01,BG,"quantile",0.75,4179
2022-09-26,forecast,1 wk ahead inc case,2022-10-01,BG,"quantile",0.8,4287
2022-09-26,forecast,1 wk ahead inc case,2022-10-01,BG,"quantile",0.85,4429
2022-09-26,forecast,1 wk ahead inc case,2022-10-01,BG,"quantile",0.9,4655
2022-09-26,forecast,1 wk ahead inc case,2022-10-01,BG,"quantile",0.95,5135
2022-09-26,forecast,1 wk ahead inc case,2022-10-01,BG,"quantile",0.975,5723
2022-09-26,forecast,1 wk ahead inc case,2022-10-01,BG,"quantile",0.99,6656
2022-09-26,forecast,2 wk ahead inc case,2022-10-08,BG,point,NA,4146
2022-09-26,forecast,2 wk ahead inc case,2022-10-08,BG,"quantile",0.01,1882
2022-09-26,forecast,2 wk ahead inc case,2022-10-08,BG,"quantile",0.025,2225
2022-09-26,forecast,2 wk ahead inc case,2022-10-08,BG,"quantile",0.05,2532
2022-09-26,forecast,2 wk ahead inc case,2022-10-08,BG,"quantile",0.1,2914
2022-09-26,forecast,2 wk ahead inc case,2022-10-08,BG,"quantile",0.15,3155
2022-09-26,forecast,2 wk ahead inc case,2022-10-08,BG,"quantile",0.2,3353
