forecast_data;target;target_end_date;location;type;quantile;value
26/4/2021;1 wk ahead inc case;1/5/2021;AT;point;NA;13748
26/4/2021;1 wk ahead inc case;1/5/2021;AT;quantile;0.025;4056
26/4/2021;1 wk ahead inc case;1/5/2021;AT;quantile;0.250;10586
26/4/2021;1 wk ahead inc case;1/5/2021;AT;quantile;0.750;17474
26/4/2021;1 wk ahead inc case;1/5/2021;AT;quantile;0.975;50140
26/4/2021;2 wk ahead inc case;8/5/2021;AT;point;NA;26010
26/4/2021;2 wk ahead inc case;8/5/2021;AT;quantile;0.025;2159
26/4/2021;2 wk ahead inc case;8/5/2021;AT;quantile;0.250;14488
26/4/2021;2 wk ahead inc case;8/5/2021;AT;quantile;0.750;38495
26/4/2021;2 wk ahead inc case;8/5/2021;AT;quantile;0.975;201682
26/4/2021;1 wk ahead inc case;1/5/2021;BE;point;NA;23745
26/4/2021;1 wk ahead inc case;1/5/2021;BE;quantile;0.025;7005
26/4/2021;1 wk ahead inc case;1/5/2021;BE;quantile;0.250;18284
26/4/2021;1 wk ahead inc case;1/5/2021;BE;quantile;0.750;30180
26/4/2021;1 wk ahead inc case;1/5/2021;BE;quantile;0.975;86599
26/4/2021;2 wk ahead inc case;8/5/2021;BE;point;NA;45935
26/4/2021;2 wk ahead inc case;8/5/2021;BE;quantile;0.025;3813
26/4/2021;2 wk ahead inc case;8/5/2021;BE;quantile;0.250;25586
26/4/2021;2 wk ahead inc case;8/5/2021;BE;quantile;0.750;67983
26/4/2021;2 wk ahead inc case;8/5/2021;BE;quantile;0.975;356177
26/4/2021;1 wk ahead inc case;1/5/2021;BG;point;NA;8493
26/4/2021;1 wk ahead inc case;1/5/2021;BG;quantile;0.025;2505
26/4/2021;1 wk ahead inc case;1/5/2021;BG;quantile;0.250;6540
26/4/2021;1 wk ahead inc case;1/5/2021;BG;quantile;0.750;10794
26/4/2021;1 wk ahead inc case;1/5/2021;BG;quantile;0.975;30974
26/4/2021;2 wk ahead inc case;8/5/2021;BG;point;NA;14924
26/4/2021;2 wk ahead inc case;8/5/2021;BG;quantile;0.025;1239
26/4/2021;2 wk ahead inc case;8/5/2021;BG;quantile;0.250;8313
26/4/2021;2 wk ahead inc case;8/5/2021;BG;quantile;0.750;22088
26/4/2021;2 wk ahead inc case;8/5/2021;BG;quantile;0.975;115724
26/4/2021;1 wk ahead inc case;1/5/2021;CH;point;NA;4668
26/4/2021;1 wk ahead inc case;1/5/2021;CH;quantile;0.025;1377
26/4/2021;1 wk ahead inc case;1/5/2021;CH;quantile;0.250;3594
26/4/2021;1 wk ahead inc case;1/5/2021;CH;quantile;0.750;5933
26/4/2021;1 wk ahead inc case;1/5/2021;CH;quantile;0.975;17023
26/4/2021;2 wk ahead inc case;8/5/2021;CH;point;NA;7312
26/4/2021;2 wk ahead inc case;8/5/2021;CH;quantile;0.025;607
26/4/2021;2 wk ahead inc case;8/5/2021;CH;quantile;0.250;4073
26/4/2021;2 wk ahead inc case;8/5/2021;CH;quantile;0.750;10821
26/4/2021;2 wk ahead inc case;8/5/2021;CH;quantile;0.975;56696
26/4/2021;1 wk ahead inc case;1/5/2021;CY;point;NA;7346
26/4/2021;1 wk ahead inc case;1/5/2021;CY;quantile;0.025;2167
26/4/2021;1 wk ahead inc case;1/5/2021;CY;quantile;0.250;5656
