location,target,type,quantile,value,target_end_date,forecast_date
AT,1 wk ahead inc case,point,NA,1484,2021-06-19,2021-06-14
AT,1 wk ahead inc case,quantile,0.025,438,2021-06-19,2021-06-14
AT,1 wk ahead inc case,quantile,0.250,1143,2021-06-19,2021-06-14
AT,1 wk ahead inc case,quantile,0.750,1886,2021-06-19,2021-06-14
AT,1 wk ahead inc case,quantile,0.975,5413,2021-06-19,2021-06-14
AT,2 wk ahead inc case,point,NA,1160,2021-06-26,2021-06-14
AT,2 wk ahead inc case,quantile,0.025,96,2021-06-26,2021-06-14
AT,2 wk ahead inc case,quantile,0.250,646,2021-06-26,2021-06-14
AT,2 wk ahead inc case,quantile,0.750,1716,2021-06-26,2021-06-14
AT,2 wk ahead inc case,quantile,0.975,8992,2021-06-26,2021-06-14
BE,1 wk ahead inc case,point,NA,3606,2021-06-19,2021-06-14
BE,1 wk ahead inc case,quantile,0.025,1064,2021-06-19,2021-06-14
BE,1 wk ahead inc case,quantile,0.250,2776,2021-06-19,2021-06-14
BE,1 wk ahead inc case,quantile,0.750,4583,2021-06-19,2021-06-14
BE,1 wk ahead inc case,quantile,0.975,13150,2021-06-19,2021-06-14
BE,2 wk ahead inc case,point,NA,2108,2021-06-26,2021-06-14
BE,2 wk ahead inc case,quantile,0.025,175,2021-06-26,2021-06-14
BE,2 wk ahead inc case,quantile,0.250,1174,2021-06-26,2021-06-14
BE,2 wk ahead inc case,quantile,0.750,3120,2021-06-26,2021-06-14
BE,2 wk ahead inc case,quantile,0.975,16349,2021-06-26,2021-06-14
BG,1 wk ahead inc case,point,NA,656,2021-06-19,2021-06-14
BG,1 wk ahead inc case,quantile,0.025,193,2021-06-19,2021-06-14
BG,1 wk ahead inc case,quantile,0.250,505,2021-06-19,2021-06-14
BG,1 wk ahead inc case,quantile,0.750,833,2021-06-19,2021-06-14
BG,1 wk ahead inc case,quantile,0.975,2391,2021-06-19,2021-06-14
BG,2 wk ahead inc case,point,NA,485,2021-06-26,2021-06-14
BG,2 wk ahead inc case,quantile,0.025,40,2021-06-26,2021-06-14
BG,2 wk ahead inc case,quantile,0.250,270,2021-06-26,2021-06-14
BG,2 wk ahead inc case,quantile,0.750,718,2021-06-26,2021-06-14
BG,2 wk ahead inc case,quantile,0.975,3760,2021-06-26,2021-06-14
CH,1 wk ahead inc case,point,NA,544,2021-06-19,2021-06-14
CH,1 wk ahead inc case,quantile,0.025,160,2021-06-19,2021-06-14
CH,1 wk ahead inc case,quantile,0.250,419,2021-06-19,2021-06-14
CH,1 wk ahead inc case,quantile,0.750,691,2021-06-19,2021-06-14
CH,1 wk ahead inc case,quantile,0.975,1982,2021-06-19,2021-06-14
CH,2 wk ahead inc case,point,NA,191,2021-06-26,2021-06-14
CH,2 wk ahead inc case,quantile,0.025,16,2021-06-26,2021-06-14
CH,2 wk ahead inc case,quantile,0.250,106,2021-06-26,2021-06-14
CH,2 wk ahead inc case,quantile,0.750,282,2021-06-26,2021-06-14
CH,2 wk ahead inc case,quantile,0.975,1479,2021-06-26,2021-06-14
CY,1 wk ahead inc case,point,NA,405,2021-06-19,2021-06-14
CY,1 wk ahead inc case,quantile,0.025,119,2021-06-19,2021-06-14
CY,1 wk ahead inc case,quantile,0.250,312,2021-06-19,2021-06-14
CY,1 wk ahead inc case,quantile,0.750,515,2021-06-19,2021-06-14
CY,1 wk ahead inc case,quantile,0.975,1477,2021-06-19,2021-06-14
CY,2 wk ahead inc case,point,NA,406,2021-06-26,2021-06-14
CY,2 wk ahead inc case,quantile,0.025,34,2021-06-26,2021-06-14
CY,2 wk ahead inc case,quantile,0.250,226,2021-06-26,2021-06-14
CY,2 wk ahead inc case,quantile,0.750,601,2021-06-26,2021-06-14
CY,2 wk ahead inc case,quantile,0.975,3147,2021-06-26,2021-06-14
CZ,1 wk ahead inc case,point,NA,1128,2021-06-19,2021-06-14
CZ,1 wk ahead inc case,quantile,0.025,333,2021-06-19,2021-06-14
CZ,1 wk ahead inc case,quantile,0.250,869,2021-06-19,2021-06-14
CZ,1 wk ahead inc case,quantile,0.750,1434,2021-06-19,2021-06-14
CZ,1 wk ahead inc case,quantile,0.975,4114,2021-06-19,2021-06-14
CZ,2 wk ahead inc case,point,NA,751,2021-06-26,2021-06-14
CZ,2 wk ahead inc case,quantile,0.025,62,2021-06-26,2021-06-14
CZ,2 wk ahead inc case,quantile,0.250,418,2021-06-26,2021-06-14
CZ,2 wk ahead inc case,quantile,0.750,1111,2021-06-26,2021-06-14
CZ,2 wk ahead inc case,quantile,0.975,5822,2021-06-26,2021-06-14
DE,1 wk ahead inc case,point,NA,10946,2021-06-19,2021-06-14
DE,1 wk ahead inc case,quantile,0.025,3229,2021-06-19,2021-06-14
DE,1 wk ahead inc case,quantile,0.250,8429,2021-06-19,2021-06-14
DE,1 wk ahead inc case,quantile,0.750,13913,2021-06-19,2021-06-14
DE,1 wk ahead inc case,quantile,0.975,39922,2021-06-19,2021-06-14
DE,2 wk ahead inc case,point,NA,7939,2021-06-26,2021-06-14
DE,2 wk ahead inc case,quantile,0.025,659,2021-06-26,2021-06-14
DE,2 wk ahead inc case,quantile,0.250,4422,2021-06-26,2021-06-14
DE,2 wk ahead inc case,quantile,0.750,11749,2021-06-26,2021-06-14
DE,2 wk ahead inc case,quantile,0.975,61556,2021-06-26,2021-06-14
DK,1 wk ahead inc case,point,NA,2151,2021-06-19,2021-06-14
DK,1 wk ahead inc case,quantile,0.025,635,2021-06-19,2021-06-14
DK,1 wk ahead inc case,quantile,0.250,1656,2021-06-19,2021-06-14
DK,1 wk ahead inc case,quantile,0.750,2734,2021-06-19,2021-06-14
DK,1 wk ahead inc case,quantile,0.975,7846,2021-06-19,2021-06-14
DK,2 wk ahead inc case,point,NA,1203,2021-06-26,2021-06-14
DK,2 wk ahead inc case,quantile,0.025,100,2021-06-26,2021-06-14
DK,2 wk ahead inc case,quantile,0.250,670,2021-06-26,2021-06-14
DK,2 wk ahead inc case,quantile,0.750,1780,2021-06-26,2021-06-14
DK,2 wk ahead inc case,quantile,0.975,9327,2021-06-26,2021-06-14
EE,1 wk ahead inc case,point,NA,245,2021-06-19,2021-06-14
EE,1 wk ahead inc case,quantile,0.025,72,2021-06-19,2021-06-14
EE,1 wk ahead inc case,quantile,0.250,189,2021-06-19,2021-06-14
EE,1 wk ahead inc case,quantile,0.750,311,2021-06-19,2021-06-14
EE,1 wk ahead inc case,quantile,0.975,893,2021-06-19,2021-06-14
EE,2 wk ahead inc case,point,NA,144,2021-06-26,2021-06-14
EE,2 wk ahead inc case,quantile,0.025,12,2021-06-26,2021-06-14
EE,2 wk ahead inc case,quantile,0.250,80,2021-06-26,2021-06-14
EE,2 wk ahead inc case,quantile,0.750,214,2021-06-26,2021-06-14
EE,2 wk ahead inc case,quantile,0.975,1119,2021-06-26,2021-06-14
ES,1 wk ahead inc case,point,NA,22209,2021-06-19,2021-06-14
ES,1 wk ahead inc case,quantile,0.025,6552,2021-06-19,2021-06-14
ES,1 wk ahead inc case,quantile,0.250,17101,2021-06-19,2021-06-14
ES,1 wk ahead inc case,quantile,0.750,28227,2021-06-19,2021-06-14
ES,1 wk ahead inc case,quantile,0.975,80996,2021-06-19,2021-06-14
ES,2 wk ahead inc case,point,NA,21075,2021-06-26,2021-06-14
ES,2 wk ahead inc case,quantile,0.025,1749,2021-06-26,2021-06-14
ES,2 wk ahead inc case,quantile,0.250,11739,2021-06-26,2021-06-14
ES,2 wk ahead inc case,quantile,0.750,31191,2021-06-26,2021-06-14
ES,2 wk ahead inc case,quantile,0.975,163418,2021-06-26,2021-06-14
FI,1 wk ahead inc case,point,NA,401,2021-06-19,2021-06-14
FI,1 wk ahead inc case,quantile,0.025,118,2021-06-19,2021-06-14
FI,1 wk ahead inc case,quantile,0.250,309,2021-06-19,2021-06-14
FI,1 wk ahead inc case,quantile,0.750,510,2021-06-19,2021-06-14
FI,1 wk ahead inc case,quantile,0.975,1464,2021-06-19,2021-06-14
FI,2 wk ahead inc case,point,NA,257,2021-06-26,2021-06-14
FI,2 wk ahead inc case,quantile,0.025,21,2021-06-26,2021-06-14
FI,2 wk ahead inc case,quantile,0.250,143,2021-06-26,2021-06-14
FI,2 wk ahead inc case,quantile,0.750,381,2021-06-26,2021-06-14
FI,2 wk ahead inc case,quantile,0.975,1996,2021-06-26,2021-06-14
FR,1 wk ahead inc case,point,NA,16820,2021-06-19,2021-06-14
FR,1 wk ahead inc case,quantile,0.025,4962,2021-06-19,2021-06-14
FR,1 wk ahead inc case,quantile,0.250,12952,2021-06-19,2021-06-14
FR,1 wk ahead inc case,quantile,0.750,21379,2021-06-19,2021-06-14
FR,1 wk ahead inc case,quantile,0.975,61344,2021-06-19,2021-06-14
FR,2 wk ahead inc case,point,NA,9988,2021-06-26,2021-06-14
FR,2 wk ahead inc case,quantile,0.025,829,2021-06-26,2021-06-14
FR,2 wk ahead inc case,quantile,0.250,5563,2021-06-26,2021-06-14
FR,2 wk ahead inc case,quantile,0.750,14782,2021-06-26,2021-06-14
FR,2 wk ahead inc case,quantile,0.975,77443,2021-06-26,2021-06-14
GB,1 wk ahead inc case,point,NA,66260,2021-06-19,2021-06-14
GB,1 wk ahead inc case,quantile,0.025,19547,2021-06-19,2021-06-14
GB,1 wk ahead inc case,quantile,0.250,51020,2021-06-19,2021-06-14
GB,1 wk ahead inc case,quantile,0.750,84216,2021-06-19,2021-06-14
GB,1 wk ahead inc case,quantile,0.975,241650,2021-06-19,2021-06-14
GB,2 wk ahead inc case,point,NA,86298,2021-06-26,2021-06-14
GB,2 wk ahead inc case,quantile,0.025,7163,2021-06-26,2021-06-14
GB,2 wk ahead inc case,quantile,0.250,48068,2021-06-26,2021-06-14
GB,2 wk ahead inc case,quantile,0.750,127721,2021-06-26,2021-06-14
GB,2 wk ahead inc case,quantile,0.975,669154,2021-06-26,2021-06-14
GR,1 wk ahead inc case,point,NA,3867,2021-06-19,2021-06-14
GR,1 wk ahead inc case,quantile,0.025,1141,2021-06-19,2021-06-14
