forecast_date,target,target_end_date,location,type,quantile,value,scenario_id
2021-06-07,1 wk ahead inc case,2021-06-12,DE,point,NA,16754,forecast
2021-06-07,1 wk ahead inc case,2021-06-12,DE,quantile,0.01,0,forecast
2021-06-07,1 wk ahead inc case,2021-06-12,DE,quantile,0.025,175,forecast
2021-06-07,1 wk ahead inc case,2021-06-12,DE,quantile,0.05,2840,forecast
2021-06-07,1 wk ahead inc case,2021-06-12,DE,quantile,0.1,5914,forecast
2021-06-07,1 wk ahead inc case,2021-06-12,DE,quantile,0.15,7987,forecast
2021-06-07,1 wk ahead inc case,2021-06-12,DE,quantile,0.2,9635,forecast
2021-06-07,1 wk ahead inc case,2021-06-12,DE,quantile,0.25,11049,forecast
2021-06-07,1 wk ahead inc case,2021-06-12,DE,quantile,0.3,12318,forecast
2021-06-07,1 wk ahead inc case,2021-06-12,DE,quantile,0.35,13495,forecast
2021-06-07,1 wk ahead inc case,2021-06-12,DE,quantile,0.4,14611,forecast
2021-06-07,1 wk ahead inc case,2021-06-12,DE,quantile,0.45,15691,forecast
2021-06-07,1 wk ahead inc case,2021-06-12,DE,quantile,0.5,16754,forecast
2021-06-07,1 wk ahead inc case,2021-06-12,DE,quantile,0.55,17817,forecast
2021-06-07,1 wk ahead inc case,2021-06-12,DE,quantile,0.6,18897,forecast
2021-06-07,1 wk ahead inc case,2021-06-12,DE,quantile,0.65,20013,forecast
2021-06-07,1 wk ahead inc case,2021-06-12,DE,quantile,0.7,21190,forecast
2021-06-07,1 wk ahead inc case,2021-06-12,DE,quantile,0.75,22459,forecast
2021-06-07,1 wk ahead inc case,2021-06-12,DE,quantile,0.8,23873,forecast
2021-06-07,1 wk ahead inc case,2021-06-12,DE,quantile,0.85,25521,forecast
2021-06-07,1 wk ahead inc case,2021-06-12,DE,quantile,0.9,27594,forecast
2021-06-07,1 wk ahead inc case,2021-06-12,DE,quantile,0.95,30667,forecast
2021-06-07,1 wk ahead inc case,2021-06-12,DE,quantile,0.975,33333,forecast
2021-06-07,1 wk ahead inc case,2021-06-12,DE,quantile,0.99,36432,forecast
2021-06-07,2 wk ahead inc case,2021-06-19,DE,point,NA,14723,forecast
2021-06-07,2 wk ahead inc case,2021-06-19,DE,quantile,0.01,0,forecast
2021-06-07,2 wk ahead inc case,2021-06-19,DE,quantile,0.025,0,forecast
2021-06-07,2 wk ahead inc case,2021-06-19,DE,quantile,0.05,0,forecast
2021-06-07,2 wk ahead inc case,2021-06-19,DE,quantile,0.1,0,forecast
2021-06-07,2 wk ahead inc case,2021-06-19,DE,quantile,0.15,0,forecast
2021-06-07,2 wk ahead inc case,2021-06-19,DE,quantile,0.2,0,forecast
2021-06-07,2 wk ahead inc case,2021-06-19,DE,quantile,0.25,1760,forecast
2021-06-07,2 wk ahead inc case,2021-06-19,DE,quantile,0.3,4644,forecast
2021-06-07,2 wk ahead inc case,2021-06-19,DE,quantile,0.35,7317,forecast
2021-06-07,2 wk ahead inc case,2021-06-19,DE,quantile,0.4,9854,forecast
2021-06-07,2 wk ahead inc case,2021-06-19,DE,quantile,0.45,12308,forecast
2021-06-07,2 wk ahead inc case,2021-06-19,DE,quantile,0.5,14723,forecast
2021-06-07,2 wk ahead inc case,2021-06-19,DE,quantile,0.55,17138,forecast
2021-06-07,2 wk ahead inc case,2021-06-19,DE,quantile,0.6,19593,forecast
2021-06-07,2 wk ahead inc case,2021-06-19,DE,quantile,0.65,22129,forecast
2021-06-07,2 wk ahead inc case,2021-06-19,DE,quantile,0.7,24802,forecast
2021-06-07,2 wk ahead inc case,2021-06-19,DE,quantile,0.75,27687,forecast
2021-06-07,2 wk ahead inc case,2021-06-19,DE,quantile,0.8,30899,forecast
2021-06-07,2 wk ahead inc case,2021-06-19,DE,quantile,0.85,34643,forecast
2021-06-07,2 wk ahead inc case,2021-06-19,DE,quantile,0.9,39355,forecast
2021-06-07,2 wk ahead inc case,2021-06-19,DE,quantile,0.95,46337,forecast
2021-06-07,2 wk ahead inc case,2021-06-19,DE,quantile,0.975,52394,forecast
2021-06-07,2 wk ahead inc case,2021-06-19,DE,quantile,0.99,59436,forecast
2021-06-07,3 wk ahead inc case,2021-06-26,DE,point,NA,14054,forecast
2021-06-07,3 wk ahead inc case,2021-06-26,DE,quantile,0.01,0,forecast
2021-06-07,3 wk ahead inc case,2021-06-26,DE,quantile,0.025,0,forecast
2021-06-07,3 wk ahead inc case,2021-06-26,DE,quantile,0.05,0,forecast
2021-06-07,3 wk ahead inc case,2021-06-26,DE,quantile,0.1,0,forecast
2021-06-07,3 wk ahead inc case,2021-06-26,DE,quantile,0.15,0,forecast
2021-06-07,3 wk ahead inc case,2021-06-26,DE,quantile,0.2,0,forecast
2021-06-07,3 wk ahead inc case,2021-06-26,DE,quantile,0.25,0,forecast
2021-06-07,3 wk ahead inc case,2021-06-26,DE,quantile,0.3,0,forecast
2021-06-07,3 wk ahead inc case,2021-06-26,DE,quantile,0.35,3229,forecast
2021-06-07,3 wk ahead inc case,2021-06-26,DE,quantile,0.4,6937,forecast
2021-06-07,3 wk ahead inc case,2021-06-26,DE,quantile,0.45,10524,forecast
2021-06-07,3 wk ahead inc case,2021-06-26,DE,quantile,0.5,14054,forecast
2021-06-07,3 wk ahead inc case,2021-06-26,DE,quantile,0.55,17585,forecast
2021-06-07,3 wk ahead inc case,2021-06-26,DE,quantile,0.6,21172,forecast
2021-06-07,3 wk ahead inc case,2021-06-26,DE,quantile,0.65,24879,forecast
2021-06-07,3 wk ahead inc case,2021-06-26,DE,quantile,0.7,28787,forecast
2021-06-07,3 wk ahead inc case,2021-06-26,DE,quantile,0.75,33003,forecast
2021-06-07,3 wk ahead inc case,2021-06-26,DE,quantile,0.8,37699,forecast
2021-06-07,3 wk ahead inc case,2021-06-26,DE,quantile,0.85,43172,forecast
2021-06-07,3 wk ahead inc case,2021-06-26,DE,quantile,0.9,50058,forecast
2021-06-07,3 wk ahead inc case,2021-06-26,DE,quantile,0.95,60265,forecast
2021-06-07,3 wk ahead inc case,2021-06-26,DE,quantile,0.975,69117,forecast
2021-06-07,3 wk ahead inc case,2021-06-26,DE,quantile,0.99,79410,forecast
2021-06-07,4 wk ahead inc case,2021-07-03,DE,point,NA,13834,forecast
2021-06-07,4 wk ahead inc case,2021-07-03,DE,quantile,0.01,0,forecast
2021-06-07,4 wk ahead inc case,2021-07-03,DE,quantile,0.025,0,forecast
2021-06-07,4 wk ahead inc case,2021-07-03,DE,quantile,0.05,0,forecast
2021-06-07,4 wk ahead inc case,2021-07-03,DE,quantile,0.1,0,forecast
2021-06-07,4 wk ahead inc case,2021-07-03,DE,quantile,0.15,0,forecast
2021-06-07,4 wk ahead inc case,2021-07-03,DE,quantile,0.2,0,forecast
2021-06-07,4 wk ahead inc case,2021-07-03,DE,quantile,0.25,0,forecast
2021-06-07,4 wk ahead inc case,2021-07-03,DE,quantile,0.3,0,forecast
2021-06-07,4 wk ahead inc case,2021-07-03,DE,quantile,0.35,186,forecast
2021-06-07,4 wk ahead inc case,2021-07-03,DE,quantile,0.4,4860,forecast
2021-06-07,4 wk ahead inc case,2021-07-03,DE,quantile,0.45,9383,forecast
2021-06-07,4 wk ahead inc case,2021-07-03,DE,quantile,0.5,13834,forecast
2021-06-07,4 wk ahead inc case,2021-07-03,DE,quantile,0.55,18285,forecast
2021-06-07,4 wk ahead inc case,2021-07-03,DE,quantile,0.6,22807,forecast
2021-06-07,4 wk ahead inc case,2021-07-03,DE,quantile,0.65,27482,forecast
2021-06-07,4 wk ahead inc case,2021-07-03,DE,quantile,0.7,32408,forecast
2021-06-07,4 wk ahead inc case,2021-07-03,DE,quantile,0.75,37724,forecast
2021-06-07,4 wk ahead inc case,2021-07-03,DE,quantile,0.8,43644,forecast
2021-06-07,4 wk ahead inc case,2021-07-03,DE,quantile,0.85,50544,forecast
2021-06-07,4 wk ahead inc case,2021-07-03,DE,quantile,0.9,59226,forecast
2021-06-07,4 wk ahead inc case,2021-07-03,DE,quantile,0.95,72094,forecast
2021-06-07,4 wk ahead inc case,2021-07-03,DE,quantile,0.975,83255,forecast
2021-06-07,4 wk ahead inc case,2021-07-03,DE,quantile,0.99,96232,forecast
