forecast_date,target,target_end_date,location,type,quantile,value
2022-06-20,1 wk ahead inc case,2022-06-25,DE,point,NA,454809
2022-06-20,1 wk ahead inc case,2022-06-25,DE,quantile,0.01,354170
2022-06-20,1 wk ahead inc case,2022-06-25,DE,quantile,0.025,370020
2022-06-20,1 wk ahead inc case,2022-06-25,DE,quantile,0.05,383651
2022-06-20,1 wk ahead inc case,2022-06-25,DE,quantile,0.1,399368
2022-06-20,1 wk ahead inc case,2022-06-25,DE,quantile,0.15,409972
2022-06-20,1 wk ahead inc case,2022-06-25,DE,quantile,0.2,418400
2022-06-20,1 wk ahead inc case,2022-06-25,DE,quantile,0.25,425630
2022-06-20,1 wk ahead inc case,2022-06-25,DE,quantile,0.3,432123
2022-06-20,1 wk ahead inc case,2022-06-25,DE,quantile,0.35,438140
2022-06-20,1 wk ahead inc case,2022-06-25,DE,quantile,0.4,443849
2022-06-20,1 wk ahead inc case,2022-06-25,DE,quantile,0.45,449372
2022-06-20,1 wk ahead inc case,2022-06-25,DE,quantile,0.5,454809
2022-06-20,1 wk ahead inc case,2022-06-25,DE,quantile,0.55,460245
2022-06-20,1 wk ahead inc case,2022-06-25,DE,quantile,0.6,465769
2022-06-20,1 wk ahead inc case,2022-06-25,DE,quantile,0.65,471478
2022-06-20,1 wk ahead inc case,2022-06-25,DE,quantile,0.7,477495
2022-06-20,1 wk ahead inc case,2022-06-25,DE,quantile,0.75,483987
2022-06-20,1 wk ahead inc case,2022-06-25,DE,quantile,0.8,491218
2022-06-20,1 wk ahead inc case,2022-06-25,DE,quantile,0.85,499645
2022-06-20,1 wk ahead inc case,2022-06-25,DE,quantile,0.9,510249
2022-06-20,1 wk ahead inc case,2022-06-25,DE,quantile,0.95,525966
2022-06-20,1 wk ahead inc case,2022-06-25,DE,quantile,0.975,539598
2022-06-20,1 wk ahead inc case,2022-06-25,DE,quantile,0.99,555448
2022-06-20,2 wk ahead inc case,2022-07-02,DE,point,NA,511823
2022-06-20,2 wk ahead inc case,2022-07-02,DE,quantile,0.01,270124
2022-06-20,2 wk ahead inc case,2022-07-02,DE,quantile,0.025,308190
2022-06-20,2 wk ahead inc case,2022-07-02,DE,quantile,0.05,340929
2022-06-20,2 wk ahead inc case,2022-07-02,DE,quantile,0.1,378674
2022-06-20,2 wk ahead inc case,2022-07-02,DE,quantile,0.15,404141
2022-06-20,2 wk ahead inc case,2022-07-02,DE,quantile,0.2,424382
2022-06-20,2 wk ahead inc case,2022-07-02,DE,quantile,0.25,441746
2022-06-20,2 wk ahead inc case,2022-07-02,DE,quantile,0.3,457340
2022-06-20,2 wk ahead inc case,2022-07-02,DE,quantile,0.35,471790
2022-06-20,2 wk ahead inc case,2022-07-02,DE,quantile,0.4,485501
2022-06-20,2 wk ahead inc case,2022-07-02,DE,quantile,0.45,498767
2022-06-20,2 wk ahead inc case,2022-07-02,DE,quantile,0.5,511823
2022-06-20,2 wk ahead inc case,2022-07-02,DE,quantile,0.55,524879
2022-06-20,2 wk ahead inc case,2022-07-02,DE,quantile,0.6,538145
2022-06-20,2 wk ahead inc case,2022-07-02,DE,quantile,0.65,551856
2022-06-20,2 wk ahead inc case,2022-07-02,DE,quantile,0.7,566306
2022-06-20,2 wk ahead inc case,2022-07-02,DE,quantile,0.75,581900
2022-06-20,2 wk ahead inc case,2022-07-02,DE,quantile,0.8,599264
2022-06-20,2 wk ahead inc case,2022-07-02,DE,quantile,0.85,619505
2022-06-20,2 wk ahead inc case,2022-07-02,DE,quantile,0.9,644972
2022-06-20,2 wk ahead inc case,2022-07-02,DE,quantile,0.95,682717
2022-06-20,2 wk ahead inc case,2022-07-02,DE,quantile,0.975,715456
2022-06-20,2 wk ahead inc case,2022-07-02,DE,quantile,0.99,753522
2022-06-20,3 wk ahead inc case,2022-07-09,DE,point,NA,560696
