forecast_date,scenario_id,target,target_end_date,location,type,quantile,value
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,MT,point,NA,151
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,MT,quantile,0.01,59
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,MT,quantile,0.025,69
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,MT,quantile,0.05,78
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,MT,quantile,0.1,91
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,MT,quantile,0.15,101
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,MT,quantile,0.2,109
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,MT,quantile,0.25,116
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,MT,quantile,0.3,123
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,MT,quantile,0.35,130
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,MT,quantile,0.4,137
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,MT,quantile,0.45,145
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,MT,quantile,0.5,151
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,MT,quantile,0.55,158
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,MT,quantile,0.6,165
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,MT,quantile,0.65,172
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,MT,quantile,0.7,180
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,MT,quantile,0.75,190
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,MT,quantile,0.8,203
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,MT,quantile,0.85,219
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,MT,quantile,0.9,243
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,MT,quantile,0.95,286
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,MT,quantile,0.975,342
2021-04-26,forecast,1 wk ahead inc case,2021-05-01,MT,quantile,0.99,425
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,MT,point,NA,104
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,MT,quantile,0.01,18
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,MT,quantile,0.025,24
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,MT,quantile,0.05,31
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,MT,quantile,0.1,41
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,MT,quantile,0.15,49
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,MT,quantile,0.2,57
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,MT,quantile,0.25,64
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,MT,quantile,0.3,71
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,MT,quantile,0.35,79
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,MT,quantile,0.4,87
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,MT,quantile,0.45,95
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,MT,quantile,0.5,104
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,MT,quantile,0.55,113
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,MT,quantile,0.6,123
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,MT,quantile,0.65,133
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,MT,quantile,0.7,144
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,MT,quantile,0.75,159
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,MT,quantile,0.8,180
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,MT,quantile,0.85,206
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,MT,quantile,0.9,258
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,MT,quantile,0.95,378
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,MT,quantile,0.975,550
2021-04-26,forecast,2 wk ahead inc case,2021-05-08,MT,quantile,0.99,1446
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,MT,point,NA,73
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,MT,quantile,0.01,5
2021-04-26,forecast,3 wk ahead inc case,2021-05-15,MT,quantile,0.025,8
