"forecast_date","scenario_id","target","target_end_date","location","type","quantile","value"
"2021-06-07","forecast","1 wk ahead inc case","2021-06-12","DE","point","NA","14991.229831422404"
"2021-06-07","forecast","1 wk ahead inc case","2021-06-12","DE","quantile","0.01","7193.7076778862875"
"2021-06-07","forecast","1 wk ahead inc case","2021-06-12","DE","quantile","0.025","8303.469653709255"
"2021-06-07","forecast","1 wk ahead inc case","2021-06-12","DE","quantile","0.05","9264.830215982935"
"2021-06-07","forecast","1 wk ahead inc case","2021-06-12","DE","quantile","0.1","10426.821776197448"
"2021-06-07","forecast","1 wk ahead inc case","2021-06-12","DE","quantile","0.15","11229.222028320984"
"2021-06-07","forecast","1 wk ahead inc case","2021-06-12","DE","quantile","0.2","11888.114541967012"
"2021-06-07","forecast","1 wk ahead inc case","2021-06-12","DE","quantile","0.25","12438.698308410996"
"2021-06-07","forecast","1 wk ahead inc case","2021-06-12","DE","quantile","0.3","12977.492756209256"
"2021-06-07","forecast","1 wk ahead inc case","2021-06-12","DE","quantile","0.35","13511.951184733934"
"2021-06-07","forecast","1 wk ahead inc case","2021-06-12","DE","quantile","0.4","14008.204535785886"
"2021-06-07","forecast","1 wk ahead inc case","2021-06-12","DE","quantile","0.45","14499.679260279361"
"2021-06-07","forecast","1 wk ahead inc case","2021-06-12","DE","quantile","0.5","14991.229831422404"
"2021-06-07","forecast","1 wk ahead inc case","2021-06-12","DE","quantile","0.55","15519.452002020873"
"2021-06-07","forecast","1 wk ahead inc case","2021-06-12","DE","quantile","0.6","16064.764784794088"
"2021-06-07","forecast","1 wk ahead inc case","2021-06-12","DE","quantile","0.65","16652.305933870593"
"2021-06-07","forecast","1 wk ahead inc case","2021-06-12","DE","quantile","0.7","17294.705348909843"
"2021-06-07","forecast","1 wk ahead inc case","2021-06-12","DE","quantile","0.75","18023.502629588296"
"2021-06-07","forecast","1 wk ahead inc case","2021-06-12","DE","quantile","0.8","18866.353142703032"
"2021-06-07","forecast","1 wk ahead inc case","2021-06-12","DE","quantile","0.85","19899.182457756076"
"2021-06-07","forecast","1 wk ahead inc case","2021-06-12","DE","quantile","0.9","21419.224766740583"
"2021-06-07","forecast","1 wk ahead inc case","2021-06-12","DE","quantile","0.95","23816.914495321213"
"2021-06-07","forecast","1 wk ahead inc case","2021-06-12","DE","quantile","0.975","26650.318000986194"
"2021-06-07","forecast","1 wk ahead inc case","2021-06-12","DE","quantile","0.99","30597.49787097122"
"2021-06-07","forecast","2 wk ahead inc case","2021-06-19","DE","point","NA","10166.649554904045"
"2021-06-07","forecast","2 wk ahead inc case","2021-06-19","DE","quantile","0.01","3273.889243589692"
"2021-06-07","forecast","2 wk ahead inc case","2021-06-19","DE","quantile","0.025","4068.2888567499826"
"2021-06-07","forecast","2 wk ahead inc case","2021-06-19","DE","quantile","0.05","4866.523403739776"
"2021-06-07","forecast","2 wk ahead inc case","2021-06-19","DE","quantile","0.1","5823.033175511215"
"2021-06-07","forecast","2 wk ahead inc case","2021-06-19","DE","quantile","0.15","6509.835106739515"
"2021-06-07","forecast","2 wk ahead inc case","2021-06-19","DE","quantile","0.2","7099.743028066936"
"2021-06-07","forecast","2 wk ahead inc case","2021-06-19","DE","quantile","0.25","7660.057213938422"
"2021-06-07","forecast","2 wk ahead inc case","2021-06-19","DE","quantile","0.3","8151.302793246633"
"2021-06-07","forecast","2 wk ahead inc case","2021-06-19","DE","quantile","0.35","8638.322249946672"
"2021-06-07","forecast","2 wk ahead inc case","2021-06-19","DE","quantile","0.4","9128.431019996337"
"2021-06-07","forecast","2 wk ahead inc case","2021-06-19","DE","quantile","0.45","9645.299547968641"
"2021-06-07","forecast","2 wk ahead inc case","2021-06-19","DE","quantile","0.5","10166.649554904045"
"2021-06-07","forecast","2 wk ahead inc case","2021-06-19","DE","quantile","0.55","10721.535859294976"
"2021-06-07","forecast","2 wk ahead inc case","2021-06-19","DE","quantile","0.6","11335.947911906085"
"2021-06-07","forecast","2 wk ahead inc case","2021-06-19","DE","quantile","0.65","11996.326991131773"
"2021-06-07","forecast","2 wk ahead inc case","2021-06-19","DE","quantile","0.7","12693.491898995042"
"2021-06-07","forecast","2 wk ahead inc case","2021-06-19","DE","quantile","0.75","13534.855737272237"
"2021-06-07","forecast","2 wk ahead inc case","2021-06-19","DE","quantile","0.8","14565.884616362631"
"2021-06-07","forecast","2 wk ahead inc case","2021-06-19","DE","quantile","0.85","15971.106429844971"
"2021-06-07","forecast","2 wk ahead inc case","2021-06-19","DE","quantile","0.9","17999.646890084314"
"2021-06-07","forecast","2 wk ahead inc case","2021-06-19","DE","quantile","0.95","21920.312644236903"
"2021-06-07","forecast","2 wk ahead inc case","2021-06-19","DE","quantile","0.975","26784.787007586892"
"2021-06-07","forecast","2 wk ahead inc case","2021-06-19","DE","quantile","0.99","35785.97365001725"
