"forecast_date","target","target_end_date","location","type","quantile","value"
"2021-12-06","2 wk ahead inc hosp",2021-12-18,"BE","point",NA,2863
"2021-12-06","3 wk ahead inc hosp",2021-12-25,"BE","point",NA,2844
"2021-12-06","4 wk ahead inc hosp",2022-01-01,"BE","point",NA,2761
"2021-12-06","2 wk ahead inc hosp",2021-12-18,"BE","quantile",0.01,1961
"2021-12-06","3 wk ahead inc hosp",2021-12-25,"BE","quantile",0.01,1703
"2021-12-06","4 wk ahead inc hosp",2022-01-01,"BE","quantile",0.01,1582
"2021-12-06","2 wk ahead inc hosp",2021-12-18,"BE","quantile",0.025,1969
"2021-12-06","3 wk ahead inc hosp",2021-12-25,"BE","quantile",0.025,1709
"2021-12-06","4 wk ahead inc hosp",2022-01-01,"BE","quantile",0.025,1588
"2021-12-06","2 wk ahead inc hosp",2021-12-18,"BE","quantile",0.05,1981
"2021-12-06","3 wk ahead inc hosp",2021-12-25,"BE","quantile",0.05,1720
"2021-12-06","4 wk ahead inc hosp",2022-01-01,"BE","quantile",0.05,1598
"2021-12-06","2 wk ahead inc hosp",2021-12-18,"BE","quantile",0.1,2049
"2021-12-06","3 wk ahead inc hosp",2021-12-25,"BE","quantile",0.1,1779
"2021-12-06","4 wk ahead inc hosp",2022-01-01,"BE","quantile",0.1,1652
"2021-12-06","2 wk ahead inc hosp",2021-12-18,"BE","quantile",0.15,2122
"2021-12-06","3 wk ahead inc hosp",2021-12-25,"BE","quantile",0.15,1843
"2021-12-06","4 wk ahead inc hosp",2022-01-01,"BE","quantile",0.15,1711
"2021-12-06","2 wk ahead inc hosp",2021-12-18,"BE","quantile",0.2,2165
"2021-12-06","3 wk ahead inc hosp",2021-12-25,"BE","quantile",0.2,1880
"2021-12-06","4 wk ahead inc hosp",2022-01-01,"BE","quantile",0.2,1746
"2021-12-06","2 wk ahead inc hosp",2021-12-18,"BE","quantile",0.25,2196
"2021-12-06","3 wk ahead inc hosp",2021-12-25,"BE","quantile",0.25,1907
"2021-12-06","4 wk ahead inc hosp",2022-01-01,"BE","quantile",0.25,1771
"2021-12-06","2 wk ahead inc hosp",2021-12-18,"BE","quantile",0.3,2266
"2021-12-06","3 wk ahead inc hosp",2021-12-25,"BE","quantile",0.3,1968
"2021-12-06","4 wk ahead inc hosp",2022-01-01,"BE","quantile",0.3,1827
"2021-12-06","2 wk ahead inc hosp",2021-12-18,"BE","quantile",0.35,2277
"2021-12-06","3 wk ahead inc hosp",2021-12-25,"BE","quantile",0.35,1977
"2021-12-06","4 wk ahead inc hosp",2022-01-01,"BE","quantile",0.35,1836
"2021-12-06","2 wk ahead inc hosp",2021-12-18,"BE","quantile",0.4,2381
"2021-12-06","3 wk ahead inc hosp",2021-12-25,"BE","quantile",0.4,2067
"2021-12-06","4 wk ahead inc hosp",2022-01-01,"BE","quantile",0.4,1920
"2021-12-06","2 wk ahead inc hosp",2021-12-18,"BE","quantile",0.45,2412
"2021-12-06","3 wk ahead inc hosp",2021-12-25,"BE","quantile",0.45,2094
"2021-12-06","4 wk ahead inc hosp",2022-01-01,"BE","quantile",0.45,1945
"2021-12-06","2 wk ahead inc hosp",2021-12-18,"BE","quantile",0.5,2863
"2021-12-06","3 wk ahead inc hosp",2021-12-25,"BE","quantile",0.5,2844
"2021-12-06","4 wk ahead inc hosp",2022-01-01,"BE","quantile",0.5,2761
"2021-12-06","2 wk ahead inc hosp",2021-12-18,"BE","quantile",0.55,3400
"2021-12-06","3 wk ahead inc hosp",2021-12-25,"BE","quantile",0.55,3863
"2021-12-06","4 wk ahead inc hosp",2022-01-01,"BE","quantile",0.55,3920
"2021-12-06","2 wk ahead inc hosp",2021-12-18,"BE","quantile",0.6,3454
"2021-12-06","3 wk ahead inc hosp",2021-12-25,"BE","quantile",0.6,3924
"2021-12-06","4 wk ahead inc hosp",2022-01-01,"BE","quantile",0.6,3982
"2021-12-06","2 wk ahead inc hosp",2021-12-18,"BE","quantile",0.65,3665
"2021-12-06","3 wk ahead inc hosp",2021-12-25,"BE","quantile",0.65,4164
"2021-12-06","4 wk ahead inc hosp",2022-01-01,"BE","quantile",0.65,4225
"2021-12-06","2 wk ahead inc hosp",2021-12-18,"BE","quantile",0.7,4080
"2021-12-06","3 wk ahead inc hosp",2021-12-25,"BE","quantile",0.7,4636
"2021-12-06","4 wk ahead inc hosp",2022-01-01,"BE","quantile",0.7,4705
"2021-12-06","2 wk ahead inc hosp",2021-12-18,"BE","quantile",0.75,4202
"2021-12-06","3 wk ahead inc hosp",2021-12-25,"BE","quantile",0.75,4774
"2021-12-06","4 wk ahead inc hosp",2022-01-01,"BE","quantile",0.75,4845
"2021-12-06","2 wk ahead inc hosp",2021-12-18,"BE","quantile",0.8,4343
"2021-12-06","3 wk ahead inc hosp",2021-12-25,"BE","quantile",0.8,4935
"2021-12-06","4 wk ahead inc hosp",2022-01-01,"BE","quantile",0.8,5008
"2021-12-06","2 wk ahead inc hosp",2021-12-18,"BE","quantile",0.85,4506
"2021-12-06","3 wk ahead inc hosp",2021-12-25,"BE","quantile",0.85,5119
"2021-12-06","4 wk ahead inc hosp",2022-01-01,"BE","quantile",0.85,5195
"2021-12-06","2 wk ahead inc hosp",2021-12-18,"BE","quantile",0.9,4815
"2021-12-06","3 wk ahead inc hosp",2021-12-25,"BE","quantile",0.9,5471
"2021-12-06","4 wk ahead inc hosp",2022-01-01,"BE","quantile",0.9,5551
"2021-12-06","2 wk ahead inc hosp",2021-12-18,"BE","quantile",0.95,5387
"2021-12-06","3 wk ahead inc hosp",2021-12-25,"BE","quantile",0.95,6120
"2021-12-06","4 wk ahead inc hosp",2022-01-01,"BE","quantile",0.95,6211
"2021-12-06","2 wk ahead inc hosp",2021-12-18,"BE","quantile",0.975,5647
"2021-12-06","3 wk ahead inc hosp",2021-12-25,"BE","quantile",0.975,6416
"2021-12-06","4 wk ahead inc hosp",2022-01-01,"BE","quantile",0.975,6511
"2021-12-06","2 wk ahead inc hosp",2021-12-18,"BE","quantile",0.99,5803
"2021-12-06","3 wk ahead inc hosp",2021-12-25,"BE","quantile",0.99,6594
"2021-12-06","4 wk ahead inc hosp",2022-01-01,"BE","quantile",0.99,6691
"2021-12-06","1 wk ahead inc hosp",2021-12-11,"HR","point",NA,1593
