forecast_date,target,target_end_date,location,type,quantile,value
2024-01-01,1 wk ahead inc case,2024-01-06,BE,point,NA,5680
2024-01-01,2 wk ahead inc case,2024-01-13,BE,point,NA,6219
2024-01-01,3 wk ahead inc case,2024-01-20,BE,point,NA,6858
2024-01-01,4 wk ahead inc case,2024-01-27,BE,point,NA,7559
2024-01-01,1 wk ahead inc case,2024-01-06,BE,quantile,0.01,595
2024-01-01,1 wk ahead inc case,2024-01-06,BE,quantile,0.025,1394
2024-01-01,1 wk ahead inc case,2024-01-06,BE,quantile,0.05,2015
2024-01-01,1 wk ahead inc case,2024-01-06,BE,quantile,0.1,3217
2024-01-01,1 wk ahead inc case,2024-01-06,BE,quantile,0.15,3380
2024-01-01,1 wk ahead inc case,2024-01-06,BE,quantile,0.2,3570
2024-01-01,1 wk ahead inc case,2024-01-06,BE,quantile,0.25,4088
2024-01-01,1 wk ahead inc case,2024-01-06,BE,quantile,0.3,4459
2024-01-01,1 wk ahead inc case,2024-01-06,BE,quantile,0.35,4855
2024-01-01,1 wk ahead inc case,2024-01-06,BE,quantile,0.4,5208
2024-01-01,1 wk ahead inc case,2024-01-06,BE,quantile,0.45,5353
2024-01-01,1 wk ahead inc case,2024-01-06,BE,quantile,0.5,5615
2024-01-01,1 wk ahead inc case,2024-01-06,BE,quantile,0.55,5869
2024-01-01,1 wk ahead inc case,2024-01-06,BE,quantile,0.6,6075
2024-01-01,1 wk ahead inc case,2024-01-06,BE,quantile,0.65,6369
2024-01-01,1 wk ahead inc case,2024-01-06,BE,quantile,0.7,6677
2024-01-01,1 wk ahead inc case,2024-01-06,BE,quantile,0.75,7047
2024-01-01,1 wk ahead inc case,2024-01-06,BE,quantile,0.8,7577
2024-01-01,1 wk ahead inc case,2024-01-06,BE,quantile,0.85,8175
2024-01-01,1 wk ahead inc case,2024-01-06,BE,quantile,0.9,8901
2024-01-01,1 wk ahead inc case,2024-01-06,BE,quantile,0.95,11191
2024-01-01,1 wk ahead inc case,2024-01-06,BE,quantile,0.975,13795
2024-01-01,1 wk ahead inc case,2024-01-06,BE,quantile,0.99,17119
2024-01-01,2 wk ahead inc case,2024-01-13,BE,quantile,0.01,246
2024-01-01,2 wk ahead inc case,2024-01-13,BE,quantile,0.025,999
2024-01-01,2 wk ahead inc case,2024-01-13,BE,quantile,0.05,1924
2024-01-01,2 wk ahead inc case,2024-01-13,BE,quantile,0.1,3166
2024-01-01,2 wk ahead inc case,2024-01-13,BE,quantile,0.15,3342
2024-01-01,2 wk ahead inc case,2024-01-13,BE,quantile,0.2,3563
2024-01-01,2 wk ahead inc case,2024-01-13,BE,quantile,0.25,4226
2024-01-01,2 wk ahead inc case,2024-01-13,BE,quantile,0.3,4779
