origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2024-04-10,ARI incidence,2024-04-07,1,BE,median,,919.5321246954708
2024-04-10,ARI incidence,2024-04-14,2,BE,median,,827.9194674565763
2024-04-10,ARI incidence,2024-04-21,3,BE,median,,750.2671555549316
2024-04-10,ARI incidence,2024-04-28,4,BE,median,,675.0221383983011
2024-04-10,ARI incidence,2024-04-07,1,BE,quantile,0.01,541.8808305114965
2024-04-10,ARI incidence,2024-04-07,1,BE,quantile,0.025,598.656206223374
2024-04-10,ARI incidence,2024-04-07,1,BE,quantile,0.05,643.5461589858361
2024-04-10,ARI incidence,2024-04-07,1,BE,quantile,0.1,697.7004895905328
2024-04-10,ARI incidence,2024-04-07,1,BE,quantile,0.15,734.366032100552
2024-04-10,ARI incidence,2024-04-07,1,BE,quantile,0.2,763.1599703406894
2024-04-10,ARI incidence,2024-04-07,1,BE,quantile,0.25,795.741340260722
2024-04-10,ARI incidence,2024-04-07,1,BE,quantile,0.3,822.6084172196176
2024-04-10,ARI incidence,2024-04-07,1,BE,quantile,0.35,843.3714676473788
2024-04-10,ARI incidence,2024-04-07,1,BE,quantile,0.4,871.1736060946339
2024-04-10,ARI incidence,2024-04-07,1,BE,quantile,0.45,897.9187860134178
2024-04-10,ARI incidence,2024-04-07,1,BE,quantile,0.5,919.5321246954708
2024-04-10,ARI incidence,2024-04-07,1,BE,quantile,0.55,941.2968540577465
2024-04-10,ARI incidence,2024-04-07,1,BE,quantile,0.6,963.8991882550356
2024-04-10,ARI incidence,2024-04-07,1,BE,quantile,0.65,988.4737406933316
2024-04-10,ARI incidence,2024-04-07,1,BE,quantile,0.7,1017.6171021916906
2024-04-10,ARI incidence,2024-04-07,1,BE,quantile,0.75,1058.8382565177594
2024-04-10,ARI incidence,2024-04-07,1,BE,quantile,0.8,1086.157886292915
2024-04-10,ARI incidence,2024-04-07,1,BE,quantile,0.85,1135.333800217233
2024-04-10,ARI incidence,2024-04-07,1,BE,quantile,0.9,1202.604404406926
2024-04-10,ARI incidence,2024-04-07,1,BE,quantile,0.95,1317.768353963979
2024-04-10,ARI incidence,2024-04-07,1,BE,quantile,0.975,1442.72492808436
2024-04-10,ARI incidence,2024-04-07,1,BE,quantile,0.99,1613.3424279543626
2024-04-10,ARI incidence,2024-04-14,2,BE,quantile,0.01,435.30037582468196
2024-04-10,ARI incidence,2024-04-14,2,BE,quantile,0.025,484.8988272774593
2024-04-10,ARI incidence,2024-04-14,2,BE,quantile,0.05,520.8700875276504
2024-04-10,ARI incidence,2024-04-14,2,BE,quantile,0.1,581.0064446891458
2024-04-10,ARI incidence,2024-04-14,2,BE,quantile,0.15,624.970501501571
2024-04-10,ARI incidence,2024-04-14,2,BE,quantile,0.2,661.9931232722749
2024-04-10,ARI incidence,2024-04-14,2,BE,quantile,0.25,697.851245142031
2024-04-10,ARI incidence,2024-04-14,2,BE,quantile,0.3,721.4591789263588
2024-04-10,ARI incidence,2024-04-14,2,BE,quantile,0.35,752.2398361865755
2024-04-10,ARI incidence,2024-04-14,2,BE,quantile,0.4,775.2758063753217
2024-04-10,ARI incidence,2024-04-14,2,BE,quantile,0.45,801.639480095598
2024-04-10,ARI incidence,2024-04-14,2,BE,quantile,0.5,827.9194674565763
2024-04-10,ARI incidence,2024-04-14,2,BE,quantile,0.55,856.135816855411
2024-04-10,ARI incidence,2024-04-14,2,BE,quantile,0.6,882.4297210599916
2024-04-10,ARI incidence,2024-04-14,2,BE,quantile,0.65,925.4112250904504
2024-04-10,ARI incidence,2024-04-14,2,BE,quantile,0.7,963.678908327295
2024-04-10,ARI incidence,2024-04-14,2,BE,quantile,0.75,997.1403506403675
2024-04-10,ARI incidence,2024-04-14,2,BE,quantile,0.8,1051.9805164853499
2024-04-10,ARI incidence,2024-04-14,2,BE,quantile,0.85,1112.9484058666044
