forecast_date,target,target_end_date,location,type,quantile,value
2024-03-25,0 wk ahead inc case,2024-03-23,BE,quantile,0.7,254
2024-03-25,0 wk ahead inc case,2024-03-23,BE,quantile,0.65,251
2024-03-25,0 wk ahead inc case,2024-03-23,BE,quantile,0.55,244
2024-03-25,0 wk ahead inc case,2024-03-23,BE,quantile,0.5,241
2024-03-25,2 wk ahead inc case,2024-04-06,BE,quantile,0.975,672
2024-03-25,2 wk ahead inc case,2024-04-06,BE,quantile,0.95,594
2024-03-25,2 wk ahead inc case,2024-04-06,BE,quantile,0.99,797
2024-03-25,2 wk ahead inc case,2024-04-06,BE,quantile,0.9,504
2024-03-25,0 wk ahead inc case,2024-03-23,BE,quantile,0.6,247
2024-03-25,2 wk ahead inc case,2024-04-06,BE,quantile,0.85,453
2024-03-25,2 wk ahead inc case,2024-04-06,BE,quantile,0.8,416
2024-03-25,2 wk ahead inc case,2024-04-06,BE,quantile,0.55,305
2024-03-25,2 wk ahead inc case,2024-04-06,BE,quantile,0.5,288
2024-03-25,2 wk ahead inc case,2024-04-06,BE,quantile,0.6,322
2024-03-25,2 wk ahead inc case,2024-04-06,BE,quantile,0.35,242
2024-03-25,0 wk ahead inc case,2024-03-23,BE,quantile,0.45,238
2024-03-25,2 wk ahead inc case,2024-04-06,BE,quantile,0.45,273
2024-03-25,2 wk ahead inc case,2024-04-06,BE,quantile,0.4,258
2024-03-25,0 wk ahead inc case,2024-03-23,BE,quantile,0.35,232
2024-03-25,0 wk ahead inc case,2024-03-23,BE,quantile,0.95,283
2024-03-25,2 wk ahead inc case,2024-04-06,BE,quantile,0.3,228
2024-03-25,2 wk ahead inc case,2024-04-06,BE,quantile,0.75,386
2024-03-25,1 wk ahead inc case,2024-03-30,BE,quantile,0.3,269
2024-03-25,0 wk ahead inc case,2024-03-23,BE,quantile,0.4,235
2024-03-25,1 wk ahead inc case,2024-03-30,BE,quantile,0.025,236
2024-03-25,1 wk ahead inc case,2024-03-30,BE,quantile,0.05,243
2024-03-25,1 wk ahead inc case,2024-03-30,BE,quantile,0.5,282
2024-03-25,1 wk ahead inc case,2024-03-30,BE,quantile,0.25,265
2024-03-25,1 wk ahead inc case,2024-03-30,BE,quantile,0.35,273
2024-03-25,1 wk ahead inc case,2024-03-30,BE,quantile,0.45,279
2024-03-25,3 wk ahead inc case,2024-04-13,BE,quantile,0.3,355
2024-03-25,3 wk ahead inc case,2024-04-13,BE,quantile,0.9,738
2024-03-25,2 wk ahead inc case,2024-04-06,BE,quantile,0.05,140
2024-03-25,2 wk ahead inc case,2024-04-06,BE,quantile,0.1,164
2024-03-25,2 wk ahead inc case,2024-04-06,BE,quantile,0.25,214
2024-03-25,2 wk ahead inc case,2024-04-06,BE,quantile,0.65,341
2024-03-25,2 wk ahead inc case,2024-04-06,BE,quantile,0.7,362
2024-03-25,1 wk ahead inc case,2024-03-30,BE,quantile,0.01,229
2024-03-25,1 wk ahead inc case,2024-03-30,BE,quantile,0.8,305
2024-03-25,1 wk ahead inc case,2024-03-30,BE,quantile,0.85,310
2024-03-25,1 wk ahead inc case,2024-03-30,BE,quantile,0.75,300
2024-03-25,3 wk ahead inc case,2024-04-13,BE,quantile,0.95,857
2024-03-25,3 wk ahead inc case,2024-04-13,BE,quantile,0.975,967
2024-03-25,0 wk ahead inc case,2024-03-23,BE,quantile,0.025,200
2024-03-25,0 wk ahead inc case,2024-03-23,BE,quantile,0.05,206
2024-03-25,0 wk ahead inc case,2024-03-23,BE,quantile,0.25,226
2024-03-25,0 wk ahead inc case,2024-03-23,BE,quantile,0.3,229
2024-03-25,0 wk ahead inc case,2024-03-23,BE,quantile,0.975,291
2024-03-25,0 wk ahead inc case,2024-03-23,BE,quantile,0.99,302
2024-03-25,1 wk ahead inc case,2024-03-30,BE,quantile,0.1,251
2024-03-25,1 wk ahead inc case,2024-03-30,BE,quantile,0.15,257
2024-03-25,3 wk ahead inc case,2024-04-13,BE,quantile,0.35,375
2024-03-25,1 wk ahead inc case,2024-03-30,BE,quantile,0.2,261
2024-03-25,1 wk ahead inc case,2024-03-30,BE,quantile,0.4,276
2024-03-25,1 wk ahead inc case,2024-03-30,BE,quantile,0.9,317
2024-03-25,3 wk ahead inc case,2024-04-13,BE,quantile,0.85,666
2024-03-25,0 wk ahead inc case,2024-03-23,BE,quantile,0.75,258
2024-03-25,3 wk ahead inc case,2024-04-13,BE,quantile,0.7,543
2024-03-25,3 wk ahead inc case,2024-04-13,BE,quantile,0.99,1098
2024-03-25,1 wk ahead inc case,2024-03-30,BE,quantile,0.95,328
2024-03-25,0 wk ahead inc case,2024-03-23,BE,quantile,0.01,192
2024-03-25,0 wk ahead inc case,2024-03-23,BE,quantile,0.8,262
2024-03-25,0 wk ahead inc case,2024-03-23,BE,quantile,0.85,266
2024-03-25,0 wk ahead inc case,2024-03-23,BE,quantile,0.9,273
2024-03-25,3 wk ahead inc case,2024-04-13,BE,quantile,0.75,577
2024-03-25,3 wk ahead inc case,2024-04-13,BE,quantile,0.8,617
2024-03-25,2 wk ahead inc case,2024-04-06,BE,quantile,0.025,122
2024-03-25,2 wk ahead inc case,2024-04-06,BE,quantile,0.01,104
2024-03-25,2 wk ahead inc case,2024-04-06,BE,quantile,0.15,182
2024-03-25,2 wk ahead inc case,2024-04-06,BE,quantile,0.2,198
2024-03-25,1 wk ahead inc case,2024-03-30,BE,quantile,0.55,286
2024-03-25,1 wk ahead inc case,2024-03-30,BE,quantile,0.975,337
2024-03-25,0 wk ahead inc case,2024-03-23,BE,quantile,0.1,213
2024-03-25,0 wk ahead inc case,2024-03-23,BE,quantile,0.15,218
2024-03-25,0 wk ahead inc case,2024-03-23,BE,quantile,0.2,223
2024-03-25,3 wk ahead inc case,2024-04-13,BE,quantile,0.4,395
2024-03-25,3 wk ahead inc case,2024-04-13,BE,quantile,0.45,417
2024-03-25,1 wk ahead inc case,2024-03-30,BE,quantile,0.6,289
2024-03-25,1 wk ahead inc case,2024-03-30,BE,quantile,0.65,293
2024-03-25,1 wk ahead inc case,2024-03-30,BE,quantile,0.7,296
2024-03-25,1 wk ahead inc case,2024-03-30,BE,quantile,0.99,348
2024-03-25,3 wk ahead inc case,2024-04-13,BE,quantile,0.05,224
2024-03-25,3 wk ahead inc case,2024-04-13,BE,quantile,0.1,258
2024-03-25,3 wk ahead inc case,2024-04-13,BE,quantile,0.6,484
2024-03-25,3 wk ahead inc case,2024-04-13,BE,quantile,0.15,286
2024-03-25,3 wk ahead inc case,2024-04-13,BE,quantile,0.2,311
2024-03-25,3 wk ahead inc case,2024-04-13,BE,quantile,0.65,512
2024-03-25,3 wk ahead inc case,2024-04-13,BE,quantile,0.01,172
2024-03-25,3 wk ahead inc case,2024-04-13,BE,quantile,0.025,199
