forecast_date,target,target_end_date,location,type,quantile,value
2024-04-08,1 wk ahead inc case,2024-04-13,BE,point,NA,144
2024-04-08,1 wk ahead inc case,2024-04-13,BG,point,NA,68
2024-04-08,1 wk ahead inc case,2024-04-13,CY,point,NA,42
2024-04-08,1 wk ahead inc case,2024-04-13,CZ,point,NA,80
2024-04-08,1 wk ahead inc case,2024-04-13,EE,point,NA,38
2024-04-08,1 wk ahead inc case,2024-04-13,GR,point,NA,894
2024-04-08,1 wk ahead inc case,2024-04-13,HU,point,NA,32
2024-04-08,1 wk ahead inc case,2024-04-13,IE,point,NA,124
2024-04-08,1 wk ahead inc case,2024-04-13,IS,point,NA,2
2024-04-08,1 wk ahead inc case,2024-04-13,IT,point,NA,358
2024-04-08,1 wk ahead inc case,2024-04-13,LI,point,NA,0
2024-04-08,1 wk ahead inc case,2024-04-13,LT,point,NA,171
2024-04-08,1 wk ahead inc case,2024-04-13,LU,point,NA,18
2024-04-08,1 wk ahead inc case,2024-04-13,MT,point,NA,3
2024-04-08,1 wk ahead inc case,2024-04-13,NL,point,NA,82
2024-04-08,1 wk ahead inc case,2024-04-13,NO,point,NA,28
2024-04-08,1 wk ahead inc case,2024-04-13,PL,point,NA,220
2024-04-08,1 wk ahead inc case,2024-04-13,PT,point,NA,61
2024-04-08,1 wk ahead inc case,2024-04-13,RO,point,NA,277
2024-04-08,1 wk ahead inc case,2024-04-13,SE,point,NA,66
2024-04-08,1 wk ahead inc case,2024-04-13,SI,point,NA,13
2024-04-08,1 wk ahead inc case,2024-04-13,SK,point,NA,19
2024-04-08,2 wk ahead inc case,2024-04-20,BE,point,NA,131
2024-04-08,2 wk ahead inc case,2024-04-20,BG,point,NA,67
2024-04-08,2 wk ahead inc case,2024-04-20,CY,point,NA,46
2024-04-08,2 wk ahead inc case,2024-04-20,CZ,point,NA,74
2024-04-08,2 wk ahead inc case,2024-04-20,EE,point,NA,38
2024-04-08,2 wk ahead inc case,2024-04-20,GR,point,NA,869
2024-04-08,2 wk ahead inc case,2024-04-20,HU,point,NA,31
2024-04-08,2 wk ahead inc case,2024-04-20,IE,point,NA,113
2024-04-08,2 wk ahead inc case,2024-04-20,IS,point,NA,3
2024-04-08,2 wk ahead inc case,2024-04-20,IT,point,NA,432
2024-04-08,2 wk ahead inc case,2024-04-20,LI,point,NA,0
2024-04-08,2 wk ahead inc case,2024-04-20,LT,point,NA,164
2024-04-08,2 wk ahead inc case,2024-04-20,LU,point,NA,17
2024-04-08,2 wk ahead inc case,2024-04-20,MT,point,NA,4
2024-04-08,2 wk ahead inc case,2024-04-20,NL,point,NA,78
2024-04-08,2 wk ahead inc case,2024-04-20,NO,point,NA,20
2024-04-08,2 wk ahead inc case,2024-04-20,PL,point,NA,208
2024-04-08,2 wk ahead inc case,2024-04-20,PT,point,NA,62
2024-04-08,2 wk ahead inc case,2024-04-20,RO,point,NA,274
2024-04-08,2 wk ahead inc case,2024-04-20,SE,point,NA,65
2024-04-08,2 wk ahead inc case,2024-04-20,SI,point,NA,12
2024-04-08,2 wk ahead inc case,2024-04-20,SK,point,NA,18
2024-04-08,3 wk ahead inc case,2024-04-27,BE,point,NA,115
2024-04-08,3 wk ahead inc case,2024-04-27,BG,point,NA,69
2024-04-08,3 wk ahead inc case,2024-04-27,CY,point,NA,43
2024-04-08,3 wk ahead inc case,2024-04-27,CZ,point,NA,70
2024-04-08,3 wk ahead inc case,2024-04-27,EE,point,NA,38
2024-04-08,3 wk ahead inc case,2024-04-27,GR,point,NA,909
2024-04-08,3 wk ahead inc case,2024-04-27,HU,point,NA,35
2024-04-08,3 wk ahead inc case,2024-04-27,IE,point,NA,103
2024-04-08,3 wk ahead inc case,2024-04-27,IS,point,NA,4
2024-04-08,3 wk ahead inc case,2024-04-27,IT,point,NA,419
2024-04-08,3 wk ahead inc case,2024-04-27,LI,point,NA,1
2024-04-08,3 wk ahead inc case,2024-04-27,LT,point,NA,160
2024-04-08,3 wk ahead inc case,2024-04-27,LU,point,NA,19
2024-04-08,3 wk ahead inc case,2024-04-27,MT,point,NA,5
2024-04-08,3 wk ahead inc case,2024-04-27,NL,point,NA,78
2024-04-08,3 wk ahead inc case,2024-04-27,NO,point,NA,16
2024-04-08,3 wk ahead inc case,2024-04-27,PL,point,NA,221
2024-04-08,3 wk ahead inc case,2024-04-27,PT,point,NA,62
2024-04-08,3 wk ahead inc case,2024-04-27,RO,point,NA,292
2024-04-08,3 wk ahead inc case,2024-04-27,SE,point,NA,63
2024-04-08,3 wk ahead inc case,2024-04-27,SI,point,NA,11
2024-04-08,3 wk ahead inc case,2024-04-27,SK,point,NA,32
2024-04-08,4 wk ahead inc case,2024-05-04,BE,point,NA,120
2024-04-08,4 wk ahead inc case,2024-05-04,BG,point,NA,67
2024-04-08,4 wk ahead inc case,2024-05-04,CY,point,NA,40
2024-04-08,4 wk ahead inc case,2024-05-04,CZ,point,NA,71
