"forecast_date","target","target_end_date","location","type","quantile","value","scenario_id"
"2021-12-06","1 wk ahead inc case","2021-12-11","DE","point",NA,418365,"forecast"
"2021-12-06","1 wk ahead inc case","2021-12-11","DE","quantile",0.01,329027,"forecast"
"2021-12-06","1 wk ahead inc case","2021-12-11","DE","quantile",0.025,340830,"forecast"
"2021-12-06","1 wk ahead inc case","2021-12-11","DE","quantile",0.05,351578,"forecast"
"2021-12-06","1 wk ahead inc case","2021-12-11","DE","quantile",0.1,363333,"forecast"
"2021-12-06","1 wk ahead inc case","2021-12-11","DE","quantile",0.15,375376,"forecast"
"2021-12-06","1 wk ahead inc case","2021-12-11","DE","quantile",0.2,383532,"forecast"
"2021-12-06","1 wk ahead inc case","2021-12-11","DE","quantile",0.25,390057,"forecast"
"2021-12-06","1 wk ahead inc case","2021-12-11","DE","quantile",0.3,396631,"forecast"
"2021-12-06","1 wk ahead inc case","2021-12-11","DE","quantile",0.35,403396,"forecast"
"2021-12-06","1 wk ahead inc case","2021-12-11","DE","quantile",0.4,408721,"forecast"
"2021-12-06","1 wk ahead inc case","2021-12-11","DE","quantile",0.45,414863,"forecast"
"2021-12-06","1 wk ahead inc case","2021-12-11","DE","quantile",0.5,418365,"forecast"
"2021-12-06","1 wk ahead inc case","2021-12-11","DE","quantile",0.55,423643,"forecast"
"2021-12-06","1 wk ahead inc case","2021-12-11","DE","quantile",0.6,428105,"forecast"
"2021-12-06","1 wk ahead inc case","2021-12-11","DE","quantile",0.65,433095,"forecast"
"2021-12-06","1 wk ahead inc case","2021-12-11","DE","quantile",0.7,439140,"forecast"
"2021-12-06","1 wk ahead inc case","2021-12-11","DE","quantile",0.75,445330,"forecast"
"2021-12-06","1 wk ahead inc case","2021-12-11","DE","quantile",0.8,451423,"forecast"
"2021-12-06","1 wk ahead inc case","2021-12-11","DE","quantile",0.85,461931,"forecast"
"2021-12-06","1 wk ahead inc case","2021-12-11","DE","quantile",0.9,475845,"forecast"
"2021-12-06","1 wk ahead inc case","2021-12-11","DE","quantile",0.95,495948,"forecast"
"2021-12-06","1 wk ahead inc case","2021-12-11","DE","quantile",0.975,512021,"forecast"
"2021-12-06","1 wk ahead inc case","2021-12-11","DE","quantile",0.99,535291,"forecast"
"2021-12-06","2 wk ahead inc case","2021-12-18","DE","point",NA,436949,"forecast"
"2021-12-06","2 wk ahead inc case","2021-12-18","DE","quantile",0.01,297631,"forecast"
"2021-12-06","2 wk ahead inc case","2021-12-18","DE","quantile",0.025,313827,"forecast"
"2021-12-06","2 wk ahead inc case","2021-12-18","DE","quantile",0.05,329933,"forecast"
"2021-12-06","2 wk ahead inc case","2021-12-18","DE","quantile",0.1,348544,"forecast"
"2021-12-06","2 wk ahead inc case","2021-12-18","DE","quantile",0.15,366082,"forecast"
"2021-12-06","2 wk ahead inc case","2021-12-18","DE","quantile",0.2,379414,"forecast"
"2021-12-06","2 wk ahead inc case","2021-12-18","DE","quantile",0.25,389436,"forecast"
"2021-12-06","2 wk ahead inc case","2021-12-18","DE","quantile",0.3,399994,"forecast"
"2021-12-06","2 wk ahead inc case","2021-12-18","DE","quantile",0.35,410821,"forecast"
"2021-12-06","2 wk ahead inc case","2021-12-18","DE","quantile",0.4,420574,"forecast"
"2021-12-06","2 wk ahead inc case","2021-12-18","DE","quantile",0.45,430864,"forecast"
"2021-12-06","2 wk ahead inc case","2021-12-18","DE","quantile",0.5,436949,"forecast"
"2021-12-06","2 wk ahead inc case","2021-12-18","DE","quantile",0.55,445270,"forecast"
"2021-12-06","2 wk ahead inc case","2021-12-18","DE","quantile",0.6,453324,"forecast"
"2021-12-06","2 wk ahead inc case","2021-12-18","DE","quantile",0.65,461734,"forecast"
"2021-12-06","2 wk ahead inc case","2021-12-18","DE","quantile",0.7,471488,"forecast"
"2021-12-06","2 wk ahead inc case","2021-12-18","DE","quantile",0.75,481599,"forecast"
"2021-12-06","2 wk ahead inc case","2021-12-18","DE","quantile",0.8,494573,"forecast"
"2021-12-06","2 wk ahead inc case","2021-12-18","DE","quantile",0.85,511395,"forecast"
"2021-12-06","2 wk ahead inc case","2021-12-18","DE","quantile",0.9,538149,"forecast"
"2021-12-06","2 wk ahead inc case","2021-12-18","DE","quantile",0.95,575104,"forecast"
"2021-12-06","2 wk ahead inc case","2021-12-18","DE","quantile",0.975,604721,"forecast"
"2021-12-06","2 wk ahead inc case","2021-12-18","DE","quantile",0.99,648834,"forecast"
"2021-12-06","3 wk ahead inc case","2021-12-25","DE","point",NA,452766,"forecast"
"2021-12-06","3 wk ahead inc case","2021-12-25","DE","quantile",0.01,268010,"forecast"
"2021-12-06","3 wk ahead inc case","2021-12-25","DE","quantile",0.025,288305,"forecast"
"2021-12-06","3 wk ahead inc case","2021-12-25","DE","quantile",0.05,307621,"forecast"
"2021-12-06","3 wk ahead inc case","2021-12-25","DE","quantile",0.1,332675,"forecast"
"2021-12-06","3 wk ahead inc case","2021-12-25","DE","quantile",0.15,354929,"forecast"
"2021-12-06","3 wk ahead inc case","2021-12-25","DE","quantile",0.2,373545,"forecast"
"2021-12-06","3 wk ahead inc case","2021-12-25","DE","quantile",0.25,386702,"forecast"
"2021-12-06","3 wk ahead inc case","2021-12-25","DE","quantile",0.3,401118,"forecast"
"2021-12-06","3 wk ahead inc case","2021-12-25","DE","quantile",0.35,414975,"forecast"
"2021-12-06","3 wk ahead inc case","2021-12-25","DE","quantile",0.4,429252,"forecast"
"2021-12-06","3 wk ahead inc case","2021-12-25","DE","quantile",0.45,441989,"forecast"
"2021-12-06","3 wk ahead inc case","2021-12-25","DE","quantile",0.5,452766,"forecast"
"2021-12-06","3 wk ahead inc case","2021-12-25","DE","quantile",0.55,462844,"forecast"
"2021-12-06","3 wk ahead inc case","2021-12-25","DE","quantile",0.6,475721,"forecast"
"2021-12-06","3 wk ahead inc case","2021-12-25","DE","quantile",0.65,488178,"forecast"
"2021-12-06","3 wk ahead inc case","2021-12-25","DE","quantile",0.7,501895,"forecast"
"2021-12-06","3 wk ahead inc case","2021-12-25","DE","quantile",0.75,516171,"forecast"
"2021-12-06","3 wk ahead inc case","2021-12-25","DE","quantile",0.8,534507,"forecast"
"2021-12-06","3 wk ahead inc case","2021-12-25","DE","quantile",0.85,560261,"forecast"
"2021-12-06","3 wk ahead inc case","2021-12-25","DE","quantile",0.9,601831,"forecast"
"2021-12-06","3 wk ahead inc case","2021-12-25","DE","quantile",0.95,656978,"forecast"
"2021-12-06","3 wk ahead inc case","2021-12-25","DE","quantile",0.975,704007,"forecast"
"2021-12-06","3 wk ahead inc case","2021-12-25","DE","quantile",0.99,774131,"forecast"
"2021-12-06","4 wk ahead inc case","2022-01-01","DE","point",NA,465378,"forecast"
"2021-12-06","4 wk ahead inc case","2022-01-01","DE","quantile",0.01,240914,"forecast"
