forecast_date,target,target_end_date,location,type,quantile,value,scenario_id
2021-12-20,1 wk ahead inc case,2021-12-25,DE,point,,232889,forecast
2021-12-20,1 wk ahead inc case,2021-12-25,DE,quantile,0.01,199417,forecast
2021-12-20,1 wk ahead inc case,2021-12-25,DE,quantile,0.025,203885,forecast
2021-12-20,1 wk ahead inc case,2021-12-25,DE,quantile,0.05,207811,forecast
2021-12-20,1 wk ahead inc case,2021-12-25,DE,quantile,0.1,212253,forecast
2021-12-20,1 wk ahead inc case,2021-12-25,DE,quantile,0.15,215843,forecast
2021-12-20,1 wk ahead inc case,2021-12-25,DE,quantile,0.2,218400,forecast
2021-12-20,1 wk ahead inc case,2021-12-25,DE,quantile,0.25,220311,forecast
2021-12-20,1 wk ahead inc case,2021-12-25,DE,quantile,0.3,223307,forecast
2021-12-20,1 wk ahead inc case,2021-12-25,DE,quantile,0.35,226303,forecast
2021-12-20,1 wk ahead inc case,2021-12-25,DE,quantile,0.4,228447,forecast
2021-12-20,1 wk ahead inc case,2021-12-25,DE,quantile,0.45,231210,forecast
2021-12-20,1 wk ahead inc case,2021-12-25,DE,quantile,0.5,232889,forecast
2021-12-20,1 wk ahead inc case,2021-12-25,DE,quantile,0.55,235317,forecast
2021-12-20,1 wk ahead inc case,2021-12-25,DE,quantile,0.6,237925,forecast
2021-12-20,1 wk ahead inc case,2021-12-25,DE,quantile,0.65,240508,forecast
2021-12-20,1 wk ahead inc case,2021-12-25,DE,quantile,0.7,243400,forecast
2021-12-20,1 wk ahead inc case,2021-12-25,DE,quantile,0.75,246396,forecast
2021-12-20,1 wk ahead inc case,2021-12-25,DE,quantile,0.8,252285,forecast
2021-12-20,1 wk ahead inc case,2021-12-25,DE,quantile,0.85,256314,forecast
2021-12-20,1 wk ahead inc case,2021-12-25,DE,quantile,0.9,262848,forecast
2021-12-20,1 wk ahead inc case,2021-12-25,DE,quantile,0.95,273824,forecast
2021-12-20,1 wk ahead inc case,2021-12-25,DE,quantile,0.975,285834,forecast
2021-12-20,1 wk ahead inc case,2021-12-25,DE,quantile,0.99,300451,forecast
2021-12-20,2 wk ahead inc case,2022-01-01,DE,point,,187271,forecast
