forecast_date,target,target_end_date,location,type,quantile,value
2022-02-07,1 wk ahead inc case,2022-02-12,DE,point,NA,1660179
2022-02-07,1 wk ahead inc case,2022-02-12,DE,quantile,0.01,1518513
2022-02-07,1 wk ahead inc case,2022-02-12,DE,quantile,0.025,1533373
2022-02-07,1 wk ahead inc case,2022-02-12,DE,quantile,0.05,1553611
2022-02-07,1 wk ahead inc case,2022-02-12,DE,quantile,0.1,1566914
2022-02-07,1 wk ahead inc case,2022-02-12,DE,quantile,0.15,1579793
2022-02-07,1 wk ahead inc case,2022-02-12,DE,quantile,0.2,1593238
2022-02-07,1 wk ahead inc case,2022-02-12,DE,quantile,0.25,1601022
2022-02-07,1 wk ahead inc case,2022-02-12,DE,quantile,0.3,1613759
2022-02-07,1 wk ahead inc case,2022-02-12,DE,quantile,0.35,1626071
2022-02-07,1 wk ahead inc case,2022-02-12,DE,quantile,0.4,1638384
2022-02-07,1 wk ahead inc case,2022-02-12,DE,quantile,0.45,1649281
2022-02-07,1 wk ahead inc case,2022-02-12,DE,quantile,0.5,1660179
2022-02-07,1 wk ahead inc case,2022-02-12,DE,quantile,0.55,1669378
2022-02-07,1 wk ahead inc case,2022-02-12,DE,quantile,0.6,1679709
2022-02-07,1 wk ahead inc case,2022-02-12,DE,quantile,0.65,1691738
2022-02-07,1 wk ahead inc case,2022-02-12,DE,quantile,0.7,1707872
2022-02-07,1 wk ahead inc case,2022-02-12,DE,quantile,0.75,1724147
2022-02-07,1 wk ahead inc case,2022-02-12,DE,quantile,0.8,1740847
2022-02-07,1 wk ahead inc case,2022-02-12,DE,quantile,0.85,1760661
2022-02-07,1 wk ahead inc case,2022-02-12,DE,quantile,0.9,1799580
2022-02-07,1 wk ahead inc case,2022-02-12,DE,quantile,0.95,1862982
2022-02-07,1 wk ahead inc case,2022-02-12,DE,quantile,0.975,1913789
2022-02-07,1 wk ahead inc case,2022-02-12,DE,quantile,0.99,1993467
2022-02-07,2 wk ahead inc case,2022-02-19,DE,point,NA,1955855
2022-02-07,2 wk ahead inc case,2022-02-19,DE,quantile,0.01,1735723
2022-02-07,2 wk ahead inc case,2022-02-19,DE,quantile,0.025,1758062
2022-02-07,2 wk ahead inc case,2022-02-19,DE,quantile,0.05,1779147
2022-02-07,2 wk ahead inc case,2022-02-19,DE,quantile,0.1,1802992
2022-02-07,2 wk ahead inc case,2022-02-19,DE,quantile,0.15,1829599
2022-02-07,2 wk ahead inc case,2022-02-19,DE,quantile,0.2,1846165
2022-02-07,2 wk ahead inc case,2022-02-19,DE,quantile,0.25,1863736
2022-02-07,2 wk ahead inc case,2022-02-19,DE,quantile,0.3,1879047
2022-02-07,2 wk ahead inc case,2022-02-19,DE,quantile,0.35,1893103
2022-02-07,2 wk ahead inc case,2022-02-19,DE,quantile,0.4,1911176
2022-02-07,2 wk ahead inc case,2022-02-19,DE,quantile,0.45,1937782
2022-02-07,2 wk ahead inc case,2022-02-19,DE,quantile,0.5,1955855
2022-02-07,2 wk ahead inc case,2022-02-19,DE,quantile,0.55,1974429
2022-02-07,2 wk ahead inc case,2022-02-19,DE,quantile,0.6,1984219
2022-02-07,2 wk ahead inc case,2022-02-19,DE,quantile,0.65,2010072
2022-02-07,2 wk ahead inc case,2022-02-19,DE,quantile,0.7,2034671
2022-02-07,2 wk ahead inc case,2022-02-19,DE,quantile,0.75,2064038
2022-02-07,2 wk ahead inc case,2022-02-19,DE,quantile,0.8,2095414
2022-02-07,2 wk ahead inc case,2022-02-19,DE,quantile,0.85,2134069
2022-02-07,2 wk ahead inc case,2022-02-19,DE,quantile,0.9,2200836
2022-02-07,2 wk ahead inc case,2022-02-19,DE,quantile,0.95,2325084
2022-02-07,2 wk ahead inc case,2022-02-19,DE,quantile,0.975,2417705
2022-02-07,2 wk ahead inc case,2022-02-19,DE,quantile,0.99,2567807
2022-02-07,3 wk ahead inc case,2022-02-26,DE,point,NA,2181105
2022-02-07,3 wk ahead inc case,2022-02-26,DE,quantile,0.01,1887360
2022-02-07,3 wk ahead inc case,2022-02-26,DE,quantile,0.025,1925589
2022-02-07,3 wk ahead inc case,2022-02-26,DE,quantile,0.05,1947808
2022-02-07,3 wk ahead inc case,2022-02-26,DE,quantile,0.1,1976562
2022-02-07,3 wk ahead inc case,2022-02-26,DE,quantile,0.15,2006296
2022-02-07,3 wk ahead inc case,2022-02-26,DE,quantile,0.2,2029495
2022-02-07,3 wk ahead inc case,2022-02-26,DE,quantile,0.25,2058248
2022-02-07,3 wk ahead inc case,2022-02-26,DE,quantile,0.3,2071972
2022-02-07,3 wk ahead inc case,2022-02-26,DE,quantile,0.35,2099419
2022-02-07,3 wk ahead inc case,2022-02-26,DE,quantile,0.4,2117063
2022-02-07,3 wk ahead inc case,2022-02-26,DE,quantile,0.45,2154966
2022-02-07,3 wk ahead inc case,2022-02-26,DE,quantile,0.5,2181105
2022-02-07,3 wk ahead inc case,2022-02-26,DE,quantile,0.55,2199077
2022-02-07,3 wk ahead inc case,2022-02-26,DE,quantile,0.6,2216394
2022-02-07,3 wk ahead inc case,2022-02-26,DE,quantile,0.65,2251029
2022-02-07,3 wk ahead inc case,2022-02-26,DE,quantile,0.7,2285991
2022-02-07,3 wk ahead inc case,2022-02-26,DE,quantile,0.75,2323567
2022-02-07,3 wk ahead inc case,2022-02-26,DE,quantile,0.8,2367351
2022-02-07,3 wk ahead inc case,2022-02-26,DE,quantile,0.85,2413423
2022-02-07,3 wk ahead inc case,2022-02-26,DE,quantile,0.9,2517002
2022-02-07,3 wk ahead inc case,2022-02-26,DE,quantile,0.95,2691485
2022-02-07,3 wk ahead inc case,2022-02-26,DE,quantile,0.975,2809441
2022-02-07,3 wk ahead inc case,2022-02-26,DE,quantile,0.99,3014311
2022-02-07,4 wk ahead inc case,2022-03-05,DE,point,NA,2283349
2022-02-07,4 wk ahead inc case,2022-03-05,DE,quantile,0.01,1954053
2022-02-07,4 wk ahead inc case,2022-03-05,DE,quantile,0.025,2004841
2022-02-07,4 wk ahead inc case,2022-03-05,DE,quantile,0.05,2027082
2022-02-07,4 wk ahead inc case,2022-03-05,DE,quantile,0.1,2055630
2022-02-07,4 wk ahead inc case,2022-03-05,DE,quantile,0.15,2089157
2022-02-07,4 wk ahead inc case,2022-03-05,DE,quantile,0.2,2117041
2022-02-07,4 wk ahead inc case,2022-03-05,DE,quantile,0.25,2144593
2022-02-07,4 wk ahead inc case,2022-03-05,DE,quantile,0.3,2161523
2022-02-07,4 wk ahead inc case,2022-03-05,DE,quantile,0.35,2186751
2022-02-07,4 wk ahead inc case,2022-03-05,DE,quantile,0.4,2215963
2022-02-07,4 wk ahead inc case,2022-03-05,DE,quantile,0.45,2253473
2022-02-07,4 wk ahead inc case,2022-03-05,DE,quantile,0.5,2283349
2022-02-07,4 wk ahead inc case,2022-03-05,DE,quantile,0.55,2302602
2022-02-07,4 wk ahead inc case,2022-03-05,DE,quantile,0.6,2324843
2022-02-07,4 wk ahead inc case,2022-03-05,DE,quantile,0.65,2366005
2022-02-07,4 wk ahead inc case,2022-03-05,DE,quantile,0.7,2403848
2022-02-07,4 wk ahead inc case,2022-03-05,DE,quantile,0.75,2446006
2022-02-07,4 wk ahead inc case,2022-03-05,DE,quantile,0.8,2494139
2022-02-07,4 wk ahead inc case,2022-03-05,DE,quantile,0.85,2550239
2022-02-07,4 wk ahead inc case,2022-03-05,DE,quantile,0.9,2657459
2022-02-07,4 wk ahead inc case,2022-03-05,DE,quantile,0.95,2850655
2022-02-07,4 wk ahead inc case,2022-03-05,DE,quantile,0.975,2979785
2022-02-07,4 wk ahead inc case,2022-03-05,DE,quantile,0.99,3180948
2022-02-07,1 wk ahead inc death,2022-02-12,DE,point,NA,1288
2022-02-07,1 wk ahead inc death,2022-02-12,DE,quantile,0.01,1214
2022-02-07,1 wk ahead inc death,2022-02-12,DE,quantile,0.025,1224
2022-02-07,1 wk ahead inc death,2022-02-12,DE,quantile,0.05,1235
2022-02-07,1 wk ahead inc death,2022-02-12,DE,quantile,0.1,1242
2022-02-07,1 wk ahead inc death,2022-02-12,DE,quantile,0.15,1248
2022-02-07,1 wk ahead inc death,2022-02-12,DE,quantile,0.2,1256
2022-02-07,1 wk ahead inc death,2022-02-12,DE,quantile,0.25,1262
2022-02-07,1 wk ahead inc death,2022-02-12,DE,quantile,0.3,1267
2022-02-07,1 wk ahead inc death,2022-02-12,DE,quantile,0.35,1270
2022-02-07,1 wk ahead inc death,2022-02-12,DE,quantile,0.4,1278
2022-02-07,1 wk ahead inc death,2022-02-12,DE,quantile,0.45,1284
2022-02-07,1 wk ahead inc death,2022-02-12,DE,quantile,0.5,1288
2022-02-07,1 wk ahead inc death,2022-02-12,DE,quantile,0.55,1294
2022-02-07,1 wk ahead inc death,2022-02-12,DE,quantile,0.6,1299
2022-02-07,1 wk ahead inc death,2022-02-12,DE,quantile,0.65,1304
2022-02-07,1 wk ahead inc death,2022-02-12,DE,quantile,0.7,1310
2022-02-07,1 wk ahead inc death,2022-02-12,DE,quantile,0.75,1319
2022-02-07,1 wk ahead inc death,2022-02-12,DE,quantile,0.8,1325
2022-02-07,1 wk ahead inc death,2022-02-12,DE,quantile,0.85,1336
2022-02-07,1 wk ahead inc death,2022-02-12,DE,quantile,0.9,1353
2022-02-07,1 wk ahead inc death,2022-02-12,DE,quantile,0.95,1378
2022-02-07,1 wk ahead inc death,2022-02-12,DE,quantile,0.975,1400
2022-02-07,1 wk ahead inc death,2022-02-12,DE,quantile,0.99,1432
2022-02-07,2 wk ahead inc death,2022-02-19,DE,point,NA,1583
2022-02-07,2 wk ahead inc death,2022-02-19,DE,quantile,0.01,1443
2022-02-07,2 wk ahead inc death,2022-02-19,DE,quantile,0.025,1457
2022-02-07,2 wk ahead inc death,2022-02-19,DE,quantile,0.05,1476
2022-02-07,2 wk ahead inc death,2022-02-19,DE,quantile,0.1,1489
2022-02-07,2 wk ahead inc death,2022-02-19,DE,quantile,0.15,1503
2022-02-07,2 wk ahead inc death,2022-02-19,DE,quantile,0.2,1515
2022-02-07,2 wk ahead inc death,2022-02-19,DE,quantile,0.25,1525
2022-02-07,2 wk ahead inc death,2022-02-19,DE,quantile,0.3,1537
2022-02-07,2 wk ahead inc death,2022-02-19,DE,quantile,0.35,1549
2022-02-07,2 wk ahead inc death,2022-02-19,DE,quantile,0.4,1561
2022-02-07,2 wk ahead inc death,2022-02-19,DE,quantile,0.45,1575
2022-02-07,2 wk ahead inc death,2022-02-19,DE,quantile,0.5,1583
2022-02-07,2 wk ahead inc death,2022-02-19,DE,quantile,0.55,1596
2022-02-07,2 wk ahead inc death,2022-02-19,DE,quantile,0.6,1604
