forecast_date,scenario_id,target,target_end_date,location,type,quantile,value
2022-07-25,forecast,1 wk ahead inc case,2022-07-30,PL,quantile,0.01,16128.97
2022-07-25,forecast,2 wk ahead inc case,2022-08-06,PL,quantile,0.01,43575.6
2022-07-25,forecast,3 wk ahead inc case,2022-08-13,PL,quantile,0.01,95111.07
2022-07-25,forecast,4 wk ahead inc case,2022-08-20,PL,quantile,0.01,237883.94
2022-07-25,forecast,1 wk ahead inc case,2022-07-30,PL,quantile,0.025,17227.125
2022-07-25,forecast,2 wk ahead inc case,2022-08-06,PL,quantile,0.025,44990.0
2022-07-25,forecast,3 wk ahead inc case,2022-08-13,PL,quantile,0.025,103486.425
2022-07-25,forecast,4 wk ahead inc case,2022-08-20,PL,quantile,0.025,254604.075
2022-07-25,forecast,1 wk ahead inc case,2022-07-30,PL,quantile,0.05,19406.8
2022-07-25,forecast,2 wk ahead inc case,2022-08-06,PL,quantile,0.05,51472.25
2022-07-25,forecast,3 wk ahead inc case,2022-08-13,PL,quantile,0.05,121042.3
2022-07-25,forecast,4 wk ahead inc case,2022-08-20,PL,quantile,0.05,299564.95
2022-07-25,forecast,1 wk ahead inc case,2022-07-30,PL,quantile,0.1,20249.5
2022-07-25,forecast,2 wk ahead inc case,2022-08-06,PL,quantile,0.1,57166.100000000006
2022-07-25,forecast,3 wk ahead inc case,2022-08-13,PL,quantile,0.1,141280.4
2022-07-25,forecast,4 wk ahead inc case,2022-08-20,PL,quantile,0.1,343555.60000000003
2022-07-25,forecast,1 wk ahead inc case,2022-07-30,PL,quantile,0.15,21088.7
2022-07-25,forecast,2 wk ahead inc case,2022-08-06,PL,quantile,0.15,60276.35
2022-07-25,forecast,3 wk ahead inc case,2022-08-13,PL,quantile,0.15,150456.85
2022-07-25,forecast,4 wk ahead inc case,2022-08-20,PL,quantile,0.15,366514.85
2022-07-25,forecast,1 wk ahead inc case,2022-07-30,PL,quantile,0.2,21693.2
2022-07-25,forecast,2 wk ahead inc case,2022-08-06,PL,quantile,0.2,63212.6
2022-07-25,forecast,3 wk ahead inc case,2022-08-13,PL,quantile,0.2,158265.4
2022-07-25,forecast,4 wk ahead inc case,2022-08-20,PL,quantile,0.2,388486.0
2022-07-25,forecast,1 wk ahead inc case,2022-07-30,PL,quantile,0.25,22237.0
2022-07-25,forecast,2 wk ahead inc case,2022-08-06,PL,quantile,0.25,65782.75
2022-07-25,forecast,3 wk ahead inc case,2022-08-13,PL,quantile,0.25,165707.25
2022-07-25,forecast,4 wk ahead inc case,2022-08-20,PL,quantile,0.25,413109.25
2022-07-25,forecast,1 wk ahead inc case,2022-07-30,PL,quantile,0.3,22790.3
2022-07-25,forecast,2 wk ahead inc case,2022-08-06,PL,quantile,0.3,67367.6
2022-07-25,forecast,3 wk ahead inc case,2022-08-13,PL,quantile,0.3,170690.5
2022-07-25,forecast,4 wk ahead inc case,2022-08-20,PL,quantile,0.3,430621.1
2022-07-25,forecast,1 wk ahead inc case,2022-07-30,PL,quantile,0.35,23257.35
2022-07-25,forecast,2 wk ahead inc case,2022-08-06,PL,quantile,0.35,69945.9
2022-07-25,forecast,3 wk ahead inc case,2022-08-13,PL,quantile,0.35,176765.75
2022-07-25,forecast,4 wk ahead inc case,2022-08-20,PL,quantile,0.35,441995.44999999995
2022-07-25,forecast,1 wk ahead inc case,2022-07-30,PL,quantile,0.4,24100.0
2022-07-25,forecast,2 wk ahead inc case,2022-08-06,PL,quantile,0.4,72018.2
2022-07-25,forecast,3 wk ahead inc case,2022-08-13,PL,quantile,0.4,181631.2
2022-07-25,forecast,4 wk ahead inc case,2022-08-20,PL,quantile,0.4,454381.00000000006
2022-07-25,forecast,1 wk ahead inc case,2022-07-30,PL,quantile,0.45,24876.1
2022-07-25,forecast,2 wk ahead inc case,2022-08-06,PL,quantile,0.45,73284.5
2022-07-25,forecast,3 wk ahead inc case,2022-08-13,PL,quantile,0.45,187451.55000000002
2022-07-25,forecast,4 wk ahead inc case,2022-08-20,PL,quantile,0.45,471274.95
2022-07-25,forecast,1 wk ahead inc case,2022-07-30,PL,quantile,0.5,25479.5
2022-07-25,forecast,2 wk ahead inc case,2022-08-06,PL,quantile,0.5,75511.0
2022-07-25,forecast,3 wk ahead inc case,2022-08-13,PL,quantile,0.5,192156.0
2022-07-25,forecast,4 wk ahead inc case,2022-08-20,PL,quantile,0.5,485734.0
2022-07-25,forecast,1 wk ahead inc case,2022-07-30,PL,quantile,0.55,26065.7
2022-07-25,forecast,2 wk ahead inc case,2022-08-06,PL,quantile,0.55,77586.25
2022-07-25,forecast,3 wk ahead inc case,2022-08-13,PL,quantile,0.55,196679.40000000005
2022-07-25,forecast,4 wk ahead inc case,2022-08-20,PL,quantile,0.55,497134.2
2022-07-25,forecast,1 wk ahead inc case,2022-07-30,PL,quantile,0.6,26562.6
2022-07-25,forecast,2 wk ahead inc case,2022-08-06,PL,quantile,0.6,79845.8
2022-07-25,forecast,3 wk ahead inc case,2022-08-13,PL,quantile,0.6,204341.8
2022-07-25,forecast,4 wk ahead inc case,2022-08-20,PL,quantile,0.6,512196.99999999994
2022-07-25,forecast,1 wk ahead inc case,2022-07-30,PL,quantile,0.65,27303.0
2022-07-25,forecast,2 wk ahead inc case,2022-08-06,PL,quantile,0.65,81408.4
2022-07-25,forecast,3 wk ahead inc case,2022-08-13,PL,quantile,0.65,210557.05
2022-07-25,forecast,4 wk ahead inc case,2022-08-20,PL,quantile,0.65,525145.1
2022-07-25,forecast,1 wk ahead inc case,2022-07-30,PL,quantile,0.7,27740.0
2022-07-25,forecast,2 wk ahead inc case,2022-08-06,PL,quantile,0.7,83041.4
2022-07-25,forecast,3 wk ahead inc case,2022-08-13,PL,quantile,0.7,215621.49999999997
2022-07-25,forecast,4 wk ahead inc case,2022-08-20,PL,quantile,0.7,551045.2999999999
2022-07-25,forecast,1 wk ahead inc case,2022-07-30,PL,quantile,0.75,28444.5
2022-07-25,forecast,2 wk ahead inc case,2022-08-06,PL,quantile,0.75,85260.25
2022-07-25,forecast,3 wk ahead inc case,2022-08-13,PL,quantile,0.75,224487.0
2022-07-25,forecast,4 wk ahead inc case,2022-08-20,PL,quantile,0.75,571482.25
2022-07-25,forecast,1 wk ahead inc case,2022-07-30,PL,quantile,0.8,29291.4
2022-07-25,forecast,2 wk ahead inc case,2022-08-06,PL,quantile,0.8,87733.40000000001
2022-07-25,forecast,3 wk ahead inc case,2022-08-13,PL,quantile,0.8,231972.2
2022-07-25,forecast,4 wk ahead inc case,2022-08-20,PL,quantile,0.8,586023.2000000001
2022-07-25,forecast,1 wk ahead inc case,2022-07-30,PL,quantile,0.85,30176.1
