forecast_date,scenario_id,target,target_end_date,location,type,quantile,value
2021-06-28,forecast,1 wk ahead inc death,2021-07-03,DE,point,NA,293
2021-06-28,forecast,1 wk ahead inc death,2021-07-03,DE,quantile,0.01,43
2021-06-28,forecast,1 wk ahead inc death,2021-07-03,DE,quantile,0.025,72
2021-06-28,forecast,1 wk ahead inc death,2021-07-03,DE,quantile,0.05,95
2021-06-28,forecast,1 wk ahead inc death,2021-07-03,DE,quantile,0.1,133
2021-06-28,forecast,1 wk ahead inc death,2021-07-03,DE,quantile,0.15,174
2021-06-28,forecast,1 wk ahead inc death,2021-07-03,DE,quantile,0.2,206
2021-06-28,forecast,1 wk ahead inc death,2021-07-03,DE,quantile,0.25,236
2021-06-28,forecast,1 wk ahead inc death,2021-07-03,DE,quantile,0.3,258
2021-06-28,forecast,1 wk ahead inc death,2021-07-03,DE,quantile,0.35,266
2021-06-28,forecast,1 wk ahead inc death,2021-07-03,DE,quantile,0.4,284
2021-06-28,forecast,1 wk ahead inc death,2021-07-03,DE,quantile,0.45,289
2021-06-28,forecast,1 wk ahead inc death,2021-07-03,DE,quantile,0.5,293
2021-06-28,forecast,1 wk ahead inc death,2021-07-03,DE,quantile,0.55,306
2021-06-28,forecast,1 wk ahead inc death,2021-07-03,DE,quantile,0.6,319
2021-06-28,forecast,1 wk ahead inc death,2021-07-03,DE,quantile,0.65,339
2021-06-28,forecast,1 wk ahead inc death,2021-07-03,DE,quantile,0.7,346
2021-06-28,forecast,1 wk ahead inc death,2021-07-03,DE,quantile,0.75,356
2021-06-28,forecast,1 wk ahead inc death,2021-07-03,DE,quantile,0.8,400
2021-06-28,forecast,1 wk ahead inc death,2021-07-03,DE,quantile,0.85,434
2021-06-28,forecast,1 wk ahead inc death,2021-07-03,DE,quantile,0.9,552
2021-06-28,forecast,1 wk ahead inc death,2021-07-03,DE,quantile,0.95,703
2021-06-28,forecast,1 wk ahead inc death,2021-07-03,DE,quantile,0.975,720
2021-06-28,forecast,1 wk ahead inc death,2021-07-03,DE,quantile,0.99,920
2021-06-28,forecast,2 wk ahead inc death,2021-07-10,DE,point,NA,228
2021-06-28,forecast,2 wk ahead inc death,2021-07-10,DE,quantile,0.01,0
2021-06-28,forecast,2 wk ahead inc death,2021-07-10,DE,quantile,0.025,10
2021-06-28,forecast,2 wk ahead inc death,2021-07-10,DE,quantile,0.05,40
2021-06-28,forecast,2 wk ahead inc death,2021-07-10,DE,quantile,0.1,56
2021-06-28,forecast,2 wk ahead inc death,2021-07-10,DE,quantile,0.15,95
2021-06-28,forecast,2 wk ahead inc death,2021-07-10,DE,quantile,0.2,113
2021-06-28,forecast,2 wk ahead inc death,2021-07-10,DE,quantile,0.25,148
2021-06-28,forecast,2 wk ahead inc death,2021-07-10,DE,quantile,0.3,196
2021-06-28,forecast,2 wk ahead inc death,2021-07-10,DE,quantile,0.35,204
2021-06-28,forecast,2 wk ahead inc death,2021-07-10,DE,quantile,0.4,215
