forecast_date,target,target_end_date,location,type,quantile,value
2022-05-02,1 wk ahead inc death,2022-05-07,DE,point,NA,1209
2022-05-02,1 wk ahead inc death,2022-05-07,DE,quantile,0.01,570
2022-05-02,1 wk ahead inc death,2022-05-07,DE,quantile,0.025,628
2022-05-02,1 wk ahead inc death,2022-05-07,DE,quantile,0.05,708
2022-05-02,1 wk ahead inc death,2022-05-07,DE,quantile,0.1,776
2022-05-02,1 wk ahead inc death,2022-05-07,DE,quantile,0.15,854
2022-05-02,1 wk ahead inc death,2022-05-07,DE,quantile,0.2,934
2022-05-02,1 wk ahead inc death,2022-05-07,DE,quantile,0.25,1002
2022-05-02,1 wk ahead inc death,2022-05-07,DE,quantile,0.3,1075
2022-05-02,1 wk ahead inc death,2022-05-07,DE,quantile,0.35,1125
2022-05-02,1 wk ahead inc death,2022-05-07,DE,quantile,0.4,1174
2022-05-02,1 wk ahead inc death,2022-05-07,DE,quantile,0.45,1194
2022-05-02,1 wk ahead inc death,2022-05-07,DE,quantile,0.5,1209
2022-05-02,1 wk ahead inc death,2022-05-07,DE,quantile,0.55,1225
2022-05-02,1 wk ahead inc death,2022-05-07,DE,quantile,0.6,1250
2022-05-02,1 wk ahead inc death,2022-05-07,DE,quantile,0.65,1292
2022-05-02,1 wk ahead inc death,2022-05-07,DE,quantile,0.7,1345
2022-05-02,1 wk ahead inc death,2022-05-07,DE,quantile,0.75,1417
2022-05-02,1 wk ahead inc death,2022-05-07,DE,quantile,0.8,1476
2022-05-02,1 wk ahead inc death,2022-05-07,DE,quantile,0.85,1556
2022-05-02,1 wk ahead inc death,2022-05-07,DE,quantile,0.9,1649
2022-05-02,1 wk ahead inc death,2022-05-07,DE,quantile,0.95,1709
2022-05-02,1 wk ahead inc death,2022-05-07,DE,quantile,0.975,1782
2022-05-02,1 wk ahead inc death,2022-05-07,DE,quantile,0.99,1827
2022-05-02,2 wk ahead inc death,2022-05-14,DE,point,NA,1154
2022-05-02,2 wk ahead inc death,2022-05-14,DE,quantile,0.01,287
2022-05-02,2 wk ahead inc death,2022-05-14,DE,quantile,0.025,360
2022-05-02,2 wk ahead inc death,2022-05-14,DE,quantile,0.05,452
2022-05-02,2 wk ahead inc death,2022-05-14,DE,quantile,0.1,551
2022-05-02,2 wk ahead inc death,2022-05-14,DE,quantile,0.15,642
2022-05-02,2 wk ahead inc death,2022-05-14,DE,quantile,0.2,729
2022-05-02,2 wk ahead inc death,2022-05-14,DE,quantile,0.25,822
2022-05-02,2 wk ahead inc death,2022-05-14,DE,quantile,0.3,912
2022-05-02,2 wk ahead inc death,2022-05-14,DE,quantile,0.35,999
2022-05-02,2 wk ahead inc death,2022-05-14,DE,quantile,0.4,1065
2022-05-02,2 wk ahead inc death,2022-05-14,DE,quantile,0.45,1122
2022-05-02,2 wk ahead inc death,2022-05-14,DE,quantile,0.5,1154
2022-05-02,2 wk ahead inc death,2022-05-14,DE,quantile,0.55,1183
2022-05-02,2 wk ahead inc death,2022-05-14,DE,quantile,0.6,1233
2022-05-02,2 wk ahead inc death,2022-05-14,DE,quantile,0.65,1299
2022-05-02,2 wk ahead inc death,2022-05-14,DE,quantile,0.7,1392
2022-05-02,2 wk ahead inc death,2022-05-14,DE,quantile,0.75,1485
2022-05-02,2 wk ahead inc death,2022-05-14,DE,quantile,0.8,1577
2022-05-02,2 wk ahead inc death,2022-05-14,DE,quantile,0.85,1665
2022-05-02,2 wk ahead inc death,2022-05-14,DE,quantile,0.9,1757
2022-05-02,2 wk ahead inc death,2022-05-14,DE,quantile,0.95,1854
2022-05-02,2 wk ahead inc death,2022-05-14,DE,quantile,0.975,1952
2022-05-02,2 wk ahead inc death,2022-05-14,DE,quantile,0.99,2035
2022-05-02,3 wk ahead inc death,2022-05-21,DE,point,NA,1106
2022-05-02,3 wk ahead inc death,2022-05-21,DE,quantile,0.01,0
2022-05-02,3 wk ahead inc death,2022-05-21,DE,quantile,0.025,41
2022-05-02,3 wk ahead inc death,2022-05-21,DE,quantile,0.05,102
2022-05-02,3 wk ahead inc death,2022-05-21,DE,quantile,0.1,237
2022-05-02,3 wk ahead inc death,2022-05-21,DE,quantile,0.15,356
2022-05-02,3 wk ahead inc death,2022-05-21,DE,quantile,0.2,491
2022-05-02,3 wk ahead inc death,2022-05-21,DE,quantile,0.25,627
2022-05-02,3 wk ahead inc death,2022-05-21,DE,quantile,0.3,743
2022-05-02,3 wk ahead inc death,2022-05-21,DE,quantile,0.35,844
2022-05-02,3 wk ahead inc death,2022-05-21,DE,quantile,0.4,938
2022-05-02,3 wk ahead inc death,2022-05-21,DE,quantile,0.45,1036
2022-05-02,3 wk ahead inc death,2022-05-21,DE,quantile,0.5,1106
2022-05-02,3 wk ahead inc death,2022-05-21,DE,quantile,0.55,1179
2022-05-02,3 wk ahead inc death,2022-05-21,DE,quantile,0.6,1268
2022-05-02,3 wk ahead inc death,2022-05-21,DE,quantile,0.65,1365
2022-05-02,3 wk ahead inc death,2022-05-21,DE,quantile,0.7,1468
2022-05-02,3 wk ahead inc death,2022-05-21,DE,quantile,0.75,1588
2022-05-02,3 wk ahead inc death,2022-05-21,DE,quantile,0.8,1718
2022-05-02,3 wk ahead inc death,2022-05-21,DE,quantile,0.85,1835
2022-05-02,3 wk ahead inc death,2022-05-21,DE,quantile,0.9,1997
2022-05-02,3 wk ahead inc death,2022-05-21,DE,quantile,0.95,2133
2022-05-02,3 wk ahead inc death,2022-05-21,DE,quantile,0.975,2249
2022-05-02,3 wk ahead inc death,2022-05-21,DE,quantile,0.99,2353
2022-05-02,4 wk ahead inc death,2022-05-28,DE,point,NA,1081
2022-05-02,4 wk ahead inc death,2022-05-28,DE,quantile,0.01,0
2022-05-02,4 wk ahead inc death,2022-05-28,DE,quantile,0.025,0
2022-05-02,4 wk ahead inc death,2022-05-28,DE,quantile,0.05,0
2022-05-02,4 wk ahead inc death,2022-05-28,DE,quantile,0.1,0
2022-05-02,4 wk ahead inc death,2022-05-28,DE,quantile,0.15,41
2022-05-02,4 wk ahead inc death,2022-05-28,DE,quantile,0.2,213
2022-05-02,4 wk ahead inc death,2022-05-28,DE,quantile,0.25,406
2022-05-02,4 wk ahead inc death,2022-05-28,DE,quantile,0.3,600
2022-05-02,4 wk ahead inc death,2022-05-28,DE,quantile,0.35,759
2022-05-02,4 wk ahead inc death,2022-05-28,DE,quantile,0.4,881
2022-05-02,4 wk ahead inc death,2022-05-28,DE,quantile,0.45,994
2022-05-02,4 wk ahead inc death,2022-05-28,DE,quantile,0.5,1081
2022-05-02,4 wk ahead inc death,2022-05-28,DE,quantile,0.55,1171
2022-05-02,4 wk ahead inc death,2022-05-28,DE,quantile,0.6,1281
2022-05-02,4 wk ahead inc death,2022-05-28,DE,quantile,0.65,1403
2022-05-02,4 wk ahead inc death,2022-05-28,DE,quantile,0.7,1566
2022-05-02,4 wk ahead inc death,2022-05-28,DE,quantile,0.75,1748
2022-05-02,4 wk ahead inc death,2022-05-28,DE,quantile,0.8,1935
2022-05-02,4 wk ahead inc death,2022-05-28,DE,quantile,0.85,2121
2022-05-02,4 wk ahead inc death,2022-05-28,DE,quantile,0.9,2384
2022-05-02,4 wk ahead inc death,2022-05-28,DE,quantile,0.95,2653
2022-05-02,4 wk ahead inc death,2022-05-28,DE,quantile,0.975,2889
2022-05-02,4 wk ahead inc death,2022-05-28,DE,quantile,0.99,3067
2022-05-02,1 wk ahead inc case,2022-05-07,DE,point,NA,536287
2022-05-02,1 wk ahead inc case,2022-05-07,DE,quantile,0.01,229688
2022-05-02,1 wk ahead inc case,2022-05-07,DE,quantile,0.025,267373
2022-05-02,1 wk ahead inc case,2022-05-07,DE,quantile,0.05,322722
2022-05-02,1 wk ahead inc case,2022-05-07,DE,quantile,0.1,351433
2022-05-02,1 wk ahead inc case,2022-05-07,DE,quantile,0.15,377125
2022-05-02,1 wk ahead inc case,2022-05-07,DE,quantile,0.2,406282
2022-05-02,1 wk ahead inc case,2022-05-07,DE,quantile,0.25,437157
2022-05-02,1 wk ahead inc case,2022-05-07,DE,quantile,0.3,456293
2022-05-02,1 wk ahead inc case,2022-05-07,DE,quantile,0.35,480964
2022-05-02,1 wk ahead inc case,2022-05-07,DE,quantile,0.4,504342
2022-05-02,1 wk ahead inc case,2022-05-07,DE,quantile,0.45,525808
2022-05-02,1 wk ahead inc case,2022-05-07,DE,quantile,0.5,536287
2022-05-02,1 wk ahead inc case,2022-05-07,DE,quantile,0.55,547535
2022-05-02,1 wk ahead inc case,2022-05-07,DE,quantile,0.6,565827
2022-05-02,1 wk ahead inc case,2022-05-07,DE,quantile,0.65,583282
2022-05-02,1 wk ahead inc case,2022-05-07,DE,quantile,0.7,606393
2022-05-02,1 wk ahead inc case,2022-05-07,DE,quantile,0.75,635202
2022-05-02,1 wk ahead inc case,2022-05-07,DE,quantile,0.8,656610
2022-05-02,1 wk ahead inc case,2022-05-07,DE,quantile,0.85,685097
2022-05-02,1 wk ahead inc case,2022-05-07,DE,quantile,0.9,718388
2022-05-02,1 wk ahead inc case,2022-05-07,DE,quantile,0.95,756498
2022-05-02,1 wk ahead inc case,2022-05-07,DE,quantile,0.975,789536
2022-05-02,1 wk ahead inc case,2022-05-07,DE,quantile,0.99,821349
2022-05-02,2 wk ahead inc case,2022-05-14,DE,point,NA,434160
2022-05-02,2 wk ahead inc case,2022-05-14,DE,quantile,0.01,0
2022-05-02,2 wk ahead inc case,2022-05-14,DE,quantile,0.025,0
2022-05-02,2 wk ahead inc case,2022-05-14,DE,quantile,0.05,1143
2022-05-02,2 wk ahead inc case,2022-05-14,DE,quantile,0.1,27597
2022-05-02,2 wk ahead inc case,2022-05-14,DE,quantile,0.15,96799
2022-05-02,2 wk ahead inc case,2022-05-14,DE,quantile,0.2,158512
2022-05-02,2 wk ahead inc case,2022-05-14,DE,quantile,0.25,221386
2022-05-02,2 wk ahead inc case,2022-05-14,DE,quantile,0.3,281202
2022-05-02,2 wk ahead inc case,2022-05-14,DE,quantile,0.35,337273
2022-05-02,2 wk ahead inc case,2022-05-14,DE,quantile,0.4,385328
2022-05-02,2 wk ahead inc case,2022-05-14,DE,quantile,0.45,417007
2022-05-02,2 wk ahead inc case,2022-05-14,DE,quantile,0.5,434160
2022-05-02,2 wk ahead inc case,2022-05-14,DE,quantile,0.55,450877
2022-05-02,2 wk ahead inc case,2022-05-14,DE,quantile,0.6,482995
2022-05-02,2 wk ahead inc case,2022-05-14,DE,quantile,0.65,533157
