forecast_date,target,target_end_date,location,type,quantile,value
2022-04-11,1 wk ahead inc case,2022-04-16,PL,point,NA,7163
2022-04-11,1 wk ahead inc case,2022-04-16,PL,quantile,0.01,0
2022-04-11,1 wk ahead inc case,2022-04-16,PL,quantile,0.025,102
2022-04-11,1 wk ahead inc case,2022-04-16,PL,quantile,0.05,791
2022-04-11,1 wk ahead inc case,2022-04-16,PL,quantile,0.1,2026
2022-04-11,1 wk ahead inc case,2022-04-16,PL,quantile,0.15,3045
2022-04-11,1 wk ahead inc case,2022-04-16,PL,quantile,0.2,3752
2022-04-11,1 wk ahead inc case,2022-04-16,PL,quantile,0.25,4382
2022-04-11,1 wk ahead inc case,2022-04-16,PL,quantile,0.3,5025
2022-04-11,1 wk ahead inc case,2022-04-16,PL,quantile,0.35,5545
2022-04-11,1 wk ahead inc case,2022-04-16,PL,quantile,0.4,6090
2022-04-11,1 wk ahead inc case,2022-04-16,PL,quantile,0.45,6638
2022-04-11,1 wk ahead inc case,2022-04-16,PL,quantile,0.5,7146
2022-04-11,1 wk ahead inc case,2022-04-16,PL,quantile,0.55,7636
2022-04-11,1 wk ahead inc case,2022-04-16,PL,quantile,0.6,8161
2022-04-11,1 wk ahead inc case,2022-04-16,PL,quantile,0.65,8678
2022-04-11,1 wk ahead inc case,2022-04-16,PL,quantile,0.7,9265
2022-04-11,1 wk ahead inc case,2022-04-16,PL,quantile,0.75,9832
2022-04-11,1 wk ahead inc case,2022-04-16,PL,quantile,0.8,10546
2022-04-11,1 wk ahead inc case,2022-04-16,PL,quantile,0.85,11347
2022-04-11,1 wk ahead inc case,2022-04-16,PL,quantile,0.9,12381
2022-04-11,1 wk ahead inc case,2022-04-16,PL,quantile,0.95,13866
2022-04-11,1 wk ahead inc case,2022-04-16,PL,quantile,0.975,15164
2022-04-11,1 wk ahead inc case,2022-04-16,PL,quantile,0.99,16431
2022-04-11,2 wk ahead inc case,2022-04-23,PL,point,NA,4898
2022-04-11,2 wk ahead inc case,2022-04-23,PL,quantile,0.01,0
2022-04-11,2 wk ahead inc case,2022-04-23,PL,quantile,0.025,1
2022-04-11,2 wk ahead inc case,2022-04-23,PL,quantile,0.05,402
2022-04-11,2 wk ahead inc case,2022-04-23,PL,quantile,0.1,1346
2022-04-11,2 wk ahead inc case,2022-04-23,PL,quantile,0.15,2018
2022-04-11,2 wk ahead inc case,2022-04-23,PL,quantile,0.2,2541
2022-04-11,2 wk ahead inc case,2022-04-23,PL,quantile,0.25,3001
2022-04-11,2 wk ahead inc case,2022-04-23,PL,quantile,0.3,3397
2022-04-11,2 wk ahead inc case,2022-04-23,PL,quantile,0.35,3797
2022-04-11,2 wk ahead inc case,2022-04-23,PL,quantile,0.4,4172
2022-04-11,2 wk ahead inc case,2022-04-23,PL,quantile,0.45,4540
2022-04-11,2 wk ahead inc case,2022-04-23,PL,quantile,0.5,4882
2022-04-11,2 wk ahead inc case,2022-04-23,PL,quantile,0.55,5215
2022-04-11,2 wk ahead inc case,2022-04-23,PL,quantile,0.6,5547
2022-04-11,2 wk ahead inc case,2022-04-23,PL,quantile,0.65,5902
2022-04-11,2 wk ahead inc case,2022-04-23,PL,quantile,0.7,6273
2022-04-11,2 wk ahead inc case,2022-04-23,PL,quantile,0.75,6700
2022-04-11,2 wk ahead inc case,2022-04-23,PL,quantile,0.8,7147
2022-04-11,2 wk ahead inc case,2022-04-23,PL,quantile,0.85,7682
2022-04-11,2 wk ahead inc case,2022-04-23,PL,quantile,0.9,8406
2022-04-11,2 wk ahead inc case,2022-04-23,PL,quantile,0.95,9319
2022-04-11,2 wk ahead inc case,2022-04-23,PL,quantile,0.975,10221
2022-04-11,2 wk ahead inc case,2022-04-23,PL,quantile,0.99,11059
2022-04-11,3 wk ahead inc case,2022-04-30,PL,point,NA,3449
2022-04-11,3 wk ahead inc case,2022-04-30,PL,quantile,0.01,0
2022-04-11,3 wk ahead inc case,2022-04-30,PL,quantile,0.025,0
2022-04-11,3 wk ahead inc case,2022-04-30,PL,quantile,0.05,274
2022-04-11,3 wk ahead inc case,2022-04-30,PL,quantile,0.1,977
2022-04-11,3 wk ahead inc case,2022-04-30,PL,quantile,0.15,1444
2022-04-11,3 wk ahead inc case,2022-04-30,PL,quantile,0.2,1823
2022-04-11,3 wk ahead inc case,2022-04-30,PL,quantile,0.25,2180
2022-04-11,3 wk ahead inc case,2022-04-30,PL,quantile,0.3,2479
2022-04-11,3 wk ahead inc case,2022-04-30,PL,quantile,0.35,2744
2022-04-11,3 wk ahead inc case,2022-04-30,PL,quantile,0.4,2987
2022-04-11,3 wk ahead inc case,2022-04-30,PL,quantile,0.45,3219
2022-04-11,3 wk ahead inc case,2022-04-30,PL,quantile,0.5,3438
2022-04-11,3 wk ahead inc case,2022-04-30,PL,quantile,0.55,3649
2022-04-11,3 wk ahead inc case,2022-04-30,PL,quantile,0.6,3911
2022-04-11,3 wk ahead inc case,2022-04-30,PL,quantile,0.65,4159
2022-04-11,3 wk ahead inc case,2022-04-30,PL,quantile,0.7,4439
2022-04-11,3 wk ahead inc case,2022-04-30,PL,quantile,0.75,4723
2022-04-11,3 wk ahead inc case,2022-04-30,PL,quantile,0.8,5053
2022-04-11,3 wk ahead inc case,2022-04-30,PL,quantile,0.85,5423
2022-04-11,3 wk ahead inc case,2022-04-30,PL,quantile,0.9,5886
