forecast_date,target,target_end_date,location,type,quantile,value,scenario_id
2024-03-04,1 wk ahead inc case,2024-03-09,PL,point,NA,490,forecast
2024-03-04,1 wk ahead inc case,2024-03-09,PL,quantile,0.01,0,forecast
2024-03-04,1 wk ahead inc case,2024-03-09,PL,quantile,0.025,20,forecast
2024-03-04,1 wk ahead inc case,2024-03-09,PL,quantile,0.05,92,forecast
2024-03-04,1 wk ahead inc case,2024-03-09,PL,quantile,0.1,183,forecast
2024-03-04,1 wk ahead inc case,2024-03-09,PL,quantile,0.15,239,forecast
2024-03-04,1 wk ahead inc case,2024-03-09,PL,quantile,0.2,286,forecast
2024-03-04,1 wk ahead inc case,2024-03-09,PL,quantile,0.25,326,forecast
2024-03-04,1 wk ahead inc case,2024-03-09,PL,quantile,0.3,363,forecast
2024-03-04,1 wk ahead inc case,2024-03-09,PL,quantile,0.35,395,forecast
2024-03-04,1 wk ahead inc case,2024-03-09,PL,quantile,0.4,429,forecast
2024-03-04,1 wk ahead inc case,2024-03-09,PL,quantile,0.45,459,forecast
2024-03-04,1 wk ahead inc case,2024-03-09,PL,quantile,0.5,489,forecast
2024-03-04,1 wk ahead inc case,2024-03-09,PL,quantile,0.55,518,forecast
2024-03-04,1 wk ahead inc case,2024-03-09,PL,quantile,0.6,549,forecast
2024-03-04,1 wk ahead inc case,2024-03-09,PL,quantile,0.65,584,forecast
2024-03-04,1 wk ahead inc case,2024-03-09,PL,quantile,0.7,619,forecast
2024-03-04,1 wk ahead inc case,2024-03-09,PL,quantile,0.75,657,forecast
2024-03-04,1 wk ahead inc case,2024-03-09,PL,quantile,0.8,699,forecast
2024-03-04,1 wk ahead inc case,2024-03-09,PL,quantile,0.85,746,forecast
2024-03-04,1 wk ahead inc case,2024-03-09,PL,quantile,0.9,806,forecast
2024-03-04,1 wk ahead inc case,2024-03-09,PL,quantile,0.95,899,forecast
2024-03-04,1 wk ahead inc case,2024-03-09,PL,quantile,0.975,983,forecast
2024-03-04,1 wk ahead inc case,2024-03-09,PL,quantile,0.99,1068,forecast
2024-03-04,2 wk ahead inc case,2024-03-16,PL,point,NA,349,forecast
2024-03-04,2 wk ahead inc case,2024-03-16,PL,quantile,0.01,0,forecast
2024-03-04,2 wk ahead inc case,2024-03-16,PL,quantile,0.025,0,forecast
2024-03-04,2 wk ahead inc case,2024-03-16,PL,quantile,0.05,44,forecast
2024-03-04,2 wk ahead inc case,2024-03-16,PL,quantile,0.1,117,forecast
