forecast_date,target,target_end_date,location,type,quantile,value,scenario_id
2021-05-03,1 wk ahead inc case,2021-05-08,AT,quantile,0.01,9624.738281250016,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,AT,quantile,0.025,10041.476562499982,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,AT,quantile,0.05,10368.127332598076,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,AT,quantile,0.1,10813.466675215017,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,AT,quantile,0.15,11099.890624999998,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,AT,quantile,0.2,11352.583984375024,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,AT,quantile,0.25,11617.580078124984,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,AT,quantile,0.3,11834.367187500005,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,AT,quantile,0.35,12045.362593035348,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,AT,quantile,0.4,12240.710937499987,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,AT,quantile,0.45,12422.768257470905,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,AT,quantile,0.5,12592.008785457425,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,AT,point,NA,12592.008785457425,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,AT,quantile,0.55,12751.080830381054,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,AT,quantile,0.6,12955.958902967679,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,AT,quantile,0.65,13175.044394172524,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,AT,quantile,0.7,13425.621272235088,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,AT,quantile,0.75,13657.981933463807,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,AT,quantile,0.8,13901.775381496018,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,AT,quantile,0.85,14199.031777496948,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,AT,quantile,0.9,14626.327279092264,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,AT,quantile,0.95,15182.040284230996,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,AT,quantile,0.975,15747.847934035704,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,AT,quantile,0.99,16418.995071342615,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BE,quantile,0.01,11561.283203125005,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BE,quantile,0.025,13438.591322631668,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BE,quantile,0.05,14675.355468750007,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BE,quantile,0.1,15937.459764007517,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BE,quantile,0.15,16876.103079190496,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BE,quantile,0.2,17684.307640503277,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BE,quantile,0.25,18635.017318320843,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BE,quantile,0.3,19330.541862876555,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BE,quantile,0.35,20013.891926196462,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BE,quantile,0.4,20736.50449015536,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BE,quantile,0.45,21261.308202624736,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BE,quantile,0.5,21990.34174467132,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BE,point,NA,21990.34174467132,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BE,quantile,0.55,22572.695312500007,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BE,quantile,0.6,23341.316406250022,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BE,quantile,0.65,24003.22382706626,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BE,quantile,0.7,24802.241918027154,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BE,quantile,0.75,25718.245115132187,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BE,quantile,0.8,26573.45234336848,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BE,quantile,0.85,27485.508202941604,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BE,quantile,0.9,29002.199205684992,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BE,quantile,0.95,31487.472262768617,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BE,quantile,0.975,33447.981018620056,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BE,quantile,0.99,35063.11895110259,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BG,quantile,0.01,3988.8970012799687,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BG,quantile,0.025,4577.695317638175,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BG,quantile,0.05,5001.013539164812,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BG,quantile,0.1,5555.896289032733,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BG,quantile,0.15,5970.76210276806,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BG,quantile,0.2,6364.382781909516,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BG,quantile,0.25,6654.047231655193,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BG,quantile,0.3,6907.533278526219,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BG,quantile,0.35,7160.365525155584,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BG,quantile,0.4,7478.856609890757,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BG,quantile,0.45,7696.0491194987735,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BG,quantile,0.5,7956.271482712493,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BG,point,NA,7956.271482712493,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BG,quantile,0.55,8253.734374999998,forecast
2021-05-03,1 wk ahead inc case,2021-05-08,BG,quantile,0.6,8531.632812499998,forecast
