forecast_date,target,target_end_date,location,type,quantile,value
2021-11-08,1 wk ahead inc case,2021-11-13,AT,quantile,0.01,52842
2021-11-08,1 wk ahead inc case,2021-11-13,AT,quantile,0.025,55096
2021-11-08,1 wk ahead inc case,2021-11-13,AT,quantile,0.05,57578
2021-11-08,1 wk ahead inc case,2021-11-13,AT,quantile,0.1,59868
2021-11-08,1 wk ahead inc case,2021-11-13,AT,quantile,0.15,61823
2021-11-08,1 wk ahead inc case,2021-11-13,AT,quantile,0.2,63300
2021-11-08,1 wk ahead inc case,2021-11-13,AT,quantile,0.25,64611
2021-11-08,1 wk ahead inc case,2021-11-13,AT,quantile,0.3,65863
2021-11-08,1 wk ahead inc case,2021-11-13,AT,quantile,0.35,66986
2021-11-08,1 wk ahead inc case,2021-11-13,AT,quantile,0.4,68230
2021-11-08,1 wk ahead inc case,2021-11-13,AT,quantile,0.45,69445
2021-11-08,1 wk ahead inc case,2021-11-13,AT,quantile,0.5,70700
2021-11-08,1 wk ahead inc case,2021-11-13,AT,point,NA,70700
2021-11-08,1 wk ahead inc case,2021-11-13,AT,quantile,0.55,72111
2021-11-08,1 wk ahead inc case,2021-11-13,AT,quantile,0.6,73372
2021-11-08,1 wk ahead inc case,2021-11-13,AT,quantile,0.65,74702
2021-11-08,1 wk ahead inc case,2021-11-13,AT,quantile,0.7,76153
2021-11-08,1 wk ahead inc case,2021-11-13,AT,quantile,0.75,77850
2021-11-08,1 wk ahead inc case,2021-11-13,AT,quantile,0.8,79960
2021-11-08,1 wk ahead inc case,2021-11-13,AT,quantile,0.85,82570
2021-11-08,1 wk ahead inc case,2021-11-13,AT,quantile,0.9,86350
2021-11-08,1 wk ahead inc case,2021-11-13,AT,quantile,0.95,93219
2021-11-08,1 wk ahead inc case,2021-11-13,AT,quantile,0.975,98886
2021-11-08,1 wk ahead inc case,2021-11-13,AT,quantile,0.99,103242
2021-11-08,1 wk ahead inc case,2021-11-13,BE,quantile,0.01,50461
2021-11-08,1 wk ahead inc case,2021-11-13,BE,quantile,0.025,53495
2021-11-08,1 wk ahead inc case,2021-11-13,BE,quantile,0.05,55695
2021-11-08,1 wk ahead inc case,2021-11-13,BE,quantile,0.1,58380
2021-11-08,1 wk ahead inc case,2021-11-13,BE,quantile,0.15,60164
2021-11-08,1 wk ahead inc case,2021-11-13,BE,quantile,0.2,61798
2021-11-08,1 wk ahead inc case,2021-11-13,BE,quantile,0.25,63335
2021-11-08,1 wk ahead inc case,2021-11-13,BE,quantile,0.3,64618
2021-11-08,1 wk ahead inc case,2021-11-13,BE,quantile,0.35,65781
2021-11-08,1 wk ahead inc case,2021-11-13,BE,quantile,0.4,66859
2021-11-08,1 wk ahead inc case,2021-11-13,BE,quantile,0.45,67964
2021-11-08,1 wk ahead inc case,2021-11-13,BE,quantile,0.5,69270
2021-11-08,1 wk ahead inc case,2021-11-13,BE,point,NA,69270
2021-11-08,1 wk ahead inc case,2021-11-13,BE,quantile,0.55,70524
2021-11-08,1 wk ahead inc case,2021-11-13,BE,quantile,0.6,71532
2021-11-08,1 wk ahead inc case,2021-11-13,BE,quantile,0.65,72657
2021-11-08,1 wk ahead inc case,2021-11-13,BE,quantile,0.7,74009
2021-11-08,1 wk ahead inc case,2021-11-13,BE,quantile,0.75,75414
2021-11-08,1 wk ahead inc case,2021-11-13,BE,quantile,0.8,77139
2021-11-08,1 wk ahead inc case,2021-11-13,BE,quantile,0.85,78882
2021-11-08,1 wk ahead inc case,2021-11-13,BE,quantile,0.9,81113
2021-11-08,1 wk ahead inc case,2021-11-13,BE,quantile,0.95,84493
2021-11-08,1 wk ahead inc case,2021-11-13,BE,quantile,0.975,87633
2021-11-08,1 wk ahead inc case,2021-11-13,BE,quantile,0.99,91869
2021-11-08,1 wk ahead inc case,2021-11-13,BG,quantile,0.01,22121
2021-11-08,1 wk ahead inc case,2021-11-13,BG,quantile,0.025,24881
2021-11-08,1 wk ahead inc case,2021-11-13,BG,quantile,0.05,26919
2021-11-08,1 wk ahead inc case,2021-11-13,BG,quantile,0.1,29440
2021-11-08,1 wk ahead inc case,2021-11-13,BG,quantile,0.15,31364
2021-11-08,1 wk ahead inc case,2021-11-13,BG,quantile,0.2,32704
2021-11-08,1 wk ahead inc case,2021-11-13,BG,quantile,0.25,33947
2021-11-08,1 wk ahead inc case,2021-11-13,BG,quantile,0.3,35090
2021-11-08,1 wk ahead inc case,2021-11-13,BG,quantile,0.35,36426
2021-11-08,1 wk ahead inc case,2021-11-13,BG,quantile,0.4,37406
2021-11-08,1 wk ahead inc case,2021-11-13,BG,quantile,0.45,38250
2021-11-08,1 wk ahead inc case,2021-11-13,BG,quantile,0.5,39274
2021-11-08,1 wk ahead inc case,2021-11-13,BG,point,NA,39274
2021-11-08,1 wk ahead inc case,2021-11-13,BG,quantile,0.55,40196
2021-11-08,1 wk ahead inc case,2021-11-13,BG,quantile,0.6,41185
2021-11-08,1 wk ahead inc case,2021-11-13,BG,quantile,0.65,42252
2021-11-08,1 wk ahead inc case,2021-11-13,BG,quantile,0.7,43292
2021-11-08,1 wk ahead inc case,2021-11-13,BG,quantile,0.75,44397
2021-11-08,1 wk ahead inc case,2021-11-13,BG,quantile,0.8,45761
2021-11-08,1 wk ahead inc case,2021-11-13,BG,quantile,0.85,47372
2021-11-08,1 wk ahead inc case,2021-11-13,BG,quantile,0.9,49614
2021-11-08,1 wk ahead inc case,2021-11-13,BG,quantile,0.95,52892
2021-11-08,1 wk ahead inc case,2021-11-13,BG,quantile,0.975,55530
2021-11-08,1 wk ahead inc case,2021-11-13,BG,quantile,0.99,58137
2021-11-08,1 wk ahead inc case,2021-11-13,CH,quantile,0.01,15177
2021-11-08,1 wk ahead inc case,2021-11-13,CH,quantile,0.025,16173
2021-11-08,1 wk ahead inc case,2021-11-13,CH,quantile,0.05,17023
2021-11-08,1 wk ahead inc case,2021-11-13,CH,quantile,0.1,18086
2021-11-08,1 wk ahead inc case,2021-11-13,CH,quantile,0.15,18860
2021-11-08,1 wk ahead inc case,2021-11-13,CH,quantile,0.2,19380
2021-11-08,1 wk ahead inc case,2021-11-13,CH,quantile,0.25,19992
2021-11-08,1 wk ahead inc case,2021-11-13,CH,quantile,0.3,20483
2021-11-08,1 wk ahead inc case,2021-11-13,CH,quantile,0.35,20893
2021-11-08,1 wk ahead inc case,2021-11-13,CH,quantile,0.4,21472
2021-11-08,1 wk ahead inc case,2021-11-13,CH,quantile,0.45,21979
2021-11-08,1 wk ahead inc case,2021-11-13,CH,quantile,0.5,22441
2021-11-08,1 wk ahead inc case,2021-11-13,CH,point,NA,22441
2021-11-08,1 wk ahead inc case,2021-11-13,CH,quantile,0.55,23054
2021-11-08,1 wk ahead inc case,2021-11-13,CH,quantile,0.6,23572
2021-11-08,1 wk ahead inc case,2021-11-13,CH,quantile,0.65,24344
2021-11-08,1 wk ahead inc case,2021-11-13,CH,quantile,0.7,25074
2021-11-08,1 wk ahead inc case,2021-11-13,CH,quantile,0.75,25802
2021-11-08,1 wk ahead inc case,2021-11-13,CH,quantile,0.8,26803
2021-11-08,1 wk ahead inc case,2021-11-13,CH,quantile,0.85,28032
2021-11-08,1 wk ahead inc case,2021-11-13,CH,quantile,0.9,29478
2021-11-08,1 wk ahead inc case,2021-11-13,CH,quantile,0.95,31412
2021-11-08,1 wk ahead inc case,2021-11-13,CH,quantile,0.975,32706
2021-11-08,1 wk ahead inc case,2021-11-13,CH,quantile,0.99,34646
2021-11-08,1 wk ahead inc case,2021-11-13,CY,quantile,0.01,931
2021-11-08,1 wk ahead inc case,2021-11-13,CY,quantile,0.025,1032
2021-11-08,1 wk ahead inc case,2021-11-13,CY,quantile,0.05,1114
2021-11-08,1 wk ahead inc case,2021-11-13,CY,quantile,0.1,1203
2021-11-08,1 wk ahead inc case,2021-11-13,CY,quantile,0.15,1267
2021-11-08,1 wk ahead inc case,2021-11-13,CY,quantile,0.2,1314
2021-11-08,1 wk ahead inc case,2021-11-13,CY,quantile,0.25,1361
2021-11-08,1 wk ahead inc case,2021-11-13,CY,quantile,0.3,1404
2021-11-08,1 wk ahead inc case,2021-11-13,CY,quantile,0.35,1440
2021-11-08,1 wk ahead inc case,2021-11-13,CY,quantile,0.4,1472
2021-11-08,1 wk ahead inc case,2021-11-13,CY,quantile,0.45,1506
2021-11-08,1 wk ahead inc case,2021-11-13,CY,quantile,0.5,1538
2021-11-08,1 wk ahead inc case,2021-11-13,CY,point,NA,1538
2021-11-08,1 wk ahead inc case,2021-11-13,CY,quantile,0.55,1569
2021-11-08,1 wk ahead inc case,2021-11-13,CY,quantile,0.6,1601
2021-11-08,1 wk ahead inc case,2021-11-13,CY,quantile,0.65,1640
2021-11-08,1 wk ahead inc case,2021-11-13,CY,quantile,0.7,1674
2021-11-08,1 wk ahead inc case,2021-11-13,CY,quantile,0.75,1706
2021-11-08,1 wk ahead inc case,2021-11-13,CY,quantile,0.8,1755
2021-11-08,1 wk ahead inc case,2021-11-13,CY,quantile,0.85,1810
2021-11-08,1 wk ahead inc case,2021-11-13,CY,quantile,0.9,1878
2021-11-08,1 wk ahead inc case,2021-11-13,CY,quantile,0.95,1973
2021-11-08,1 wk ahead inc case,2021-11-13,CY,quantile,0.975,2078
2021-11-08,1 wk ahead inc case,2021-11-13,CY,quantile,0.99,2179
2021-11-08,1 wk ahead inc case,2021-11-13,CZ,quantile,0.01,53310
2021-11-08,1 wk ahead inc case,2021-11-13,CZ,quantile,0.025,57394
2021-11-08,1 wk ahead inc case,2021-11-13,CZ,quantile,0.05,60911
2021-11-08,1 wk ahead inc case,2021-11-13,CZ,quantile,0.1,65227
2021-11-08,1 wk ahead inc case,2021-11-13,CZ,quantile,0.15,68103
2021-11-08,1 wk ahead inc case,2021-11-13,CZ,quantile,0.2,70172
2021-11-08,1 wk ahead inc case,2021-11-13,CZ,quantile,0.25,71950
2021-11-08,1 wk ahead inc case,2021-11-13,CZ,quantile,0.3,73539
2021-11-08,1 wk ahead inc case,2021-11-13,CZ,quantile,0.35,74903
2021-11-08,1 wk ahead inc case,2021-11-13,CZ,quantile,0.4,76244
2021-11-08,1 wk ahead inc case,2021-11-13,CZ,quantile,0.45,77594
2021-11-08,1 wk ahead inc case,2021-11-13,CZ,quantile,0.5,79024
2021-11-08,1 wk ahead inc case,2021-11-13,CZ,point,NA,79024
2021-11-08,1 wk ahead inc case,2021-11-13,CZ,quantile,0.55,80395
2021-11-08,1 wk ahead inc case,2021-11-13,CZ,quantile,0.6,81818
2021-11-08,1 wk ahead inc case,2021-11-13,CZ,quantile,0.65,83099
