forecast_date,target,target_end_date,location,type,quantile,value
2021-03-08,1 wk ahead inc case,2021-03-13,AT,quantile,0.01,10416
2021-03-08,1 wk ahead inc case,2021-03-13,AT,quantile,0.025,11424
2021-03-08,1 wk ahead inc case,2021-03-13,AT,quantile,0.05,12348
2021-03-08,1 wk ahead inc case,2021-03-13,AT,quantile,0.1,13475
2021-03-08,1 wk ahead inc case,2021-03-13,AT,quantile,0.15,14273
2021-03-08,1 wk ahead inc case,2021-03-13,AT,quantile,0.2,14931
2021-03-08,1 wk ahead inc case,2021-03-13,AT,quantile,0.25,15505
2021-03-08,1 wk ahead inc case,2021-03-13,AT,quantile,0.3,16037
2021-03-08,1 wk ahead inc case,2021-03-13,AT,quantile,0.35,16541
2021-03-08,1 wk ahead inc case,2021-03-13,AT,quantile,0.4,17031
2021-03-08,1 wk ahead inc case,2021-03-13,AT,quantile,0.45,17514
2021-03-08,1 wk ahead inc case,2021-03-13,AT,quantile,0.5,17997
2021-03-08,1 wk ahead inc case,2021-03-13,AT,quantile,0.55,18487
2021-03-08,1 wk ahead inc case,2021-03-13,AT,quantile,0.6,18998
2021-03-08,1 wk ahead inc case,2021-03-13,AT,quantile,0.65,19530
2021-03-08,1 wk ahead inc case,2021-03-13,AT,quantile,0.7,20104
2021-03-08,1 wk ahead inc case,2021-03-13,AT,quantile,0.75,20741
2021-03-08,1 wk ahead inc case,2021-03-13,AT,quantile,0.8,21455
2021-03-08,1 wk ahead inc case,2021-03-13,AT,quantile,0.85,22316
2021-03-08,1 wk ahead inc case,2021-03-13,AT,quantile,0.9,23429
2021-03-08,1 wk ahead inc case,2021-03-13,AT,quantile,0.95,25144
2021-03-08,1 wk ahead inc case,2021-03-13,AT,quantile,0.975,26691
2021-03-08,1 wk ahead inc case,2021-03-13,AT,quantile,0.99,28574
2021-03-08,1 wk ahead inc case,2021-03-13,BE,quantile,0.01,9247
2021-03-08,1 wk ahead inc case,2021-03-13,BE,quantile,0.025,10304
2021-03-08,1 wk ahead inc case,2021-03-13,BE,quantile,0.05,11284
2021-03-08,1 wk ahead inc case,2021-03-13,BE,quantile,0.1,12481
2021-03-08,1 wk ahead inc case,2021-03-13,BE,quantile,0.15,13342
2021-03-08,1 wk ahead inc case,2021-03-13,BE,quantile,0.2,14049
2021-03-08,1 wk ahead inc case,2021-03-13,BE,quantile,0.25,14679
2021-03-08,1 wk ahead inc case,2021-03-13,BE,quantile,0.3,15260
2021-03-08,1 wk ahead inc case,2021-03-13,BE,quantile,0.35,15813
2021-03-08,1 wk ahead inc case,2021-03-13,BE,quantile,0.4,16352
2021-03-08,1 wk ahead inc case,2021-03-13,BE,quantile,0.45,16884
2021-03-08,1 wk ahead inc case,2021-03-13,BE,quantile,0.5,17416
2021-03-08,1 wk ahead inc case,2021-03-13,BE,quantile,0.55,17955
2021-03-08,1 wk ahead inc case,2021-03-13,BE,quantile,0.6,18522
2021-03-08,1 wk ahead inc case,2021-03-13,BE,quantile,0.65,19117
2021-03-08,1 wk ahead inc case,2021-03-13,BE,quantile,0.7,19761
2021-03-08,1 wk ahead inc case,2021-03-13,BE,quantile,0.75,20468
2021-03-08,1 wk ahead inc case,2021-03-13,BE,quantile,0.8,21273
2021-03-08,1 wk ahead inc case,2021-03-13,BE,quantile,0.85,22239
2021-03-08,1 wk ahead inc case,2021-03-13,BE,quantile,0.9,23499
2021-03-08,1 wk ahead inc case,2021-03-13,BE,quantile,0.95,25445
2021-03-08,1 wk ahead inc case,2021-03-13,BE,quantile,0.975,27216
2021-03-08,1 wk ahead inc case,2021-03-13,BE,quantile,0.99,29365
2021-03-08,1 wk ahead inc case,2021-03-13,BG,quantile,0.01,9352
2021-03-08,1 wk ahead inc case,2021-03-13,BG,quantile,0.025,10339
2021-03-08,1 wk ahead inc case,2021-03-13,BG,quantile,0.05,11242
2021-03-08,1 wk ahead inc case,2021-03-13,BG,quantile,0.1,12355
2021-03-08,1 wk ahead inc case,2021-03-13,BG,quantile,0.15,13146
2021-03-08,1 wk ahead inc case,2021-03-13,BG,quantile,0.2,13797
2021-03-08,1 wk ahead inc case,2021-03-13,BG,quantile,0.25,14371
2021-03-08,1 wk ahead inc case,2021-03-13,BG,quantile,0.3,14903
2021-03-08,1 wk ahead inc case,2021-03-13,BG,quantile,0.35,15407
2021-03-08,1 wk ahead inc case,2021-03-13,BG,quantile,0.4,15890
2021-03-08,1 wk ahead inc case,2021-03-13,BG,quantile,0.45,16373
2021-03-08,1 wk ahead inc case,2021-03-13,BG,quantile,0.5,16856
2021-03-08,1 wk ahead inc case,2021-03-13,BG,quantile,0.55,17353
2021-03-08,1 wk ahead inc case,2021-03-13,BG,quantile,0.6,17864
2021-03-08,1 wk ahead inc case,2021-03-13,BG,quantile,0.65,18403
2021-03-08,1 wk ahead inc case,2021-03-13,BG,quantile,0.7,18984
