forecast_date,target,target_end_date,location,type,quantile,value
2021-05-10,1 wk ahead inc case,2021-05-15,AT,quantile,0.01,4855
2021-05-10,1 wk ahead inc case,2021-05-15,AT,quantile,0.025,5279
2021-05-10,1 wk ahead inc case,2021-05-15,AT,quantile,0.05,5674
2021-05-10,1 wk ahead inc case,2021-05-15,AT,quantile,0.1,6165
2021-05-10,1 wk ahead inc case,2021-05-15,AT,quantile,0.15,6521
2021-05-10,1 wk ahead inc case,2021-05-15,AT,quantile,0.2,6818
2021-05-10,1 wk ahead inc case,2021-05-15,AT,quantile,0.25,7084
2021-05-10,1 wk ahead inc case,2021-05-15,AT,quantile,0.3,7331
2021-05-10,1 wk ahead inc case,2021-05-15,AT,quantile,0.35,7568
2021-05-10,1 wk ahead inc case,2021-05-15,AT,quantile,0.4,7800
2021-05-10,1 wk ahead inc case,2021-05-15,AT,quantile,0.45,8031
2021-05-10,1 wk ahead inc case,2021-05-15,AT,quantile,0.5,8265
2021-05-10,1 wk ahead inc case,2021-05-15,AT,quantile,0.55,8506
2021-05-10,1 wk ahead inc case,2021-05-15,AT,quantile,0.6,8758
2021-05-10,1 wk ahead inc case,2021-05-15,AT,quantile,0.65,9027
2021-05-10,1 wk ahead inc case,2021-05-15,AT,quantile,0.7,9319
2021-05-10,1 wk ahead inc case,2021-05-15,AT,quantile,0.75,9644
2021-05-10,1 wk ahead inc case,2021-05-15,AT,quantile,0.8,10020
2021-05-10,1 wk ahead inc case,2021-05-15,AT,quantile,0.85,10477
2021-05-10,1 wk ahead inc case,2021-05-15,AT,quantile,0.9,11081
2021-05-10,1 wk ahead inc case,2021-05-15,AT,quantile,0.95,12041
2021-05-10,1 wk ahead inc case,2021-05-15,AT,quantile,0.975,12941
2021-05-10,1 wk ahead inc case,2021-05-15,AT,quantile,0.99,14072
2021-05-10,1 wk ahead inc case,2021-05-15,BE,quantile,0.01,11847
2021-05-10,1 wk ahead inc case,2021-05-15,BE,quantile,0.025,12792
2021-05-10,1 wk ahead inc case,2021-05-15,BE,quantile,0.05,13665
2021-05-10,1 wk ahead inc case,2021-05-15,BE,quantile,0.1,14746
2021-05-10,1 wk ahead inc case,2021-05-15,BE,quantile,0.15,15523
2021-05-10,1 wk ahead inc case,2021-05-15,BE,quantile,0.2,16170
2021-05-10,1 wk ahead inc case,2021-05-15,BE,quantile,0.25,16746
2021-05-10,1 wk ahead inc case,2021-05-15,BE,quantile,0.3,17281
2021-05-10,1 wk ahead inc case,2021-05-15,BE,quantile,0.35,17792
2021-05-10,1 wk ahead inc case,2021-05-15,BE,quantile,0.4,18291
2021-05-10,1 wk ahead inc case,2021-05-15,BE,quantile,0.45,18787
2021-05-10,1 wk ahead inc case,2021-05-15,BE,quantile,0.5,19288
2021-05-10,1 wk ahead inc case,2021-05-15,BE,quantile,0.55,19803
2021-05-10,1 wk ahead inc case,2021-05-15,BE,quantile,0.6,20340
2021-05-10,1 wk ahead inc case,2021-05-15,BE,quantile,0.65,20910
2021-05-10,1 wk ahead inc case,2021-05-15,BE,quantile,0.7,21528
