forecast_date,target,target_end_date,location,type,quantile,value,scenario_id
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.01,1584,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.025,1758,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.05,1922,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.1,2130,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.15,2283,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.2,2413,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.25,2530,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.3,2640,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.35,2746,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.4,2850,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.45,2955,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.5,3063,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.55,3174,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.6,3291,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.65,3416,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.7,3553,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.75,3708,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.8,3887,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.85,4108,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.9,4404,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.95,4881,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.975,5337,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,AT,quantile,0.99,5921,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BE,quantile,0.01,8603,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BE,quantile,0.025,9326,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BE,quantile,0.05,9996,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BE,quantile,0.1,10828,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BE,quantile,0.15,11428,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BE,quantile,0.2,11929,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BE,quantile,0.25,12376,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BE,quantile,0.3,12792,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BE,quantile,0.35,13189,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BE,quantile,0.4,13578,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BE,quantile,0.45,13965,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BE,quantile,0.5,14357,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BE,quantile,0.55,14760,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BE,quantile,0.6,15180,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BE,quantile,0.65,15628,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BE,quantile,0.7,16114,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BE,quantile,0.75,16655,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BE,quantile,0.8,17279,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BE,quantile,0.85,18036,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BE,quantile,0.9,19036,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BE,quantile,0.95,20621,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BE,quantile,0.975,22102,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BE,quantile,0.99,23959,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BG,quantile,0.01,862,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BG,quantile,0.025,972,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BG,quantile,0.05,1078,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BG,quantile,0.1,1214,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BG,quantile,0.15,1315,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BG,quantile,0.2,1402,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BG,quantile,0.25,1481,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BG,quantile,0.3,1556,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BG,quantile,0.35,1628,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BG,quantile,0.4,1700,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BG,quantile,0.45,1773,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BG,quantile,0.5,1847,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BG,quantile,0.55,1925,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BG,quantile,0.6,2007,forecast
2021-05-24,1 wk ahead inc case,2021-05-29,BG,quantile,0.65,2096,forecast
