location,forecast_date,target_end_date,target,quantile,value,type
BG,2024-08-05,2024-08-10,1 wk ahead inc death,0.0100,0,quantile
BG,2024-08-05,2024-08-10,1 wk ahead inc death,0.9900,0,quantile
BG,2024-08-05,2024-08-10,1 wk ahead inc death,0.5000,0,quantile
BG,2024-08-05,2024-08-10,1 wk ahead inc death,0.4500,0,quantile
BG,2024-08-05,2024-08-10,1 wk ahead inc death,0.5500,0,quantile
BG,2024-08-05,2024-08-10,1 wk ahead inc death,0.4000,0,quantile
BG,2024-08-05,2024-08-10,1 wk ahead inc death,0.6000,0,quantile
BG,2024-08-05,2024-08-10,1 wk ahead inc death,0.3500,0,quantile
BG,2024-08-05,2024-08-10,1 wk ahead inc death,0.6500,0,quantile
BG,2024-08-05,2024-08-10,1 wk ahead inc death,0.3000,0,quantile
BG,2024-08-05,2024-08-10,1 wk ahead inc death,0.7000,0,quantile
BG,2024-08-05,2024-08-10,1 wk ahead inc death,0.2500,0,quantile
BG,2024-08-05,2024-08-10,1 wk ahead inc death,0.7500,0,quantile
BG,2024-08-05,2024-08-10,1 wk ahead inc death,0.2000,0,quantile
BG,2024-08-05,2024-08-10,1 wk ahead inc death,0.8000,0,quantile
BG,2024-08-05,2024-08-10,1 wk ahead inc death,0.1500,0,quantile
BG,2024-08-05,2024-08-10,1 wk ahead inc death,0.8500,0,quantile
BG,2024-08-05,2024-08-10,1 wk ahead inc death,0.1000,0,quantile
BG,2024-08-05,2024-08-10,1 wk ahead inc death,0.9000,0,quantile
BG,2024-08-05,2024-08-10,1 wk ahead inc death,0.0500,0,quantile
BG,2024-08-05,2024-08-10,1 wk ahead inc death,0.9500,0,quantile
BG,2024-08-05,2024-08-10,1 wk ahead inc death,0.0250,0,quantile
BG,2024-08-05,2024-08-10,1 wk ahead inc death,0.9750,0,quantile
BG,2024-08-05,2024-08-17,2 wk ahead inc death,0.0100,0,quantile
BG,2024-08-05,2024-08-17,2 wk ahead inc death,0.9900,0,quantile
BG,2024-08-05,2024-08-17,2 wk ahead inc death,0.5000,0,quantile
BG,2024-08-05,2024-08-17,2 wk ahead inc death,0.4500,0,quantile
BG,2024-08-05,2024-08-17,2 wk ahead inc death,0.5500,0,quantile
BG,2024-08-05,2024-08-17,2 wk ahead inc death,0.4000,0,quantile
BG,2024-08-05,2024-08-17,2 wk ahead inc death,0.6000,0,quantile
BG,2024-08-05,2024-08-17,2 wk ahead inc death,0.3500,0,quantile
BG,2024-08-05,2024-08-17,2 wk ahead inc death,0.6500,0,quantile
BG,2024-08-05,2024-08-17,2 wk ahead inc death,0.3000,0,quantile
BG,2024-08-05,2024-08-17,2 wk ahead inc death,0.7000,0,quantile
BG,2024-08-05,2024-08-17,2 wk ahead inc death,0.2500,0,quantile
BG,2024-08-05,2024-08-17,2 wk ahead inc death,0.7500,0,quantile
BG,2024-08-05,2024-08-17,2 wk ahead inc death,0.2000,0,quantile
BG,2024-08-05,2024-08-17,2 wk ahead inc death,0.8000,0,quantile
BG,2024-08-05,2024-08-17,2 wk ahead inc death,0.1500,0,quantile
BG,2024-08-05,2024-08-17,2 wk ahead inc death,0.8500,0,quantile
BG,2024-08-05,2024-08-17,2 wk ahead inc death,0.1000,0,quantile
BG,2024-08-05,2024-08-17,2 wk ahead inc death,0.9000,0,quantile
BG,2024-08-05,2024-08-17,2 wk ahead inc death,0.0500,0,quantile
BG,2024-08-05,2024-08-17,2 wk ahead inc death,0.9500,0,quantile
BG,2024-08-05,2024-08-17,2 wk ahead inc death,0.0250,0,quantile
BG,2024-08-05,2024-08-17,2 wk ahead inc death,0.9750,0,quantile
BG,2024-08-05,2024-08-24,3 wk ahead inc death,0.0100,0,quantile
BG,2024-08-05,2024-08-24,3 wk ahead inc death,0.9900,0,quantile
BG,2024-08-05,2024-08-24,3 wk ahead inc death,0.5000,0,quantile
BG,2024-08-05,2024-08-24,3 wk ahead inc death,0.4500,0,quantile
BG,2024-08-05,2024-08-24,3 wk ahead inc death,0.5500,0,quantile
BG,2024-08-05,2024-08-24,3 wk ahead inc death,0.4000,0,quantile
BG,2024-08-05,2024-08-24,3 wk ahead inc death,0.6000,0,quantile
BG,2024-08-05,2024-08-24,3 wk ahead inc death,0.3500,0,quantile
BG,2024-08-05,2024-08-24,3 wk ahead inc death,0.6500,0,quantile
BG,2024-08-05,2024-08-24,3 wk ahead inc death,0.3000,0,quantile
BG,2024-08-05,2024-08-24,3 wk ahead inc death,0.7000,0,quantile
BG,2024-08-05,2024-08-24,3 wk ahead inc death,0.2500,0,quantile
BG,2024-08-05,2024-08-24,3 wk ahead inc death,0.7500,0,quantile
BG,2024-08-05,2024-08-24,3 wk ahead inc death,0.2000,0,quantile
BG,2024-08-05,2024-08-24,3 wk ahead inc death,0.8000,0,quantile
BG,2024-08-05,2024-08-24,3 wk ahead inc death,0.1500,0,quantile
BG,2024-08-05,2024-08-24,3 wk ahead inc death,0.8500,0,quantile
BG,2024-08-05,2024-08-24,3 wk ahead inc death,0.1000,0,quantile
BG,2024-08-05,2024-08-24,3 wk ahead inc death,0.9000,0,quantile
BG,2024-08-05,2024-08-24,3 wk ahead inc death,0.0500,0,quantile
