forecast_date,target,target_end_date,location,type,quantile,value,scenario_id
2021-08-30,1 wk ahead inc case,2021-09-04,DE,quantile,0.01,80946,forecast
2021-08-30,1 wk ahead inc case,2021-09-04,DE,quantile,0.025,82665,forecast
2021-08-30,1 wk ahead inc case,2021-09-04,DE,quantile,0.05,84030,forecast
2021-08-30,1 wk ahead inc case,2021-09-04,DE,quantile,0.1,85701,forecast
2021-08-30,1 wk ahead inc case,2021-09-04,DE,quantile,0.15,86868,forecast
2021-08-30,1 wk ahead inc case,2021-09-04,DE,quantile,0.2,87841,forecast
2021-08-30,1 wk ahead inc case,2021-09-04,DE,quantile,0.25,88757,forecast
2021-08-30,1 wk ahead inc case,2021-09-04,DE,quantile,0.3,89513,forecast
2021-08-30,1 wk ahead inc case,2021-09-04,DE,quantile,0.35,90296,forecast
2021-08-30,1 wk ahead inc case,2021-09-04,DE,quantile,0.4,91154,forecast
2021-08-30,1 wk ahead inc case,2021-09-04,DE,quantile,0.45,91809,forecast
2021-08-30,1 wk ahead inc case,2021-09-04,DE,quantile,0.5,92598,forecast
2021-08-30,1 wk ahead inc case,2021-09-04,DE,quantile,0.55,93367,forecast
2021-08-30,1 wk ahead inc case,2021-09-04,DE,quantile,0.6,94062,forecast
2021-08-30,1 wk ahead inc case,2021-09-04,DE,quantile,0.65,94725,forecast
2021-08-30,1 wk ahead inc case,2021-09-04,DE,quantile,0.7,95340,forecast
2021-08-30,1 wk ahead inc case,2021-09-04,DE,quantile,0.75,96385,forecast
2021-08-30,1 wk ahead inc case,2021-09-04,DE,quantile,0.8,97206,forecast
2021-08-30,1 wk ahead inc case,2021-09-04,DE,quantile,0.85,98243,forecast
2021-08-30,1 wk ahead inc case,2021-09-04,DE,quantile,0.9,99708,forecast
2021-08-30,1 wk ahead inc case,2021-09-04,DE,quantile,0.95,102125,forecast
2021-08-30,1 wk ahead inc case,2021-09-04,DE,quantile,0.975,104458,forecast
2021-08-30,1 wk ahead inc case,2021-09-04,DE,quantile,0.99,106925,forecast
2021-08-30,2 wk ahead inc case,2021-09-11,DE,quantile,0.01,95797,forecast
2021-08-30,2 wk ahead inc case,2021-09-11,DE,quantile,0.025,99553,forecast
2021-08-30,2 wk ahead inc case,2021-09-11,DE,quantile,0.05,103154,forecast
2021-08-30,2 wk ahead inc case,2021-09-11,DE,quantile,0.1,106448,forecast
2021-08-30,2 wk ahead inc case,2021-09-11,DE,quantile,0.15,109127,forecast
2021-08-30,2 wk ahead inc case,2021-09-11,DE,quantile,0.2,111599,forecast
2021-08-30,2 wk ahead inc case,2021-09-11,DE,quantile,0.25,114003,forecast
2021-08-30,2 wk ahead inc case,2021-09-11,DE,quantile,0.3,115932,forecast
