forecast_date,target,target_end_date,location,type,quantile,value
2022-06-13,1 wk ahead inc case,2022-06-18,DE,quantile,0.01,407832
2022-06-13,1 wk ahead inc case,2022-06-18,DE,quantile,0.025,411612
2022-06-13,1 wk ahead inc case,2022-06-18,DE,quantile,0.05,414064
2022-06-13,1 wk ahead inc case,2022-06-18,DE,quantile,0.1,417815
2022-06-13,1 wk ahead inc case,2022-06-18,DE,quantile,0.15,420400
2022-06-13,1 wk ahead inc case,2022-06-18,DE,quantile,0.2,422160
2022-06-13,1 wk ahead inc case,2022-06-18,DE,quantile,0.25,423783
2022-06-13,1 wk ahead inc case,2022-06-18,DE,quantile,0.3,425247
2022-06-13,1 wk ahead inc case,2022-06-18,DE,quantile,0.35,426336
2022-06-13,1 wk ahead inc case,2022-06-18,DE,quantile,0.4,427413
2022-06-13,1 wk ahead inc case,2022-06-18,DE,quantile,0.45,428558
2022-06-13,1 wk ahead inc case,2022-06-18,DE,quantile,0.5,429790
2022-06-13,1 wk ahead inc case,2022-06-18,DE,quantile,0.55,431133
2022-06-13,1 wk ahead inc case,2022-06-18,DE,quantile,0.6,432036
2022-06-13,1 wk ahead inc case,2022-06-18,DE,quantile,0.65,433039
2022-06-13,1 wk ahead inc case,2022-06-18,DE,quantile,0.7,434416
2022-06-13,1 wk ahead inc case,2022-06-18,DE,quantile,0.75,435634
2022-06-13,1 wk ahead inc case,2022-06-18,DE,quantile,0.8,437107
2022-06-13,1 wk ahead inc case,2022-06-18,DE,quantile,0.85,438919
2022-06-13,1 wk ahead inc case,2022-06-18,DE,quantile,0.9,440758
2022-06-13,1 wk ahead inc case,2022-06-18,DE,quantile,0.95,445193
2022-06-13,1 wk ahead inc case,2022-06-18,DE,quantile,0.975,446734
2022-06-13,1 wk ahead inc case,2022-06-18,DE,quantile,0.99,449202
2022-06-13,2 wk ahead inc case,2022-06-25,DE,quantile,0.01,568491
2022-06-13,2 wk ahead inc case,2022-06-25,DE,quantile,0.025,577969
2022-06-13,2 wk ahead inc case,2022-06-25,DE,quantile,0.05,583503
2022-06-13,2 wk ahead inc case,2022-06-25,DE,quantile,0.1,592227
2022-06-13,2 wk ahead inc case,2022-06-25,DE,quantile,0.15,597449
2022-06-13,2 wk ahead inc case,2022-06-25,DE,quantile,0.2,601939
2022-06-13,2 wk ahead inc case,2022-06-25,DE,quantile,0.25,607341
2022-06-13,2 wk ahead inc case,2022-06-25,DE,quantile,0.3,610638
2022-06-13,2 wk ahead inc case,2022-06-25,DE,quantile,0.35,613284
2022-06-13,2 wk ahead inc case,2022-06-25,DE,quantile,0.4,616492
2022-06-13,2 wk ahead inc case,2022-06-25,DE,quantile,0.45,619210
2022-06-13,2 wk ahead inc case,2022-06-25,DE,quantile,0.5,621684
2022-06-13,2 wk ahead inc case,2022-06-25,DE,quantile,0.55,625341
2022-06-13,2 wk ahead inc case,2022-06-25,DE,quantile,0.6,628499
2022-06-13,2 wk ahead inc case,2022-06-25,DE,quantile,0.65,631000
2022-06-13,2 wk ahead inc case,2022-06-25,DE,quantile,0.7,634993
2022-06-13,2 wk ahead inc case,2022-06-25,DE,quantile,0.75,638260
2022-06-13,2 wk ahead inc case,2022-06-25,DE,quantile,0.8,643107
2022-06-13,2 wk ahead inc case,2022-06-25,DE,quantile,0.85,647255
2022-06-13,2 wk ahead inc case,2022-06-25,DE,quantile,0.9,654105
2022-06-13,2 wk ahead inc case,2022-06-25,DE,quantile,0.95,662374
2022-06-13,2 wk ahead inc case,2022-06-25,DE,quantile,0.975,670109
2022-06-13,2 wk ahead inc case,2022-06-25,DE,quantile,0.99,677929
2022-06-13,3 wk ahead inc case,2022-07-02,DE,quantile,0.01,755954
2022-06-13,3 wk ahead inc case,2022-07-02,DE,quantile,0.025,772186
2022-06-13,3 wk ahead inc case,2022-07-02,DE,quantile,0.05,784623
2022-06-13,3 wk ahead inc case,2022-07-02,DE,quantile,0.1,798472
2022-06-13,3 wk ahead inc case,2022-07-02,DE,quantile,0.15,811046
2022-06-13,3 wk ahead inc case,2022-07-02,DE,quantile,0.2,819802
2022-06-13,3 wk ahead inc case,2022-07-02,DE,quantile,0.25,830463
2022-06-13,3 wk ahead inc case,2022-07-02,DE,quantile,0.3,837088
2022-06-13,3 wk ahead inc case,2022-07-02,DE,quantile,0.35,842918
2022-06-13,3 wk ahead inc case,2022-07-02,DE,quantile,0.4,849246
2022-06-13,3 wk ahead inc case,2022-07-02,DE,quantile,0.45,854973
2022-06-13,3 wk ahead inc case,2022-07-02,DE,quantile,0.5,860752
2022-06-13,3 wk ahead inc case,2022-07-02,DE,quantile,0.55,867862
2022-06-13,3 wk ahead inc case,2022-07-02,DE,quantile,0.6,875992
2022-06-13,3 wk ahead inc case,2022-07-02,DE,quantile,0.65,881545
2022-06-13,3 wk ahead inc case,2022-07-02,DE,quantile,0.7,888630
2022-06-13,3 wk ahead inc case,2022-07-02,DE,quantile,0.75,897385
2022-06-13,3 wk ahead inc case,2022-07-02,DE,quantile,0.8,907663
2022-06-13,3 wk ahead inc case,2022-07-02,DE,quantile,0.85,918121
2022-06-13,3 wk ahead inc case,2022-07-02,DE,quantile,0.9,931866
2022-06-13,3 wk ahead inc case,2022-07-02,DE,quantile,0.95,952221
2022-06-13,3 wk ahead inc case,2022-07-02,DE,quantile,0.975,967075
2022-06-13,3 wk ahead inc case,2022-07-02,DE,quantile,0.99,985257
2022-06-13,4 wk ahead inc case,2022-07-09,DE,quantile,0.01,1009217
2022-06-13,4 wk ahead inc case,2022-07-09,DE,quantile,0.025,1038605
2022-06-13,4 wk ahead inc case,2022-07-09,DE,quantile,0.05,1059781
2022-06-13,4 wk ahead inc case,2022-07-09,DE,quantile,0.1,1085736
2022-06-13,4 wk ahead inc case,2022-07-09,DE,quantile,0.15,1108823
2022-06-13,4 wk ahead inc case,2022-07-09,DE,quantile,0.2,1127383
2022-06-13,4 wk ahead inc case,2022-07-09,DE,quantile,0.25,1145645
2022-06-13,4 wk ahead inc case,2022-07-09,DE,quantile,0.3,1157525
2022-06-13,4 wk ahead inc case,2022-07-09,DE,quantile,0.35,1169977
2022-06-13,4 wk ahead inc case,2022-07-09,DE,quantile,0.4,1180463
2022-06-13,4 wk ahead inc case,2022-07-09,DE,quantile,0.45,1190706
2022-06-13,4 wk ahead inc case,2022-07-09,DE,quantile,0.5,1203975
2022-06-13,4 wk ahead inc case,2022-07-09,DE,quantile,0.55,1218255
2022-06-13,4 wk ahead inc case,2022-07-09,DE,quantile,0.6,1231949
2022-06-13,4 wk ahead inc case,2022-07-09,DE,quantile,0.65,1243904
2022-06-13,4 wk ahead inc case,2022-07-09,DE,quantile,0.7,1259177
2022-06-13,4 wk ahead inc case,2022-07-09,DE,quantile,0.75,1275580
2022-06-13,4 wk ahead inc case,2022-07-09,DE,quantile,0.8,1296233
2022-06-13,4 wk ahead inc case,2022-07-09,DE,quantile,0.85,1319289
2022-06-13,4 wk ahead inc case,2022-07-09,DE,quantile,0.9,1344599
2022-06-13,4 wk ahead inc case,2022-07-09,DE,quantile,0.95,1388013
