forecast_date,target,target_end_date,location,type,quantile,value
2021-11-01,1 wk ahead inc death,2021-11-06,BE,quantile,0.01,129
2021-11-01,1 wk ahead inc death,2021-11-06,BE,quantile,0.1,142
2021-11-01,1 wk ahead inc death,2021-11-06,BE,quantile,0.15,145
2021-11-01,1 wk ahead inc death,2021-11-06,BE,quantile,0.025,134
2021-11-01,1 wk ahead inc death,2021-11-06,BE,quantile,0.2,148
2021-11-01,1 wk ahead inc death,2021-11-06,BE,quantile,0.25,150
2021-11-01,1 wk ahead inc death,2021-11-06,BE,quantile,0.3,152
2021-11-01,1 wk ahead inc death,2021-11-06,BE,quantile,0.35,154
2021-11-01,1 wk ahead inc death,2021-11-06,BE,quantile,0.4,156
2021-11-01,1 wk ahead inc death,2021-11-06,BE,quantile,0.45,157
2021-11-01,1 wk ahead inc death,2021-11-06,BE,quantile,0.05,137
2021-11-01,1 wk ahead inc death,2021-11-06,BE,quantile,0.5,159
2021-11-01,1 wk ahead inc death,2021-11-06,BE,quantile,0.55,161
2021-11-01,1 wk ahead inc death,2021-11-06,BE,quantile,0.6,162
2021-11-01,1 wk ahead inc death,2021-11-06,BE,quantile,0.65,164
2021-11-01,1 wk ahead inc death,2021-11-06,BE,quantile,0.7,166
2021-11-01,1 wk ahead inc death,2021-11-06,BE,quantile,0.75,168
2021-11-01,1 wk ahead inc death,2021-11-06,BE,quantile,0.8,170
2021-11-01,1 wk ahead inc death,2021-11-06,BE,quantile,0.85,173
2021-11-01,1 wk ahead inc death,2021-11-06,BE,quantile,0.9,177
2021-11-01,1 wk ahead inc death,2021-11-06,BE,quantile,0.95,182
2021-11-01,1 wk ahead inc death,2021-11-06,BE,quantile,0.975,187
2021-11-01,1 wk ahead inc death,2021-11-06,BE,quantile,0.99,192
2021-11-01,1 wk ahead inc death,2021-11-06,BE,point,0.5,159
2021-11-01,1 wk ahead inc death,2021-11-06,BG,quantile,0.01,1034
2021-11-01,1 wk ahead inc death,2021-11-06,BG,quantile,0.1,1069
