forecast_date,target,target_end_date,location,type,quantile,value
2021-07-05,1 wk ahead inc death,2021-07-10,BE,quantile,0.01,1
2021-07-05,1 wk ahead inc death,2021-07-10,BE,quantile,0.1,4
2021-07-05,1 wk ahead inc death,2021-07-10,BE,quantile,0.15,4
2021-07-05,1 wk ahead inc death,2021-07-10,BE,quantile,0.025,2
2021-07-05,1 wk ahead inc death,2021-07-10,BE,quantile,0.2,5
2021-07-05,1 wk ahead inc death,2021-07-10,BE,quantile,0.25,6
2021-07-05,1 wk ahead inc death,2021-07-10,BE,quantile,0.3,6
2021-07-05,1 wk ahead inc death,2021-07-10,BE,quantile,0.35,7
2021-07-05,1 wk ahead inc death,2021-07-10,BE,quantile,0.4,8
2021-07-05,1 wk ahead inc death,2021-07-10,BE,quantile,0.45,8
2021-07-05,1 wk ahead inc death,2021-07-10,BE,quantile,0.05,3
2021-07-05,1 wk ahead inc death,2021-07-10,BE,quantile,0.5,9
2021-07-05,1 wk ahead inc death,2021-07-10,BE,quantile,0.55,10
2021-07-05,1 wk ahead inc death,2021-07-10,BE,quantile,0.6,10
2021-07-05,1 wk ahead inc death,2021-07-10,BE,quantile,0.65,11
2021-07-05,1 wk ahead inc death,2021-07-10,BE,quantile,0.7,12
2021-07-05,1 wk ahead inc death,2021-07-10,BE,quantile,0.75,13
2021-07-05,1 wk ahead inc death,2021-07-10,BE,quantile,0.8,15
2021-07-05,1 wk ahead inc death,2021-07-10,BE,quantile,0.85,16
2021-07-05,1 wk ahead inc death,2021-07-10,BE,quantile,0.9,19
2021-07-05,1 wk ahead inc death,2021-07-10,BE,quantile,0.95,23
2021-07-05,1 wk ahead inc death,2021-07-10,BE,quantile,0.975,27
2021-07-05,1 wk ahead inc death,2021-07-10,BE,quantile,0.99,33
2021-07-05,1 wk ahead inc death,2021-07-10,BE,point,0.5,9
2021-07-05,1 wk ahead inc death,2021-07-10,BG,quantile,0.01,25
2021-07-05,1 wk ahead inc death,2021-07-10,BG,quantile,0.1,41
2021-07-05,1 wk ahead inc death,2021-07-10,BG,quantile,0.15,46
2021-07-05,1 wk ahead inc death,2021-07-10,BG,quantile,0.025,30
2021-07-05,1 wk ahead inc death,2021-07-10,BG,quantile,0.2,50
2021-07-05,1 wk ahead inc death,2021-07-10,BG,quantile,0.25,54
2021-07-05,1 wk ahead inc death,2021-07-10,BG,quantile,0.3,57
2021-07-05,1 wk ahead inc death,2021-07-10,BG,quantile,0.35,61
2021-07-05,1 wk ahead inc death,2021-07-10,BG,quantile,0.4,64
2021-07-05,1 wk ahead inc death,2021-07-10,BG,quantile,0.45,68
2021-07-05,1 wk ahead inc death,2021-07-10,BG,quantile,0.05,34
2021-07-05,1 wk ahead inc death,2021-07-10,BG,quantile,0.5,71
2021-07-05,1 wk ahead inc death,2021-07-10,BG,quantile,0.55,74
2021-07-05,1 wk ahead inc death,2021-07-10,BG,quantile,0.6,78
2021-07-05,1 wk ahead inc death,2021-07-10,BG,quantile,0.65,82
2021-07-05,1 wk ahead inc death,2021-07-10,BG,quantile,0.7,86
2021-07-05,1 wk ahead inc death,2021-07-10,BG,quantile,0.75,91
2021-07-05,1 wk ahead inc death,2021-07-10,BG,quantile,0.8,97
2021-07-05,1 wk ahead inc death,2021-07-10,BG,quantile,0.85,103
2021-07-05,1 wk ahead inc death,2021-07-10,BG,quantile,0.9,113
2021-07-05,1 wk ahead inc death,2021-07-10,BG,quantile,0.95,129
2021-07-05,1 wk ahead inc death,2021-07-10,BG,quantile,0.975,145
2021-07-05,1 wk ahead inc death,2021-07-10,BG,quantile,0.99,163
2021-07-05,1 wk ahead inc death,2021-07-10,BG,point,0.5,71
2021-07-05,1 wk ahead inc death,2021-07-10,CZ,quantile,0.01,1
2021-07-05,1 wk ahead inc death,2021-07-10,CZ,quantile,0.1,3
2021-07-05,1 wk ahead inc death,2021-07-10,CZ,quantile,0.15,4
2021-07-05,1 wk ahead inc death,2021-07-10,CZ,quantile,0.025,1
2021-07-05,1 wk ahead inc death,2021-07-10,CZ,quantile,0.2,5
2021-07-05,1 wk ahead inc death,2021-07-10,CZ,quantile,0.25,6
2021-07-05,1 wk ahead inc death,2021-07-10,CZ,quantile,0.3,7
