forecast_date,target,target_end_date,location,type,quantile,value
2021-08-02,1 wk ahead inc death,2021-08-07,BE,quantile,0.01,7
2021-08-02,1 wk ahead inc death,2021-08-07,BE,quantile,0.1,13
2021-08-02,1 wk ahead inc death,2021-08-07,BE,quantile,0.15,14
2021-08-02,1 wk ahead inc death,2021-08-07,BE,quantile,0.025,8
2021-08-02,1 wk ahead inc death,2021-08-07,BE,quantile,0.2,16
2021-08-02,1 wk ahead inc death,2021-08-07,BE,quantile,0.25,17
2021-08-02,1 wk ahead inc death,2021-08-07,BE,quantile,0.3,19
2021-08-02,1 wk ahead inc death,2021-08-07,BE,quantile,0.35,20
2021-08-02,1 wk ahead inc death,2021-08-07,BE,quantile,0.4,21
2021-08-02,1 wk ahead inc death,2021-08-07,BE,quantile,0.45,22
2021-08-02,1 wk ahead inc death,2021-08-07,BE,quantile,0.05,10
2021-08-02,1 wk ahead inc death,2021-08-07,BE,quantile,0.5,23
2021-08-02,1 wk ahead inc death,2021-08-07,BE,quantile,0.55,25
2021-08-02,1 wk ahead inc death,2021-08-07,BE,quantile,0.6,26
2021-08-02,1 wk ahead inc death,2021-08-07,BE,quantile,0.65,28
2021-08-02,1 wk ahead inc death,2021-08-07,BE,quantile,0.7,29
2021-08-02,1 wk ahead inc death,2021-08-07,BE,quantile,0.75,31
2021-08-02,1 wk ahead inc death,2021-08-07,BE,quantile,0.8,33
2021-08-02,1 wk ahead inc death,2021-08-07,BE,quantile,0.85,36
2021-08-02,1 wk ahead inc death,2021-08-07,BE,quantile,0.9,40
2021-08-02,1 wk ahead inc death,2021-08-07,BE,quantile,0.95,46
2021-08-02,1 wk ahead inc death,2021-08-07,BE,quantile,0.975,52
2021-08-02,1 wk ahead inc death,2021-08-07,BE,quantile,0.99,61
2021-08-02,1 wk ahead inc death,2021-08-07,BE,point,0.5,23
2021-08-02,1 wk ahead inc death,2021-08-07,BG,quantile,0.01,4
2021-08-02,1 wk ahead inc death,2021-08-07,BG,quantile,0.1,8
2021-08-02,1 wk ahead inc death,2021-08-07,BG,quantile,0.15,9
2021-08-02,1 wk ahead inc death,2021-08-07,BG,quantile,0.025,6
2021-08-02,1 wk ahead inc death,2021-08-07,BG,quantile,0.2,10
2021-08-02,1 wk ahead inc death,2021-08-07,BG,quantile,0.25,11
2021-08-02,1 wk ahead inc death,2021-08-07,BG,quantile,0.3,12
2021-08-02,1 wk ahead inc death,2021-08-07,BG,quantile,0.35,12
2021-08-02,1 wk ahead inc death,2021-08-07,BG,quantile,0.4,13
2021-08-02,1 wk ahead inc death,2021-08-07,BG,quantile,0.45,14
