forecast_date,target,target_end_date,location,type,quantile,value
2021-11-22,1 wk ahead inc death,2021-11-27,BE,quantile,0.01,142
2021-11-22,1 wk ahead inc death,2021-11-27,BE,quantile,0.1,164
2021-11-22,1 wk ahead inc death,2021-11-27,BE,quantile,0.15,170
2021-11-22,1 wk ahead inc death,2021-11-27,BE,quantile,0.025,149
2021-11-22,1 wk ahead inc death,2021-11-27,BE,quantile,0.2,175
2021-11-22,1 wk ahead inc death,2021-11-27,BE,quantile,0.25,179
2021-11-22,1 wk ahead inc death,2021-11-27,BE,quantile,0.3,183
2021-11-22,1 wk ahead inc death,2021-11-27,BE,quantile,0.35,186
2021-11-22,1 wk ahead inc death,2021-11-27,BE,quantile,0.4,189
2021-11-22,1 wk ahead inc death,2021-11-27,BE,quantile,0.45,193
2021-11-22,1 wk ahead inc death,2021-11-27,BE,quantile,0.05,156
2021-11-22,1 wk ahead inc death,2021-11-27,BE,quantile,0.5,196
2021-11-22,1 wk ahead inc death,2021-11-27,BE,quantile,0.55,199
2021-11-22,1 wk ahead inc death,2021-11-27,BE,quantile,0.6,202
2021-11-22,1 wk ahead inc death,2021-11-27,BE,quantile,0.65,206
2021-11-22,1 wk ahead inc death,2021-11-27,BE,quantile,0.7,210
2021-11-22,1 wk ahead inc death,2021-11-27,BE,quantile,0.75,214
2021-11-22,1 wk ahead inc death,2021-11-27,BE,quantile,0.8,218
2021-11-22,1 wk ahead inc death,2021-11-27,BE,quantile,0.85,224
2021-11-22,1 wk ahead inc death,2021-11-27,BE,quantile,0.9,231
2021-11-22,1 wk ahead inc death,2021-11-27,BE,quantile,0.95,241
2021-11-22,1 wk ahead inc death,2021-11-27,BE,quantile,0.975,251
2021-11-22,1 wk ahead inc death,2021-11-27,BE,quantile,0.99,265
2021-11-22,1 wk ahead inc death,2021-11-27,BE,point,0.5,196
2021-11-22,1 wk ahead inc death,2021-11-27,BG,quantile,0.01,671
2021-11-22,1 wk ahead inc death,2021-11-27,BG,quantile,0.1,716
2021-11-22,1 wk ahead inc death,2021-11-27,BG,quantile,0.15,727
2021-11-22,1 wk ahead inc death,2021-11-27,BG,quantile,0.025,686
2021-11-22,1 wk ahead inc death,2021-11-27,BG,quantile,0.2,736
2021-11-22,1 wk ahead inc death,2021-11-27,BG,quantile,0.25,743
2021-11-22,1 wk ahead inc death,2021-11-27,BG,quantile,0.3,750
2021-11-22,1 wk ahead inc death,2021-11-27,BG,quantile,0.35,756
2021-11-22,1 wk ahead inc death,2021-11-27,BG,quantile,0.4,763
2021-11-22,1 wk ahead inc death,2021-11-27,BG,quantile,0.45,769
2021-11-22,1 wk ahead inc death,2021-11-27,BG,quantile,0.05,700
2021-11-22,1 wk ahead inc death,2021-11-27,BG,quantile,0.5,775
2021-11-22,1 wk ahead inc death,2021-11-27,BG,quantile,0.55,781
2021-11-22,1 wk ahead inc death,2021-11-27,BG,quantile,0.6,787
2021-11-22,1 wk ahead inc death,2021-11-27,BG,quantile,0.65,793
2021-11-22,1 wk ahead inc death,2021-11-27,BG,quantile,0.7,800
2021-11-22,1 wk ahead inc death,2021-11-27,BG,quantile,0.75,807
2021-11-22,1 wk ahead inc death,2021-11-27,BG,quantile,0.8,814
2021-11-22,1 wk ahead inc death,2021-11-27,BG,quantile,0.85,824
2021-11-22,1 wk ahead inc death,2021-11-27,BG,quantile,0.9,836
2021-11-22,1 wk ahead inc death,2021-11-27,BG,quantile,0.95,855
2021-11-22,1 wk ahead inc death,2021-11-27,BG,quantile,0.975,871
2021-11-22,1 wk ahead inc death,2021-11-27,BG,quantile,0.99,892
2021-11-22,1 wk ahead inc death,2021-11-27,BG,point,0.5,775
2021-11-22,1 wk ahead inc death,2021-11-27,CH,quantile,0.01,12
2021-11-22,1 wk ahead inc death,2021-11-27,CH,quantile,0.1,18
2021-11-22,1 wk ahead inc death,2021-11-27,CH,quantile,0.15,20
2021-11-22,1 wk ahead inc death,2021-11-27,CH,quantile,0.025,14
2021-11-22,1 wk ahead inc death,2021-11-27,CH,quantile,0.2,22
2021-11-22,1 wk ahead inc death,2021-11-27,CH,quantile,0.25,23
2021-11-22,1 wk ahead inc death,2021-11-27,CH,quantile,0.3,24
