location,forecast_date,target_end_date,target,type,quantile,value
AT,2022-01-02,2022-01-08,1 wk ahead inc case,point,NA,25445
AT,2022-01-02,2022-01-15,2 wk ahead inc case,point,NA,30543
AT,2022-01-02,2022-01-22,3 wk ahead inc case,point,NA,36079
AT,2022-01-02,2022-01-29,4 wk ahead inc case,point,NA,42573
AT,2022-01-02,2022-02-05,5 wk ahead inc case,point,NA,50167
AT,2022-01-02,2022-02-12,6 wk ahead inc case,point,NA,59014
AT,2022-01-02,2022-02-19,7 wk ahead inc case,point,NA,69272
AT,2022-01-02,2022-02-26,8 wk ahead inc case,point,NA,81090
AT,2022-01-02,2022-03-05,9 wk ahead inc case,point,NA,93196
AT,2022-01-02,2022-03-12,10 wk ahead inc case,point,NA,97495
AT,2022-01-02,2022-03-19,11 wk ahead inc case,point,NA,94028
AT,2022-01-02,2022-03-26,12 wk ahead inc case,point,NA,85339
AT,2022-01-02,2022-04-02,13 wk ahead inc case,point,NA,71166
AT,2022-01-02,2022-04-09,14 wk ahead inc case,point,NA,58227
AT,2022-01-02,2022-04-16,15 wk ahead inc case,point,NA,49934
AT,2022-01-02,2022-04-23,16 wk ahead inc case,point,NA,45741
AT,2022-01-02,2022-04-30,17 wk ahead inc case,point,NA,41902
AT,2022-01-02,2022-05-07,18 wk ahead inc case,point,NA,38221
AT,2022-01-02,2022-05-14,19 wk ahead inc case,point,NA,34334
AT,2022-01-02,2022-01-08,1 wk ahead inc death,point,NA,66
AT,2022-01-02,2022-01-15,2 wk ahead inc death,point,NA,60
AT,2022-01-02,2022-01-22,3 wk ahead inc death,point,NA,54
AT,2022-01-02,2022-01-29,4 wk ahead inc death,point,NA,49
AT,2022-01-02,2022-02-05,5 wk ahead inc death,point,NA,43
AT,2022-01-02,2022-02-12,6 wk ahead inc death,point,NA,37
AT,2022-01-02,2022-02-19,7 wk ahead inc death,point,NA,31
AT,2022-01-02,2022-02-26,8 wk ahead inc death,point,NA,26
AT,2022-01-02,2022-03-05,9 wk ahead inc death,point,NA,21
AT,2022-01-02,2022-03-12,10 wk ahead inc death,point,NA,16
AT,2022-01-02,2022-03-19,11 wk ahead inc death,point,NA,12
AT,2022-01-02,2022-03-26,12 wk ahead inc death,point,NA,8
AT,2022-01-02,2022-04-02,13 wk ahead inc death,point,NA,6
AT,2022-01-02,2022-04-09,14 wk ahead inc death,point,NA,4
AT,2022-01-02,2022-04-16,15 wk ahead inc death,point,NA,2
AT,2022-01-02,2022-04-23,16 wk ahead inc death,point,NA,1
AT,2022-01-02,2022-04-30,17 wk ahead inc death,point,NA,1
AT,2022-01-02,2022-05-07,18 wk ahead inc death,point,NA,0
AT,2022-01-02,2022-05-14,19 wk ahead inc death,point,NA,0
CZ,2022-01-02,2022-01-08,1 wk ahead inc case,point,NA,38870
CZ,2022-01-02,2022-01-15,2 wk ahead inc case,point,NA,45220
CZ,2022-01-02,2022-01-22,3 wk ahead inc case,point,NA,53268
CZ,2022-01-02,2022-01-29,4 wk ahead inc case,point,NA,62915
CZ,2022-01-02,2022-02-05,5 wk ahead inc case,point,NA,74207
CZ,2022-01-02,2022-02-12,6 wk ahead inc case,point,NA,87390
CZ,2022-01-02,2022-02-19,7 wk ahead inc case,point,NA,102716
CZ,2022-01-02,2022-02-26,8 wk ahead inc case,point,NA,120429
CZ,2022-01-02,2022-03-05,9 wk ahead inc case,point,NA,140736
CZ,2022-01-02,2022-03-12,10 wk ahead inc case,point,NA,163747
CZ,2022-01-02,2022-03-19,11 wk ahead inc case,point,NA,189363
CZ,2022-01-02,2022-03-26,12 wk ahead inc case,point,NA,215642
CZ,2022-01-02,2022-04-02,13 wk ahead inc case,point,NA,209327
