"location","forecast_date","target_end_date","target","type","quantile","value","scenario_id"
"AT",2022-02-13,2022-02-19,"1 wk ahead inc case","point",NA,207911,"forecast"
"AT",2022-02-13,2022-02-26,"2 wk ahead inc case","point",NA,197675,"forecast"
"AT",2022-02-13,2022-03-05,"3 wk ahead inc case","point",NA,192758,"forecast"
"AT",2022-02-13,2022-03-12,"4 wk ahead inc case","point",NA,189214,"forecast"
"AT",2022-02-13,2022-03-19,"5 wk ahead inc case","point",NA,188901,"forecast"
"AT",2022-02-13,2022-03-26,"6 wk ahead inc case","point",NA,192786,"forecast"
"AT",2022-02-13,2022-04-02,"7 wk ahead inc case","point",NA,199687,"forecast"
"AT",2022-02-13,2022-04-09,"8 wk ahead inc case","point",NA,207598,"forecast"
"AT",2022-02-13,2022-04-16,"9 wk ahead inc case","point",NA,214250,"forecast"
"AT",2022-02-13,2022-04-23,"10 wk ahead inc case","point",NA,219190,"forecast"
"AT",2022-02-13,2022-04-30,"11 wk ahead inc case","point",NA,220491,"forecast"
"AT",2022-02-13,2022-05-07,"12 wk ahead inc case","point",NA,216546,"forecast"
"AT",2022-02-13,2022-05-14,"13 wk ahead inc case","point",NA,208190,"forecast"
"AT",2022-02-13,2022-05-21,"14 wk ahead inc case","point",NA,198631,"forecast"
"AT",2022-02-13,2022-05-28,"15 wk ahead inc case","point",NA,190685,"forecast"
"AT",2022-02-13,2022-06-04,"16 wk ahead inc case","point",NA,186376,"forecast"
"AT",2022-02-13,2022-06-11,"17 wk ahead inc case","point",NA,186276,"forecast"
"AT",2022-02-13,2022-06-18,"18 wk ahead inc case","point",NA,187890,"forecast"
"AT",2022-02-13,2022-06-25,"19 wk ahead inc case","point",NA,188323,"forecast"
"AT",2022-02-13,2022-02-19,"1 wk ahead inc death","point",NA,127,"forecast"
"AT",2022-02-13,2022-02-26,"2 wk ahead inc death","point",NA,123,"forecast"
"AT",2022-02-13,2022-03-05,"3 wk ahead inc death","point",NA,121,"forecast"
"AT",2022-02-13,2022-03-12,"4 wk ahead inc death","point",NA,120,"forecast"
"AT",2022-02-13,2022-03-19,"5 wk ahead inc death","point",NA,118,"forecast"
"AT",2022-02-13,2022-03-26,"6 wk ahead inc death","point",NA,114,"forecast"
"AT",2022-02-13,2022-04-02,"7 wk ahead inc death","point",NA,106,"forecast"
"AT",2022-02-13,2022-04-09,"8 wk ahead inc death","point",NA,97,"forecast"
"AT",2022-02-13,2022-04-16,"9 wk ahead inc death","point",NA,88,"forecast"
"AT",2022-02-13,2022-04-23,"10 wk ahead inc death","point",NA,81,"forecast"
"AT",2022-02-13,2022-04-30,"11 wk ahead inc death","point",NA,78,"forecast"
"AT",2022-02-13,2022-05-07,"12 wk ahead inc death","point",NA,79,"forecast"
