location,forecast_date,target_end_date,target,type,quantile,value
DE,2021-07-12,2021-07-17,1 wk ahead inc case,quantile,0.01,2633
DE,2021-07-12,2021-07-17,1 wk ahead inc case,quantile,0.025,3148
DE,2021-07-12,2021-07-17,1 wk ahead inc case,quantile,0.05,3591
DE,2021-07-12,2021-07-17,1 wk ahead inc case,quantile,0.1,4117
DE,2021-07-12,2021-07-17,1 wk ahead inc case,quantile,0.15,4482
DE,2021-07-12,2021-07-17,1 wk ahead inc case,quantile,0.2,4783
DE,2021-07-12,2021-07-17,1 wk ahead inc case,quantile,0.25,5049
DE,2021-07-12,2021-07-17,1 wk ahead inc case,quantile,0.3,5292
DE,2021-07-12,2021-07-17,1 wk ahead inc case,quantile,0.35,5525
DE,2021-07-12,2021-07-17,1 wk ahead inc case,quantile,0.4,5752
DE,2021-07-12,2021-07-17,1 wk ahead inc case,quantile,0.45,5976
DE,2021-07-12,2021-07-17,1 wk ahead inc case,quantile,0.5,6203
DE,2021-07-12,2021-07-17,1 wk ahead inc case,quantile,0.55,6435
DE,2021-07-12,2021-07-17,1 wk ahead inc case,quantile,0.6,6685
DE,2021-07-12,2021-07-17,1 wk ahead inc case,quantile,0.65,6954
DE,2021-07-12,2021-07-17,1 wk ahead inc case,quantile,0.7,7246
DE,2021-07-12,2021-07-17,1 wk ahead inc case,quantile,0.75,7574
DE,2021-07-12,2021-07-17,1 wk ahead inc case,quantile,0.8,7965
DE,2021-07-12,2021-07-17,1 wk ahead inc case,quantile,0.85,8462
DE,2021-07-12,2021-07-17,1 wk ahead inc case,quantile,0.9,9133
DE,2021-07-12,2021-07-17,1 wk ahead inc case,quantile,0.95,10295
DE,2021-07-12,2021-07-17,1 wk ahead inc case,quantile,0.975,11516
DE,2021-07-12,2021-07-17,1 wk ahead inc case,quantile,0.99,13231
DE,2021-07-12,2021-07-17,1 wk ahead inc case,point,NA,6203
DE,2021-07-12,2021-07-24,2 wk ahead inc case,quantile,0.01,1797
