forecast_date,target,target_end_date,location,type,quantile,value,scenario_id
2021-05-23,1 wk ahead inc case,2021-05-29,DE,point,NA,44026,forecast
2021-05-23,1 wk ahead inc case,2021-05-29,DE,quantile,0.01,34226,forecast
2021-05-23,1 wk ahead inc case,2021-05-29,DE,quantile,0.025,36495,forecast
2021-05-23,1 wk ahead inc case,2021-05-29,DE,quantile,0.05,37943,forecast
2021-05-23,1 wk ahead inc case,2021-05-29,DE,quantile,0.1,40024,forecast
2021-05-23,1 wk ahead inc case,2021-05-29,DE,quantile,0.15,41063,forecast
2021-05-23,1 wk ahead inc case,2021-05-29,DE,quantile,0.2,41888,forecast
2021-05-23,1 wk ahead inc case,2021-05-29,DE,quantile,0.25,42759,forecast
2021-05-23,1 wk ahead inc case,2021-05-29,DE,quantile,0.3,43458,forecast
2021-05-23,1 wk ahead inc case,2021-05-29,DE,quantile,0.35,44096,forecast
2021-05-23,1 wk ahead inc case,2021-05-29,DE,quantile,0.4,44882,forecast
2021-05-23,1 wk ahead inc case,2021-05-29,DE,quantile,0.45,45700,forecast
2021-05-23,1 wk ahead inc case,2021-05-29,DE,quantile,0.5,46475,forecast
2021-05-23,1 wk ahead inc case,2021-05-29,DE,quantile,0.55,47343,forecast
2021-05-23,1 wk ahead inc case,2021-05-29,DE,quantile,0.6,48124,forecast
2021-05-23,1 wk ahead inc case,2021-05-29,DE,quantile,0.65,48931,forecast
2021-05-23,1 wk ahead inc case,2021-05-29,DE,quantile,0.7,49658,forecast
2021-05-23,1 wk ahead inc case,2021-05-29,DE,quantile,0.75,50504,forecast
2021-05-23,1 wk ahead inc case,2021-05-29,DE,quantile,0.8,51850,forecast
2021-05-23,1 wk ahead inc case,2021-05-29,DE,quantile,0.85,53045,forecast
2021-05-23,1 wk ahead inc case,2021-05-29,DE,quantile,0.9,54970,forecast
2021-05-23,1 wk ahead inc case,2021-05-29,DE,quantile,0.95,57861,forecast
2021-05-23,1 wk ahead inc case,2021-05-29,DE,quantile,0.975,59929,forecast
2021-05-23,1 wk ahead inc case,2021-05-29,DE,quantile,0.99,62186,forecast
2021-05-23,2 wk ahead inc case,2021-06-05,DE,point,NA,31016,forecast
2021-05-23,2 wk ahead inc case,2021-06-05,DE,quantile,0.01,23059,forecast
2021-05-23,2 wk ahead inc case,2021-06-05,DE,quantile,0.025,24282,forecast
2021-05-23,2 wk ahead inc case,2021-06-05,DE,quantile,0.05,25357,forecast
2021-05-23,2 wk ahead inc case,2021-06-05,DE,quantile,0.1,27240,forecast
2021-05-23,2 wk ahead inc case,2021-06-05,DE,quantile,0.15,28245,forecast
2021-05-23,2 wk ahead inc case,2021-06-05,DE,quantile,0.2,29230,forecast
2021-05-23,2 wk ahead inc case,2021-06-05,DE,quantile,0.25,29798,forecast
2021-05-23,2 wk ahead inc case,2021-06-05,DE,quantile,0.3,30411,forecast
2021-05-23,2 wk ahead inc case,2021-06-05,DE,quantile,0.35,31125,forecast
2021-05-23,2 wk ahead inc case,2021-06-05,DE,quantile,0.4,31920,forecast
