"forecast_date","target","target_end_date","location","type","quantile","value","scenario_id"
"2021-06-27","1 wk ahead inc case","2021-07-03","DE","point",NA,3643.4,"forecast"
"2021-06-27","1 wk ahead inc case","2021-07-03","DE","quantile",0.01,2240.7,"forecast"
"2021-06-27","1 wk ahead inc case","2021-07-03","DE","quantile",0.025,2539.9,"forecast"
"2021-06-27","1 wk ahead inc case","2021-07-03","DE","quantile",0.05,2782.2,"forecast"
"2021-06-27","1 wk ahead inc case","2021-07-03","DE","quantile",0.1,3082.1,"forecast"
"2021-06-27","1 wk ahead inc case","2021-07-03","DE","quantile",0.15,3317.3,"forecast"
"2021-06-27","1 wk ahead inc case","2021-07-03","DE","quantile",0.2,3533.5,"forecast"
"2021-06-27","1 wk ahead inc case","2021-07-03","DE","quantile",0.25,3712.2,"forecast"
"2021-06-27","1 wk ahead inc case","2021-07-03","DE","quantile",0.3,3884.3,"forecast"
"2021-06-27","1 wk ahead inc case","2021-07-03","DE","quantile",0.35,4017.7,"forecast"
"2021-06-27","1 wk ahead inc case","2021-07-03","DE","quantile",0.4,4179,"forecast"
"2021-06-27","1 wk ahead inc case","2021-07-03","DE","quantile",0.45,4310.1,"forecast"
"2021-06-27","1 wk ahead inc case","2021-07-03","DE","quantile",0.5,4482.5,"forecast"
"2021-06-27","1 wk ahead inc case","2021-07-03","DE","quantile",0.55,4704.4,"forecast"
"2021-06-27","1 wk ahead inc case","2021-07-03","DE","quantile",0.6,4848.3,"forecast"
"2021-06-27","1 wk ahead inc case","2021-07-03","DE","quantile",0.65,5016.3,"forecast"
"2021-06-27","1 wk ahead inc case","2021-07-03","DE","quantile",0.7,5246.2,"forecast"
"2021-06-27","1 wk ahead inc case","2021-07-03","DE","quantile",0.75,5456.4,"forecast"
"2021-06-27","1 wk ahead inc case","2021-07-03","DE","quantile",0.8,5799.7,"forecast"
"2021-06-27","1 wk ahead inc case","2021-07-03","DE","quantile",0.85,6214.5,"forecast"
"2021-06-27","1 wk ahead inc case","2021-07-03","DE","quantile",0.9,7010.8,"forecast"
"2021-06-27","1 wk ahead inc case","2021-07-03","DE","quantile",0.95,8087,"forecast"
"2021-06-27","1 wk ahead inc case","2021-07-03","DE","quantile",0.975,8886,"forecast"
"2021-06-27","1 wk ahead inc case","2021-07-03","DE","quantile",0.99,10924.7,"forecast"
"2021-06-27","2 wk ahead inc case","2021-07-10","DE","point",NA,2429.1,"forecast"
