forecast_date,target,target_end_date,location,type,quantile,value
2021-11-07,1 wk ahead inc case,2021-11-13,AT,point,NA,69994
2021-11-07,1 wk ahead inc case,2021-11-13,AT,quantile,0.01,47017
2021-11-07,1 wk ahead inc case,2021-11-13,AT,quantile,0.025,48890
2021-11-07,1 wk ahead inc case,2021-11-13,AT,quantile,0.05,51918
2021-11-07,1 wk ahead inc case,2021-11-13,AT,quantile,0.1,55624
2021-11-07,1 wk ahead inc case,2021-11-13,AT,quantile,0.15,58448
2021-11-07,1 wk ahead inc case,2021-11-13,AT,quantile,0.2,60430
2021-11-07,1 wk ahead inc case,2021-11-13,AT,quantile,0.25,61869
2021-11-07,1 wk ahead inc case,2021-11-13,AT,quantile,0.3,64004
2021-11-07,1 wk ahead inc case,2021-11-13,AT,quantile,0.35,65324
2021-11-07,1 wk ahead inc case,2021-11-13,AT,quantile,0.4,66918
2021-11-07,1 wk ahead inc case,2021-11-13,AT,quantile,0.45,68216
2021-11-07,1 wk ahead inc case,2021-11-13,AT,quantile,0.5,69386
2021-11-07,1 wk ahead inc case,2021-11-13,AT,quantile,0.55,70796
2021-11-07,1 wk ahead inc case,2021-11-13,AT,quantile,0.6,72714
2021-11-07,1 wk ahead inc case,2021-11-13,AT,quantile,0.65,74554
2021-11-07,1 wk ahead inc case,2021-11-13,AT,quantile,0.7,76548
2021-11-07,1 wk ahead inc case,2021-11-13,AT,quantile,0.75,78464
2021-11-07,1 wk ahead inc case,2021-11-13,AT,quantile,0.8,80820
2021-11-07,1 wk ahead inc case,2021-11-13,AT,quantile,0.85,82922
2021-11-07,1 wk ahead inc case,2021-11-13,AT,quantile,0.9,85979
2021-11-07,1 wk ahead inc case,2021-11-13,AT,quantile,0.95,90787
2021-11-07,1 wk ahead inc case,2021-11-13,AT,quantile,0.975,94660
2021-11-07,1 wk ahead inc case,2021-11-13,AT,quantile,0.99,98849
2021-11-07,2 wk ahead inc case,2021-11-20,AT,point,NA,96594
2021-11-07,2 wk ahead inc case,2021-11-20,AT,quantile,0.01,60915
2021-11-07,2 wk ahead inc case,2021-11-20,AT,quantile,0.025,63775
2021-11-07,2 wk ahead inc case,2021-11-20,AT,quantile,0.05,68455
2021-11-07,2 wk ahead inc case,2021-11-20,AT,quantile,0.1,74351
2021-11-07,2 wk ahead inc case,2021-11-20,AT,quantile,0.15,78608
2021-11-07,2 wk ahead inc case,2021-11-20,AT,quantile,0.2,81591
2021-11-07,2 wk ahead inc case,2021-11-20,AT,quantile,0.25,84083
2021-11-07,2 wk ahead inc case,2021-11-20,AT,quantile,0.3,87052
2021-11-07,2 wk ahead inc case,2021-11-20,AT,quantile,0.35,89458
