"","scenario","forecast_date","target","target_end_date","location","type","quantile","value","location_name"
"1","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.01,169,"Belgium"
"2","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.01,157,"Belgium"
"3","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.01,134,"Belgium"
"4","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.01,113,"Belgium"
"5","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.025,206,"Belgium"
"6","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.025,180,"Belgium"
"7","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.025,159,"Belgium"
"8","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.025,133,"Belgium"
"9","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.05,220,"Belgium"
"10","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.05,194,"Belgium"
"11","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.05,172,"Belgium"
"12","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.05,148,"Belgium"
"13","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.1,237,"Belgium"
"14","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.1,210,"Belgium"
"15","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.1,190,"Belgium"
"16","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.1,166,"Belgium"
"17","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.15,247,"Belgium"
"18","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.15,224,"Belgium"
"19","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.15,202,"Belgium"
"20","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.15,180,"Belgium"
"21","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.2,256,"Belgium"
"22","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.2,235,"Belgium"
"23","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.2,213,"Belgium"
"24","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.2,193,"Belgium"
"25","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.25,265,"Belgium"
"26","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.25,245,"Belgium"
"27","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.25,223,"Belgium"
"28","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.25,204,"Belgium"
"29","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.3,274,"Belgium"
"30","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.3,255,"Belgium"
"31","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.3,234,"Belgium"
"32","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.3,217,"Belgium"
"33","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.35,284,"Belgium"
"34","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.35,262,"Belgium"
"35","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.35,244,"Belgium"
"36","forecast",2021-01-06,"4 wk ahead inc death",2021-02-06,"BE","quantile",0.35,229,"Belgium"
"37","forecast",2021-01-06,"1 wk ahead inc death",2021-01-16,"BE","quantile",0.4,294,"Belgium"
"38","forecast",2021-01-06,"2 wk ahead inc death",2021-01-23,"BE","quantile",0.4,271,"Belgium"
"39","forecast",2021-01-06,"3 wk ahead inc death",2021-01-30,"BE","quantile",0.4,255,"Belgium"
