forecast_date,target,target_end_date,location,type,quantile,value,location_name
2021-01-13,1 wk ahead inc death,2021-01-23,BE,quantile,0.01,187.99,Belgium
2021-01-13,2 wk ahead inc death,2021-01-30,BE,quantile,0.01,173.99,Belgium
2021-01-13,3 wk ahead inc death,2021-02-06,BE,quantile,0.01,149,Belgium
2021-01-13,4 wk ahead inc death,2021-02-13,BE,quantile,0.01,125.99,Belgium
2021-01-13,1 wk ahead inc death,2021-01-23,BE,quantile,0.025,229,Belgium
2021-01-13,2 wk ahead inc death,2021-01-30,BE,quantile,0.025,199.975,Belgium
2021-01-13,3 wk ahead inc death,2021-02-06,BE,quantile,0.025,177,Belgium
2021-01-13,4 wk ahead inc death,2021-02-13,BE,quantile,0.025,147.975,Belgium
2021-01-13,1 wk ahead inc death,2021-01-23,BE,quantile,0.05,245,Belgium
2021-01-13,2 wk ahead inc death,2021-01-30,BE,quantile,0.05,216,Belgium
2021-01-13,3 wk ahead inc death,2021-02-06,BE,quantile,0.05,191,Belgium
2021-01-13,4 wk ahead inc death,2021-02-13,BE,quantile,0.05,164,Belgium
2021-01-13,1 wk ahead inc death,2021-01-23,BE,quantile,0.1,263,Belgium
2021-01-13,2 wk ahead inc death,2021-01-30,BE,quantile,0.1,233,Belgium
2021-01-13,3 wk ahead inc death,2021-02-06,BE,quantile,0.1,210.9,Belgium
2021-01-13,4 wk ahead inc death,2021-02-13,BE,quantile,0.1,185,Belgium
2021-01-13,1 wk ahead inc death,2021-01-23,BE,quantile,0.15,274,Belgium
2021-01-13,2 wk ahead inc death,2021-01-30,BE,quantile,0.15,249,Belgium
2021-01-13,3 wk ahead inc death,2021-02-06,BE,quantile,0.15,225,Belgium
2021-01-13,4 wk ahead inc death,2021-02-13,BE,quantile,0.15,200,Belgium
2021-01-13,1 wk ahead inc death,2021-01-23,BE,quantile,0.2,284,Belgium
2021-01-13,2 wk ahead inc death,2021-01-30,BE,quantile,0.2,261,Belgium
2021-01-13,3 wk ahead inc death,2021-02-06,BE,quantile,0.2,237,Belgium
2021-01-13,4 wk ahead inc death,2021-02-13,BE,quantile,0.2,214,Belgium
