forecast_date,target,target_end_date,location,type,quantile,value
2021-06-20,1 wk ahead inc case,2021-06-26,AT,point,NA,684
2021-06-20,1 wk ahead inc case,2021-06-26,AT,quantile,0.01,303
2021-06-20,1 wk ahead inc case,2021-06-26,AT,quantile,0.025,350
2021-06-20,1 wk ahead inc case,2021-06-26,AT,quantile,0.05,398
2021-06-20,1 wk ahead inc case,2021-06-26,AT,quantile,0.1,448
2021-06-20,1 wk ahead inc case,2021-06-26,AT,quantile,0.15,491
2021-06-20,1 wk ahead inc case,2021-06-26,AT,quantile,0.2,522
2021-06-20,1 wk ahead inc case,2021-06-26,AT,quantile,0.25,554
2021-06-20,1 wk ahead inc case,2021-06-26,AT,quantile,0.3,581
2021-06-20,1 wk ahead inc case,2021-06-26,AT,quantile,0.35,608
2021-06-20,1 wk ahead inc case,2021-06-26,AT,quantile,0.4,633
2021-06-20,1 wk ahead inc case,2021-06-26,AT,quantile,0.45,656
2021-06-20,1 wk ahead inc case,2021-06-26,AT,quantile,0.5,684
2021-06-20,1 wk ahead inc case,2021-06-26,AT,quantile,0.55,712
2021-06-20,1 wk ahead inc case,2021-06-26,AT,quantile,0.6,741
2021-06-20,1 wk ahead inc case,2021-06-26,AT,quantile,0.65,772
2021-06-20,1 wk ahead inc case,2021-06-26,AT,quantile,0.7,808
2021-06-20,1 wk ahead inc case,2021-06-26,AT,quantile,0.75,849
2021-06-20,1 wk ahead inc case,2021-06-26,AT,quantile,0.8,893
2021-06-20,1 wk ahead inc case,2021-06-26,AT,quantile,0.85,950
2021-06-20,1 wk ahead inc case,2021-06-26,AT,quantile,0.9,1018
2021-06-20,1 wk ahead inc case,2021-06-26,AT,quantile,0.95,1136
2021-06-20,1 wk ahead inc case,2021-06-26,AT,quantile,0.975,1249
2021-06-20,1 wk ahead inc case,2021-06-26,AT,quantile,0.99,1389
2021-06-20,1 wk ahead inc case,2021-06-26,BE,point,NA,1359
2021-06-20,1 wk ahead inc case,2021-06-26,BE,quantile,0.01,379
2021-06-20,1 wk ahead inc case,2021-06-26,BE,quantile,0.025,415
2021-06-20,1 wk ahead inc case,2021-06-26,BE,quantile,0.05,477
2021-06-20,1 wk ahead inc case,2021-06-26,BE,quantile,0.1,569
2021-06-20,1 wk ahead inc case,2021-06-26,BE,quantile,0.15,657
2021-06-20,1 wk ahead inc case,2021-06-26,BE,quantile,0.2,755
2021-06-20,1 wk ahead inc case,2021-06-26,BE,quantile,0.25,842
2021-06-20,1 wk ahead inc case,2021-06-26,BE,quantile,0.3,923
2021-06-20,1 wk ahead inc case,2021-06-26,BE,quantile,0.35,1024
2021-06-20,1 wk ahead inc case,2021-06-26,BE,quantile,0.4,1128
2021-06-20,1 wk ahead inc case,2021-06-26,BE,quantile,0.45,1249
2021-06-20,1 wk ahead inc case,2021-06-26,BE,quantile,0.5,1359
2021-06-20,1 wk ahead inc case,2021-06-26,BE,quantile,0.55,1491
2021-06-20,1 wk ahead inc case,2021-06-26,BE,quantile,0.6,1636
2021-06-20,1 wk ahead inc case,2021-06-26,BE,quantile,0.65,1788
2021-06-20,1 wk ahead inc case,2021-06-26,BE,quantile,0.7,1952
2021-06-20,1 wk ahead inc case,2021-06-26,BE,quantile,0.75,2198
2021-06-20,1 wk ahead inc case,2021-06-26,BE,quantile,0.8,2430
2021-06-20,1 wk ahead inc case,2021-06-26,BE,quantile,0.85,2756
2021-06-20,1 wk ahead inc case,2021-06-26,BE,quantile,0.9,3193
2021-06-20,1 wk ahead inc case,2021-06-26,BE,quantile,0.95,3896
2021-06-20,1 wk ahead inc case,2021-06-26,BE,quantile,0.975,4560
2021-06-20,1 wk ahead inc case,2021-06-26,BE,quantile,0.99,5554
2021-06-20,1 wk ahead inc case,2021-06-26,BG,point,NA,356
2021-06-20,1 wk ahead inc case,2021-06-26,BG,quantile,0.01,38
2021-06-20,1 wk ahead inc case,2021-06-26,BG,quantile,0.025,54
2021-06-20,1 wk ahead inc case,2021-06-26,BG,quantile,0.05,74
2021-06-20,1 wk ahead inc case,2021-06-26,BG,quantile,0.1,105
2021-06-20,1 wk ahead inc case,2021-06-26,BG,quantile,0.15,137
2021-06-20,1 wk ahead inc case,2021-06-26,BG,quantile,0.2,166
2021-06-20,1 wk ahead inc case,2021-06-26,BG,quantile,0.25,197
2021-06-20,1 wk ahead inc case,2021-06-26,BG,quantile,0.3,226
2021-06-20,1 wk ahead inc case,2021-06-26,BG,quantile,0.35,257
2021-06-20,1 wk ahead inc case,2021-06-26,BG,quantile,0.4,288
2021-06-20,1 wk ahead inc case,2021-06-26,BG,quantile,0.45,321
2021-06-20,1 wk ahead inc case,2021-06-26,BG,quantile,0.5,356
2021-06-20,1 wk ahead inc case,2021-06-26,BG,quantile,0.55,392
2021-06-20,1 wk ahead inc case,2021-06-26,BG,quantile,0.6,437
2021-06-20,1 wk ahead inc case,2021-06-26,BG,quantile,0.65,482
2021-06-20,1 wk ahead inc case,2021-06-26,BG,quantile,0.7,539
2021-06-20,1 wk ahead inc case,2021-06-26,BG,quantile,0.75,606
2021-06-20,1 wk ahead inc case,2021-06-26,BG,quantile,0.8,684
2021-06-20,1 wk ahead inc case,2021-06-26,BG,quantile,0.85,788
2021-06-20,1 wk ahead inc case,2021-06-26,BG,quantile,0.9,927
2021-06-20,1 wk ahead inc case,2021-06-26,BG,quantile,0.95,1140
2021-06-20,1 wk ahead inc case,2021-06-26,BG,quantile,0.975,1382
2021-06-20,1 wk ahead inc case,2021-06-26,BG,quantile,0.99,1645
2021-06-20,1 wk ahead inc case,2021-06-26,CH,point,NA,708
2021-06-20,1 wk ahead inc case,2021-06-26,CH,quantile,0.01,13
2021-06-20,1 wk ahead inc case,2021-06-26,CH,quantile,0.025,30
2021-06-20,1 wk ahead inc case,2021-06-26,CH,quantile,0.05,55
2021-06-20,1 wk ahead inc case,2021-06-26,CH,quantile,0.1,112
2021-06-20,1 wk ahead inc case,2021-06-26,CH,quantile,0.15,167
2021-06-20,1 wk ahead inc case,2021-06-26,CH,quantile,0.2,227
2021-06-20,1 wk ahead inc case,2021-06-26,CH,quantile,0.25,291
2021-06-20,1 wk ahead inc case,2021-06-26,CH,quantile,0.3,363
2021-06-20,1 wk ahead inc case,2021-06-26,CH,quantile,0.35,439
2021-06-20,1 wk ahead inc case,2021-06-26,CH,quantile,0.4,527
2021-06-20,1 wk ahead inc case,2021-06-26,CH,quantile,0.45,615
2021-06-20,1 wk ahead inc case,2021-06-26,CH,quantile,0.5,708
2021-06-20,1 wk ahead inc case,2021-06-26,CH,quantile,0.55,820
2021-06-20,1 wk ahead inc case,2021-06-26,CH,quantile,0.6,939
2021-06-20,1 wk ahead inc case,2021-06-26,CH,quantile,0.65,1098
2021-06-20,1 wk ahead inc case,2021-06-26,CH,quantile,0.7,1268
2021-06-20,1 wk ahead inc case,2021-06-26,CH,quantile,0.75,1487
2021-06-20,1 wk ahead inc case,2021-06-26,CH,quantile,0.8,1682
2021-06-20,1 wk ahead inc case,2021-06-26,CH,quantile,0.85,1987
