scenario_id,forecast_date,target,target_end_date,location,type,quantile,value
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,AT,point,NA,2739
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,AT,quantile,0.01,1854
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,AT,quantile,0.025,1982
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,AT,quantile,0.05,2084
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,AT,quantile,0.1,2215
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,AT,quantile,0.15,2316
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,AT,quantile,0.2,2396
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,AT,quantile,0.25,2458
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,AT,quantile,0.3,2519
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,AT,quantile,0.35,2582
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,AT,quantile,0.4,2630
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,AT,quantile,0.45,2682
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,AT,quantile,0.5,2739
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,AT,quantile,0.55,2789
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,AT,quantile,0.6,2844
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,AT,quantile,0.65,2898
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,AT,quantile,0.7,2966
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,AT,quantile,0.75,3034
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,AT,quantile,0.8,3118
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,AT,quantile,0.85,3213
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,AT,quantile,0.9,3337
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,AT,quantile,0.95,3518
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,AT,quantile,0.975,3666
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,AT,quantile,0.99,3848
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,BE,point,NA,9830
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,BE,quantile,0.01,2215
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,BE,quantile,0.025,2985
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,BE,quantile,0.05,3655
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,BE,quantile,0.1,4664
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,BE,quantile,0.15,5447
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,BE,quantile,0.2,6149
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,BE,quantile,0.25,6806
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,BE,quantile,0.3,7426
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,BE,quantile,0.35,8010
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,BE,quantile,0.4,8629
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,BE,quantile,0.45,9232
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,BE,quantile,0.5,9830
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,BE,quantile,0.55,10439
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,BE,quantile,0.6,11097
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,BE,quantile,0.65,11778
forecast,2021-07-25,1 wk ahead inc case,2021-07-31,BE,quantile,0.7,12578
