forecast_date,target,target_end_date,location,type,quantile,value
2021-03-29,1 wk ahead inc death,2021-04-03,DE,point,NA,1334
2021-03-29,2 wk ahead inc death,2021-04-10,DE,point,NA,1958
2021-03-29,3 wk ahead inc death,2021-04-17,DE,point,NA,2998
2021-03-29,4 wk ahead inc death,2021-04-24,DE,point,NA,4310
2021-03-29,1 wk ahead inc death,2021-04-03,DE,quantile,0.01,805
2021-03-29,1 wk ahead inc death,2021-04-03,DE,quantile,0.025,859
2021-03-29,1 wk ahead inc death,2021-04-03,DE,quantile,0.05,910
2021-03-29,1 wk ahead inc death,2021-04-03,DE,quantile,0.1,974
2021-03-29,1 wk ahead inc death,2021-04-03,DE,quantile,0.15,1022
2021-03-29,1 wk ahead inc death,2021-04-03,DE,quantile,0.2,1065
2021-03-29,1 wk ahead inc death,2021-04-03,DE,quantile,0.25,1105
2021-03-29,1 wk ahead inc death,2021-04-03,DE,quantile,0.3,1145
2021-03-29,1 wk ahead inc death,2021-04-03,DE,quantile,0.35,1186
2021-03-29,1 wk ahead inc death,2021-04-03,DE,quantile,0.4,1231
2021-03-29,1 wk ahead inc death,2021-04-03,DE,quantile,0.45,1280
2021-03-29,1 wk ahead inc death,2021-04-03,DE,quantile,0.55,1395
2021-03-29,1 wk ahead inc death,2021-04-03,DE,quantile,0.6,1461
2021-03-29,1 wk ahead inc death,2021-04-03,DE,quantile,0.65,1536
2021-03-29,1 wk ahead inc death,2021-04-03,DE,quantile,0.7,1625
2021-03-29,1 wk ahead inc death,2021-04-03,DE,quantile,0.75,1737
2021-03-29,1 wk ahead inc death,2021-04-03,DE,quantile,0.8,1894
2021-03-29,1 wk ahead inc death,2021-04-03,DE,quantile,0.85,2136
2021-03-29,1 wk ahead inc death,2021-04-03,DE,quantile,0.9,2427
2021-03-29,1 wk ahead inc death,2021-04-03,DE,quantile,0.95,2835
2021-03-29,1 wk ahead inc death,2021-04-03,DE,quantile,0.975,3490
2021-03-29,1 wk ahead inc death,2021-04-03,DE,quantile,0.99,3997
2021-03-29,1 wk ahead inc death,2021-04-03,DE,quantile,0.5,1334
2021-03-29,2 wk ahead inc death,2021-04-10,DE,quantile,0.01,451
2021-03-29,2 wk ahead inc death,2021-04-10,DE,quantile,0.025,586
2021-03-29,2 wk ahead inc death,2021-04-10,DE,quantile,0.05,703
2021-03-29,2 wk ahead inc death,2021-04-10,DE,quantile,0.1,851
2021-03-29,2 wk ahead inc death,2021-04-10,DE,quantile,0.15,970
2021-03-29,2 wk ahead inc death,2021-04-10,DE,quantile,0.2,1093
2021-03-29,2 wk ahead inc death,2021-04-10,DE,quantile,0.25,1218
2021-03-29,2 wk ahead inc death,2021-04-10,DE,quantile,0.3,1341
2021-03-29,2 wk ahead inc death,2021-04-10,DE,quantile,0.35,1467
2021-03-29,2 wk ahead inc death,2021-04-10,DE,quantile,0.4,1615
2021-03-29,2 wk ahead inc death,2021-04-10,DE,quantile,0.45,1787
2021-03-29,2 wk ahead inc death,2021-04-10,DE,quantile,0.55,2128
2021-03-29,2 wk ahead inc death,2021-04-10,DE,quantile,0.6,2322
2021-03-29,2 wk ahead inc death,2021-04-10,DE,quantile,0.65,2582
2021-03-29,2 wk ahead inc death,2021-04-10,DE,quantile,0.7,2926
2021-03-29,2 wk ahead inc death,2021-04-10,DE,quantile,0.75,3284
2021-03-29,2 wk ahead inc death,2021-04-10,DE,quantile,0.8,3791
2021-03-29,2 wk ahead inc death,2021-04-10,DE,quantile,0.85,4538
2021-03-29,2 wk ahead inc death,2021-04-10,DE,quantile,0.9,5736
2021-03-29,2 wk ahead inc death,2021-04-10,DE,quantile,0.95,7673
2021-03-29,2 wk ahead inc death,2021-04-10,DE,quantile,0.975,9385
2021-03-29,2 wk ahead inc death,2021-04-10,DE,quantile,0.99,10810
2021-03-29,2 wk ahead inc death,2021-04-10,DE,quantile,0.5,1958
2021-03-29,3 wk ahead inc death,2021-04-17,DE,quantile,0.01,476
2021-03-29,3 wk ahead inc death,2021-04-17,DE,quantile,0.025,650
2021-03-29,3 wk ahead inc death,2021-04-17,DE,quantile,0.05,844
2021-03-29,3 wk ahead inc death,2021-04-17,DE,quantile,0.1,1057
2021-03-29,3 wk ahead inc death,2021-04-17,DE,quantile,0.15,1239
2021-03-29,3 wk ahead inc death,2021-04-17,DE,quantile,0.2,1455
2021-03-29,3 wk ahead inc death,2021-04-17,DE,quantile,0.25,1693
2021-03-29,3 wk ahead inc death,2021-04-17,DE,quantile,0.3,1917
2021-03-29,3 wk ahead inc death,2021-04-17,DE,quantile,0.35,2138
2021-03-29,3 wk ahead inc death,2021-04-17,DE,quantile,0.4,2380
2021-03-29,3 wk ahead inc death,2021-04-17,DE,quantile,0.45,2682
2021-03-29,3 wk ahead inc death,2021-04-17,DE,quantile,0.55,3315
2021-03-29,3 wk ahead inc death,2021-04-17,DE,quantile,0.6,3642
2021-03-29,3 wk ahead inc death,2021-04-17,DE,quantile,0.65,4069
2021-03-29,3 wk ahead inc death,2021-04-17,DE,quantile,0.7,4639
2021-03-29,3 wk ahead inc death,2021-04-17,DE,quantile,0.75,5308
2021-03-29,3 wk ahead inc death,2021-04-17,DE,quantile,0.8,6195
2021-03-29,3 wk ahead inc death,2021-04-17,DE,quantile,0.85,7607
2021-03-29,3 wk ahead inc death,2021-04-17,DE,quantile,0.9,10392
2021-03-29,3 wk ahead inc death,2021-04-17,DE,quantile,0.95,15333
2021-03-29,3 wk ahead inc death,2021-04-17,DE,quantile,0.975,18946
2021-03-29,3 wk ahead inc death,2021-04-17,DE,quantile,0.99,21891
2021-03-29,3 wk ahead inc death,2021-04-17,DE,quantile,0.5,2998
2021-03-29,4 wk ahead inc death,2021-04-24,DE,quantile,0.01,452
2021-03-29,4 wk ahead inc death,2021-04-24,DE,quantile,0.025,739
2021-03-29,4 wk ahead inc death,2021-04-24,DE,quantile,0.05,1064
2021-03-29,4 wk ahead inc death,2021-04-24,DE,quantile,0.1,1328
2021-03-29,4 wk ahead inc death,2021-04-24,DE,quantile,0.15,1565
2021-03-29,4 wk ahead inc death,2021-04-24,DE,quantile,0.2,1928
2021-03-29,4 wk ahead inc death,2021-04-24,DE,quantile,0.25,2355
2021-03-29,4 wk ahead inc death,2021-04-24,DE,quantile,0.3,2717
2021-03-29,4 wk ahead inc death,2021-04-24,DE,quantile,0.35,3104
2021-03-29,4 wk ahead inc death,2021-04-24,DE,quantile,0.4,3525
2021-03-29,4 wk ahead inc death,2021-04-24,DE,quantile,0.45,3897
2021-03-29,4 wk ahead inc death,2021-04-24,DE,quantile,0.55,4904
2021-03-29,4 wk ahead inc death,2021-04-24,DE,quantile,0.6,5590
2021-03-29,4 wk ahead inc death,2021-04-24,DE,quantile,0.65,6513
2021-03-29,4 wk ahead inc death,2021-04-24,DE,quantile,0.7,7423
2021-03-29,4 wk ahead inc death,2021-04-24,DE,quantile,0.75,8472
2021-03-29,4 wk ahead inc death,2021-04-24,DE,quantile,0.8,10463
2021-03-29,4 wk ahead inc death,2021-04-24,DE,quantile,0.85,12968
