forecast_date,target,target_end_date,location,type,quantile,value,scenario_id
2021-04-05,1 wk ahead inc death,2021-04-10,DE,point,NA,1067,forecast
2021-04-05,2 wk ahead inc death,2021-04-17,DE,point,NA,1025,forecast
2021-04-05,3 wk ahead inc death,2021-04-24,DE,point,NA,1066,forecast
2021-04-05,4 wk ahead inc death,2021-05-01,DE,point,NA,1118,forecast
2021-04-05,1 wk ahead inc death,2021-04-10,DE,quantile,0.01,671,forecast
2021-04-05,1 wk ahead inc death,2021-04-10,DE,quantile,0.025,715,forecast
2021-04-05,1 wk ahead inc death,2021-04-10,DE,quantile,0.05,757,forecast
2021-04-05,1 wk ahead inc death,2021-04-10,DE,quantile,0.1,811,forecast
2021-04-05,1 wk ahead inc death,2021-04-10,DE,quantile,0.15,851,forecast
2021-04-05,1 wk ahead inc death,2021-04-10,DE,quantile,0.2,886,forecast
2021-04-05,1 wk ahead inc death,2021-04-10,DE,quantile,0.25,917,forecast
2021-04-05,1 wk ahead inc death,2021-04-10,DE,quantile,0.3,946,forecast
2021-04-05,1 wk ahead inc death,2021-04-10,DE,quantile,0.35,975,forecast
2021-04-05,1 wk ahead inc death,2021-04-10,DE,quantile,0.4,1005,forecast
2021-04-05,1 wk ahead inc death,2021-04-10,DE,quantile,0.45,1035,forecast
2021-04-05,1 wk ahead inc death,2021-04-10,DE,quantile,0.55,1102,forecast
2021-04-05,1 wk ahead inc death,2021-04-10,DE,quantile,0.6,1140,forecast
2021-04-05,1 wk ahead inc death,2021-04-10,DE,quantile,0.65,1183,forecast
2021-04-05,1 wk ahead inc death,2021-04-10,DE,quantile,0.7,1234,forecast
2021-04-05,1 wk ahead inc death,2021-04-10,DE,quantile,0.75,1298,forecast
2021-04-05,1 wk ahead inc death,2021-04-10,DE,quantile,0.8,1379,forecast
2021-04-05,1 wk ahead inc death,2021-04-10,DE,quantile,0.85,1486,forecast
2021-04-05,1 wk ahead inc death,2021-04-10,DE,quantile,0.9,1635,forecast
2021-04-05,1 wk ahead inc death,2021-04-10,DE,quantile,0.95,1914,forecast
2021-04-05,1 wk ahead inc death,2021-04-10,DE,quantile,0.975,2156,forecast
2021-04-05,1 wk ahead inc death,2021-04-10,DE,quantile,0.99,2436,forecast
2021-04-05,1 wk ahead inc death,2021-04-10,DE,quantile,0.5,1067,forecast
2021-04-05,2 wk ahead inc death,2021-04-17,DE,quantile,0.01,220,forecast
2021-04-05,2 wk ahead inc death,2021-04-17,DE,quantile,0.025,279,forecast
2021-04-05,2 wk ahead inc death,2021-04-17,DE,quantile,0.05,350,forecast
2021-04-05,2 wk ahead inc death,2021-04-17,DE,quantile,0.1,465,forecast
2021-04-05,2 wk ahead inc death,2021-04-17,DE,quantile,0.15,550,forecast
2021-04-05,2 wk ahead inc death,2021-04-17,DE,quantile,0.2,622,forecast
2021-04-05,2 wk ahead inc death,2021-04-17,DE,quantile,0.25,688,forecast
2021-04-05,2 wk ahead inc death,2021-04-17,DE,quantile,0.3,751,forecast
2021-04-05,2 wk ahead inc death,2021-04-17,DE,quantile,0.35,814,forecast
2021-04-05,2 wk ahead inc death,2021-04-17,DE,quantile,0.4,880,forecast
2021-04-05,2 wk ahead inc death,2021-04-17,DE,quantile,0.45,949,forecast
2021-04-05,2 wk ahead inc death,2021-04-17,DE,quantile,0.55,1109,forecast
2021-04-05,2 wk ahead inc death,2021-04-17,DE,quantile,0.6,1208,forecast
2021-04-05,2 wk ahead inc death,2021-04-17,DE,quantile,0.65,1325,forecast
2021-04-05,2 wk ahead inc death,2021-04-17,DE,quantile,0.7,1464,forecast
2021-04-05,2 wk ahead inc death,2021-04-17,DE,quantile,0.75,1633,forecast
2021-04-05,2 wk ahead inc death,2021-04-17,DE,quantile,0.8,1847,forecast
2021-04-05,2 wk ahead inc death,2021-04-17,DE,quantile,0.85,2131,forecast
2021-04-05,2 wk ahead inc death,2021-04-17,DE,quantile,0.9,2575,forecast
2021-04-05,2 wk ahead inc death,2021-04-17,DE,quantile,0.95,3265,forecast
2021-04-05,2 wk ahead inc death,2021-04-17,DE,quantile,0.975,3887,forecast
2021-04-05,2 wk ahead inc death,2021-04-17,DE,quantile,0.99,4897,forecast
2021-04-05,2 wk ahead inc death,2021-04-17,DE,quantile,0.5,1025,forecast
2021-04-05,3 wk ahead inc death,2021-04-24,DE,quantile,0.01,144,forecast
2021-04-05,3 wk ahead inc death,2021-04-24,DE,quantile,0.025,204,forecast
2021-04-05,3 wk ahead inc death,2021-04-24,DE,quantile,0.05,285,forecast
2021-04-05,3 wk ahead inc death,2021-04-24,DE,quantile,0.1,407,forecast
2021-04-05,3 wk ahead inc death,2021-04-24,DE,quantile,0.15,498,forecast
2021-04-05,3 wk ahead inc death,2021-04-24,DE,quantile,0.2,575,forecast
2021-04-05,3 wk ahead inc death,2021-04-24,DE,quantile,0.25,649,forecast
2021-04-05,3 wk ahead inc death,2021-04-24,DE,quantile,0.3,721,forecast
2021-04-05,3 wk ahead inc death,2021-04-24,DE,quantile,0.35,796,forecast
2021-04-05,3 wk ahead inc death,2021-04-24,DE,quantile,0.4,877,forecast
2021-04-05,3 wk ahead inc death,2021-04-24,DE,quantile,0.45,966,forecast
2021-04-05,3 wk ahead inc death,2021-04-24,DE,quantile,0.55,1191,forecast
2021-04-05,3 wk ahead inc death,2021-04-24,DE,quantile,0.6,1358,forecast
2021-04-05,3 wk ahead inc death,2021-04-24,DE,quantile,0.65,1563,forecast
2021-04-05,3 wk ahead inc death,2021-04-24,DE,quantile,0.7,1777,forecast
2021-04-05,3 wk ahead inc death,2021-04-24,DE,quantile,0.75,2021,forecast
2021-04-05,3 wk ahead inc death,2021-04-24,DE,quantile,0.8,2297,forecast
2021-04-05,3 wk ahead inc death,2021-04-24,DE,quantile,0.85,2657,forecast
2021-04-05,3 wk ahead inc death,2021-04-24,DE,quantile,0.9,3264,forecast
2021-04-05,3 wk ahead inc death,2021-04-24,DE,quantile,0.95,4041,forecast
2021-04-05,3 wk ahead inc death,2021-04-24,DE,quantile,0.975,4990,forecast
2021-04-05,3 wk ahead inc death,2021-04-24,DE,quantile,0.99,6535,forecast
2021-04-05,3 wk ahead inc death,2021-04-24,DE,quantile,0.5,1066,forecast
2021-04-05,4 wk ahead inc death,2021-05-01,DE,quantile,0.01,115,forecast
2021-04-05,4 wk ahead inc death,2021-05-01,DE,quantile,0.025,169,forecast
2021-04-05,4 wk ahead inc death,2021-05-01,DE,quantile,0.05,239,forecast
2021-04-05,4 wk ahead inc death,2021-05-01,DE,quantile,0.1,352,forecast
2021-04-05,4 wk ahead inc death,2021-05-01,DE,quantile,0.15,445,forecast
2021-04-05,4 wk ahead inc death,2021-05-01,DE,quantile,0.2,532,forecast
2021-04-05,4 wk ahead inc death,2021-05-01,DE,quantile,0.25,617,forecast
2021-04-05,4 wk ahead inc death,2021-05-01,DE,quantile,0.3,701,forecast
2021-04-05,4 wk ahead inc death,2021-05-01,DE,quantile,0.35,787,forecast
2021-04-05,4 wk ahead inc death,2021-05-01,DE,quantile,0.4,883,forecast
2021-04-05,4 wk ahead inc death,2021-05-01,DE,quantile,0.45,991,forecast
2021-04-05,4 wk ahead inc death,2021-05-01,DE,quantile,0.55,1285,forecast
2021-04-05,4 wk ahead inc death,2021-05-01,DE,quantile,0.6,1537,forecast
2021-04-05,4 wk ahead inc death,2021-05-01,DE,quantile,0.65,1835,forecast
2021-04-05,4 wk ahead inc death,2021-05-01,DE,quantile,0.7,2130,forecast
2021-04-05,4 wk ahead inc death,2021-05-01,DE,quantile,0.75,2516,forecast
2021-04-05,4 wk ahead inc death,2021-05-01,DE,quantile,0.8,2992,forecast
2021-04-05,4 wk ahead inc death,2021-05-01,DE,quantile,0.85,3540,forecast
2021-04-05,4 wk ahead inc death,2021-05-01,DE,quantile,0.9,4458,forecast
2021-04-05,4 wk ahead inc death,2021-05-01,DE,quantile,0.95,5926,forecast
2021-04-05,4 wk ahead inc death,2021-05-01,DE,quantile,0.975,7186,forecast
2021-04-05,4 wk ahead inc death,2021-05-01,DE,quantile,0.99,8567,forecast
2021-04-05,4 wk ahead inc death,2021-05-01,DE,quantile,0.5,1118,forecast
2021-04-05,1 wk ahead inc case,2021-04-10,DE,point,NA,112506,forecast
2021-04-05,2 wk ahead inc case,2021-04-17,DE,point,NA,115955,forecast
2021-04-05,3 wk ahead inc case,2021-04-24,DE,point,NA,121267,forecast
2021-04-05,4 wk ahead inc case,2021-05-01,DE,point,NA,127749,forecast
2021-04-05,1 wk ahead inc case,2021-04-10,DE,quantile,0.01,103506,forecast
2021-04-05,1 wk ahead inc case,2021-04-10,DE,quantile,0.025,104843,forecast
2021-04-05,1 wk ahead inc case,2021-04-10,DE,quantile,0.05,106008,forecast
2021-04-05,1 wk ahead inc case,2021-04-10,DE,quantile,0.1,107378,forecast
2021-04-05,1 wk ahead inc case,2021-04-10,DE,quantile,0.15,108320,forecast
2021-04-05,1 wk ahead inc case,2021-04-10,DE,quantile,0.2,109078,forecast
2021-04-05,1 wk ahead inc case,2021-04-10,DE,quantile,0.25,109739,forecast
2021-04-05,1 wk ahead inc case,2021-04-10,DE,quantile,0.3,110337,forecast
2021-04-05,1 wk ahead inc case,2021-04-10,DE,quantile,0.35,110898,forecast
2021-04-05,1 wk ahead inc case,2021-04-10,DE,quantile,0.4,111442,forecast
2021-04-05,1 wk ahead inc case,2021-04-10,DE,quantile,0.45,111979,forecast
2021-04-05,1 wk ahead inc case,2021-04-10,DE,quantile,0.55,113043,forecast
2021-04-05,1 wk ahead inc case,2021-04-10,DE,quantile,0.6,113591,forecast
2021-04-05,1 wk ahead inc case,2021-04-10,DE,quantile,0.65,114162,forecast
2021-04-05,1 wk ahead inc case,2021-04-10,DE,quantile,0.7,114776,forecast
2021-04-05,1 wk ahead inc case,2021-04-10,DE,quantile,0.75,115452,forecast
2021-04-05,1 wk ahead inc case,2021-04-10,DE,quantile,0.8,116226,forecast
2021-04-05,1 wk ahead inc case,2021-04-10,DE,quantile,0.85,117149,forecast
2021-04-05,1 wk ahead inc case,2021-04-10,DE,quantile,0.9,118315,forecast
2021-04-05,1 wk ahead inc case,2021-04-10,DE,quantile,0.95,120074,forecast
2021-04-05,1 wk ahead inc case,2021-04-10,DE,quantile,0.975,121595,forecast
2021-04-05,1 wk ahead inc case,2021-04-10,DE,quantile,0.99,123351,forecast
2021-04-05,1 wk ahead inc case,2021-04-10,DE,quantile,0.5,112506,forecast
2021-04-05,2 wk ahead inc case,2021-04-17,DE,quantile,0.01,81369,forecast
2021-04-05,2 wk ahead inc case,2021-04-17,DE,quantile,0.025,85397,forecast
2021-04-05,2 wk ahead inc case,2021-04-17,DE,quantile,0.05,89123,forecast
2021-04-05,2 wk ahead inc case,2021-04-17,DE,quantile,0.1,94030,forecast
2021-04-05,2 wk ahead inc case,2021-04-17,DE,quantile,0.15,97299,forecast
2021-04-05,2 wk ahead inc case,2021-04-17,DE,quantile,0.2,100050,forecast
2021-04-05,2 wk ahead inc case,2021-04-17,DE,quantile,0.25,102817,forecast
2021-04-05,2 wk ahead inc case,2021-04-17,DE,quantile,0.3,105644,forecast
2021-04-05,2 wk ahead inc case,2021-04-17,DE,quantile,0.35,108332,forecast
