"forecast_date","target","target_end_date","location","type","quantile","value"
2024-03-11,"0 wk ahead inc case",2024-03-09,"BE","point",NA,454
2024-03-11,"0 wk ahead inc case",2024-03-09,"BE","quantile",0.01,0
2024-03-11,"0 wk ahead inc case",2024-03-09,"BE","quantile",0.025,0
2024-03-11,"0 wk ahead inc case",2024-03-09,"BE","quantile",0.05,0
2024-03-11,"0 wk ahead inc case",2024-03-09,"BE","quantile",0.1,0
2024-03-11,"0 wk ahead inc case",2024-03-09,"BE","quantile",0.15,0
2024-03-11,"0 wk ahead inc case",2024-03-09,"BE","quantile",0.2,0
2024-03-11,"0 wk ahead inc case",2024-03-09,"BE","quantile",0.25,0
2024-03-11,"0 wk ahead inc case",2024-03-09,"BE","quantile",0.3,0
2024-03-11,"0 wk ahead inc case",2024-03-09,"BE","quantile",0.35,0
2024-03-11,"0 wk ahead inc case",2024-03-09,"BE","quantile",0.4,0
2024-03-11,"0 wk ahead inc case",2024-03-09,"BE","quantile",0.45,0
2024-03-11,"0 wk ahead inc case",2024-03-09,"BE","quantile",0.5,569
2024-03-11,"0 wk ahead inc case",2024-03-09,"BE","quantile",0.55,2416
2024-03-11,"0 wk ahead inc case",2024-03-09,"BE","quantile",0.6,4321
2024-03-11,"0 wk ahead inc case",2024-03-09,"BE","quantile",0.65,6318
2024-03-11,"0 wk ahead inc case",2024-03-09,"BE","quantile",0.7,8342
2024-03-11,"0 wk ahead inc case",2024-03-09,"BE","quantile",0.75,10497
2024-03-11,"0 wk ahead inc case",2024-03-09,"BE","quantile",0.8,12922
2024-03-11,"0 wk ahead inc case",2024-03-09,"BE","quantile",0.85,15710
2024-03-11,"0 wk ahead inc case",2024-03-09,"BE","quantile",0.9,19486
2024-03-11,"0 wk ahead inc case",2024-03-09,"BE","quantile",0.95,24972
2024-03-11,"0 wk ahead inc case",2024-03-09,"BE","quantile",0.975,29666
2024-03-11,"0 wk ahead inc case",2024-03-09,"BE","quantile",0.99,34676
2024-03-11,"1 wk ahead inc case",2024-03-16,"BE","point",NA,668
2024-03-11,"1 wk ahead inc case",2024-03-16,"BE","quantile",0.01,0
2024-03-11,"1 wk ahead inc case",2024-03-16,"BE","quantile",0.025,0
2024-03-11,"1 wk ahead inc case",2024-03-16,"BE","quantile",0.05,0
