"forecast_date","target","target_end_date","location","type","quantile","value"
2023-12-18,"0 wk ahead inc case",2023-12-16,"AT","point",NA,825
2023-12-18,"0 wk ahead inc case",2023-12-16,"AT","quantile",0.01,0
2023-12-18,"0 wk ahead inc case",2023-12-16,"AT","quantile",0.025,0
2023-12-18,"0 wk ahead inc case",2023-12-16,"AT","quantile",0.05,0
2023-12-18,"0 wk ahead inc case",2023-12-16,"AT","quantile",0.1,0
2023-12-18,"0 wk ahead inc case",2023-12-16,"AT","quantile",0.15,0
2023-12-18,"0 wk ahead inc case",2023-12-16,"AT","quantile",0.2,0
2023-12-18,"0 wk ahead inc case",2023-12-16,"AT","quantile",0.25,0
2023-12-18,"0 wk ahead inc case",2023-12-16,"AT","quantile",0.3,0
2023-12-18,"0 wk ahead inc case",2023-12-16,"AT","quantile",0.35,0
2023-12-18,"0 wk ahead inc case",2023-12-16,"AT","quantile",0.4,0
2023-12-18,"0 wk ahead inc case",2023-12-16,"AT","quantile",0.45,0
2023-12-18,"0 wk ahead inc case",2023-12-16,"AT","quantile",0.5,693
2023-12-18,"0 wk ahead inc case",2023-12-16,"AT","quantile",0.55,2050
2023-12-18,"0 wk ahead inc case",2023-12-16,"AT","quantile",0.6,3306
2023-12-18,"0 wk ahead inc case",2023-12-16,"AT","quantile",0.65,4649
2023-12-18,"0 wk ahead inc case",2023-12-16,"AT","quantile",0.7,6085
2023-12-18,"0 wk ahead inc case",2023-12-16,"AT","quantile",0.75,7665
2023-12-18,"0 wk ahead inc case",2023-12-16,"AT","quantile",0.8,9364
2023-12-18,"0 wk ahead inc case",2023-12-16,"AT","quantile",0.85,11425
2023-12-18,"0 wk ahead inc case",2023-12-16,"AT","quantile",0.9,14060
2023-12-18,"0 wk ahead inc case",2023-12-16,"AT","quantile",0.95,17894
2023-12-18,"0 wk ahead inc case",2023-12-16,"AT","quantile",0.975,20966
2023-12-18,"0 wk ahead inc case",2023-12-16,"AT","quantile",0.99,24694
2023-12-18,"1 wk ahead inc case",2023-12-23,"AT","point",NA,825
2023-12-18,"1 wk ahead inc case",2023-12-23,"AT","quantile",0.01,0
