forecast_date,target,target_end_date,location,type,quantile,value
2021-06-14,1 wk ahead inc death,2021-06-19,PL,point,NA,281
2021-06-14,1 wk ahead inc death,2021-06-19,PL,quantile,0.01,261
2021-06-14,1 wk ahead inc death,2021-06-19,PL,quantile,0.025,264
2021-06-14,1 wk ahead inc death,2021-06-19,PL,quantile,0.05,266
2021-06-14,1 wk ahead inc death,2021-06-19,PL,quantile,0.1,270
2021-06-14,1 wk ahead inc death,2021-06-19,PL,quantile,0.15,272
2021-06-14,1 wk ahead inc death,2021-06-19,PL,quantile,0.2,274
2021-06-14,1 wk ahead inc death,2021-06-19,PL,quantile,0.25,275
2021-06-14,1 wk ahead inc death,2021-06-19,PL,quantile,0.3,277
2021-06-14,1 wk ahead inc death,2021-06-19,PL,quantile,0.35,278
2021-06-14,1 wk ahead inc death,2021-06-19,PL,quantile,0.4,279
2021-06-14,1 wk ahead inc death,2021-06-19,PL,quantile,0.45,280
2021-06-14,1 wk ahead inc death,2021-06-19,PL,quantile,0.5,281
2021-06-14,1 wk ahead inc death,2021-06-19,PL,quantile,0.55,282
2021-06-14,1 wk ahead inc death,2021-06-19,PL,quantile,0.6,283
2021-06-14,1 wk ahead inc death,2021-06-19,PL,quantile,0.65,285
2021-06-14,1 wk ahead inc death,2021-06-19,PL,quantile,0.7,286
2021-06-14,1 wk ahead inc death,2021-06-19,PL,quantile,0.75,287
2021-06-14,1 wk ahead inc death,2021-06-19,PL,quantile,0.8,289
2021-06-14,1 wk ahead inc death,2021-06-19,PL,quantile,0.85,291
2021-06-14,1 wk ahead inc death,2021-06-19,PL,quantile,0.9,293
2021-06-14,1 wk ahead inc death,2021-06-19,PL,quantile,0.95,296
2021-06-14,1 wk ahead inc death,2021-06-19,PL,quantile,0.975,299
2021-06-14,1 wk ahead inc death,2021-06-19,PL,quantile,0.99,301
2021-06-14,2 wk ahead inc death,2021-06-26,PL,point,NA,175
2021-06-14,2 wk ahead inc death,2021-06-26,PL,quantile,0.01,157
2021-06-14,2 wk ahead inc death,2021-06-26,PL,quantile,0.025,160
2021-06-14,2 wk ahead inc death,2021-06-26,PL,quantile,0.05,162
2021-06-14,2 wk ahead inc death,2021-06-26,PL,quantile,0.1,165
2021-06-14,2 wk ahead inc death,2021-06-26,PL,quantile,0.15,167
2021-06-14,2 wk ahead inc death,2021-06-26,PL,quantile,0.2,169
2021-06-14,2 wk ahead inc death,2021-06-26,PL,quantile,0.25,170
2021-06-14,2 wk ahead inc death,2021-06-26,PL,quantile,0.3,171
2021-06-14,2 wk ahead inc death,2021-06-26,PL,quantile,0.35,172
2021-06-14,2 wk ahead inc death,2021-06-26,PL,quantile,0.4,173
2021-06-14,2 wk ahead inc death,2021-06-26,PL,quantile,0.45,174
2021-06-14,2 wk ahead inc death,2021-06-26,PL,quantile,0.5,175
2021-06-14,2 wk ahead inc death,2021-06-26,PL,quantile,0.55,176
2021-06-14,2 wk ahead inc death,2021-06-26,PL,quantile,0.6,177
2021-06-14,2 wk ahead inc death,2021-06-26,PL,quantile,0.65,178
2021-06-14,2 wk ahead inc death,2021-06-26,PL,quantile,0.7,180
2021-06-14,2 wk ahead inc death,2021-06-26,PL,quantile,0.75,181
