forecast_date,target,target_end_date,location,type,quantile,value
2021-03-15,1 wk ahead inc death,2021-03-20,DE,point,NA,1538
2021-03-15,1 wk ahead inc death,2021-03-20,DE,quantile,0.01,38
2021-03-15,1 wk ahead inc death,2021-03-20,DE,quantile,0.025,274
2021-03-15,1 wk ahead inc death,2021-03-20,DE,quantile,0.05,477
2021-03-15,1 wk ahead inc death,2021-03-20,DE,quantile,0.1,711
2021-03-15,1 wk ahead inc death,2021-03-20,DE,quantile,0.15,870
2021-03-15,1 wk ahead inc death,2021-03-20,DE,quantile,0.2,995
2021-03-15,1 wk ahead inc death,2021-03-20,DE,quantile,0.25,1103
2021-03-15,1 wk ahead inc death,2021-03-20,DE,quantile,0.3,1200
2021-03-15,1 wk ahead inc death,2021-03-20,DE,quantile,0.35,1289
2021-03-15,1 wk ahead inc death,2021-03-20,DE,quantile,0.4,1375
2021-03-15,1 wk ahead inc death,2021-03-20,DE,quantile,0.45,1457
2021-03-15,1 wk ahead inc death,2021-03-20,DE,quantile,0.5,1538
2021-03-15,1 wk ahead inc death,2021-03-20,DE,quantile,0.55,1619
2021-03-15,1 wk ahead inc death,2021-03-20,DE,quantile,0.6,1701
2021-03-15,1 wk ahead inc death,2021-03-20,DE,quantile,0.65,1787
2021-03-15,1 wk ahead inc death,2021-03-20,DE,quantile,0.7,1876
2021-03-15,1 wk ahead inc death,2021-03-20,DE,quantile,0.75,1973
2021-03-15,1 wk ahead inc death,2021-03-20,DE,quantile,0.8,2081
2021-03-15,1 wk ahead inc death,2021-03-20,DE,quantile,0.85,2206
2021-03-15,1 wk ahead inc death,2021-03-20,DE,quantile,0.9,2365
2021-03-15,1 wk ahead inc death,2021-03-20,DE,quantile,0.95,2599
2021-03-15,1 wk ahead inc death,2021-03-20,DE,quantile,0.975,2802
2021-03-15,1 wk ahead inc death,2021-03-20,DE,quantile,0.99,3038
2021-03-15,2 wk ahead inc death,2021-03-27,DE,point,NA,1673
2021-03-15,2 wk ahead inc death,2021-03-27,DE,quantile,0.01,0
2021-03-15,2 wk ahead inc death,2021-03-27,DE,quantile,0.025,0
2021-03-15,2 wk ahead inc death,2021-03-27,DE,quantile,0.05,173
2021-03-15,2 wk ahead inc death,2021-03-27,DE,quantile,0.1,504
2021-03-15,2 wk ahead inc death,2021-03-27,DE,quantile,0.15,728
2021-03-15,2 wk ahead inc death,2021-03-27,DE,quantile,0.2,905
2021-03-15,2 wk ahead inc death,2021-03-27,DE,quantile,0.25,1058
2021-03-15,2 wk ahead inc death,2021-03-27,DE,quantile,0.3,1195
2021-03-15,2 wk ahead inc death,2021-03-27,DE,quantile,0.35,1322
2021-03-15,2 wk ahead inc death,2021-03-27,DE,quantile,0.4,1442
2021-03-15,2 wk ahead inc death,2021-03-27,DE,quantile,0.45,1558
2021-03-15,2 wk ahead inc death,2021-03-27,DE,quantile,0.5,1673
2021-03-15,2 wk ahead inc death,2021-03-27,DE,quantile,0.55,1788
2021-03-15,2 wk ahead inc death,2021-03-27,DE,quantile,0.6,1904
2021-03-15,2 wk ahead inc death,2021-03-27,DE,quantile,0.65,2024
2021-03-15,2 wk ahead inc death,2021-03-27,DE,quantile,0.7,2151
2021-03-15,2 wk ahead inc death,2021-03-27,DE,quantile,0.75,2288
2021-03-15,2 wk ahead inc death,2021-03-27,DE,quantile,0.8,2441
2021-03-15,2 wk ahead inc death,2021-03-27,DE,quantile,0.85,2618
2021-03-15,2 wk ahead inc death,2021-03-27,DE,quantile,0.9,2842
2021-03-15,2 wk ahead inc death,2021-03-27,DE,quantile,0.95,3173
2021-03-15,2 wk ahead inc death,2021-03-27,DE,quantile,0.975,3461
2021-03-15,2 wk ahead inc death,2021-03-27,DE,quantile,0.99,3795
2021-03-15,3 wk ahead inc death,2021-04-03,DE,point,NA,1508
2021-03-15,3 wk ahead inc death,2021-04-03,DE,quantile,0.01,0
2021-03-15,3 wk ahead inc death,2021-04-03,DE,quantile,0.025,0
2021-03-15,3 wk ahead inc death,2021-04-03,DE,quantile,0.05,0
2021-03-15,3 wk ahead inc death,2021-04-03,DE,quantile,0.1,76
2021-03-15,3 wk ahead inc death,2021-04-03,DE,quantile,0.15,350
2021-03-15,3 wk ahead inc death,2021-04-03,DE,quantile,0.2,568
2021-03-15,3 wk ahead inc death,2021-04-03,DE,quantile,0.25,755
2021-03-15,3 wk ahead inc death,2021-04-03,DE,quantile,0.3,922
2021-03-15,3 wk ahead inc death,2021-04-03,DE,quantile,0.35,1078
