forecast_date,target,target_end_date,location,type,quantile,value,scenario_id
2021-11-29,1 wk ahead inc case,2021-12-04,DE,point,,424702,forecast
2021-11-29,1 wk ahead inc case,2021-12-04,DE,quantile,0.01,230933,forecast
2021-11-29,1 wk ahead inc case,2021-12-04,DE,quantile,0.025,261450,forecast
2021-11-29,1 wk ahead inc case,2021-12-04,DE,quantile,0.05,287697,forecast
2021-11-29,1 wk ahead inc case,2021-12-04,DE,quantile,0.1,317957,forecast
2021-11-29,1 wk ahead inc case,2021-12-04,DE,quantile,0.15,338374,forecast
2021-11-29,1 wk ahead inc case,2021-12-04,DE,quantile,0.2,354600,forecast
2021-11-29,1 wk ahead inc case,2021-12-04,DE,quantile,0.25,368521,forecast
2021-11-29,1 wk ahead inc case,2021-12-04,DE,quantile,0.3,381023,forecast
2021-11-29,1 wk ahead inc case,2021-12-04,DE,quantile,0.35,392607,forecast
2021-11-29,1 wk ahead inc case,2021-12-04,DE,quantile,0.4,403600,forecast
2021-11-29,1 wk ahead inc case,2021-12-04,DE,quantile,0.45,414235,forecast
2021-11-29,1 wk ahead inc case,2021-12-04,DE,quantile,0.5,424702,forecast
2021-11-29,1 wk ahead inc case,2021-12-04,DE,quantile,0.55,435169,forecast
2021-11-29,1 wk ahead inc case,2021-12-04,DE,quantile,0.6,445804,forecast
2021-11-29,1 wk ahead inc case,2021-12-04,DE,quantile,0.65,456797,forecast
2021-11-29,1 wk ahead inc case,2021-12-04,DE,quantile,0.7,468381,forecast
2021-11-29,1 wk ahead inc case,2021-12-04,DE,quantile,0.75,480883,forecast
2021-11-29,1 wk ahead inc case,2021-12-04,DE,quantile,0.8,494804,forecast
2021-11-29,1 wk ahead inc case,2021-12-04,DE,quantile,0.85,511030,forecast
2021-11-29,1 wk ahead inc case,2021-12-04,DE,quantile,0.9,531447,forecast
2021-11-29,1 wk ahead inc case,2021-12-04,DE,quantile,0.95,561707,forecast
2021-11-29,1 wk ahead inc case,2021-12-04,DE,quantile,0.975,587954,forecast
2021-11-29,1 wk ahead inc case,2021-12-04,DE,quantile,0.99,618471,forecast
2021-11-29,2 wk ahead inc case,2021-12-11,DE,point,,383021,forecast
2021-11-29,2 wk ahead inc case,2021-12-11,DE,quantile,0.01,108990,forecast
2021-11-29,2 wk ahead inc case,2021-12-11,DE,quantile,0.025,152148,forecast
2021-11-29,2 wk ahead inc case,2021-12-11,DE,quantile,0.05,189266,forecast
2021-11-29,2 wk ahead inc case,2021-12-11,DE,quantile,0.1,232061,forecast
