forecast_date,target,target_end_date,location,type,quantile,value
2022-04-11,1 wk ahead inc death,2022-04-16,DE,point,NA,1564
2022-04-11,1 wk ahead inc death,2022-04-16,DE,quantile,0.01,400
2022-04-11,1 wk ahead inc death,2022-04-16,DE,quantile,0.025,400
2022-04-11,1 wk ahead inc death,2022-04-16,DE,quantile,0.05,576
2022-04-11,1 wk ahead inc death,2022-04-16,DE,quantile,0.1,794
2022-04-11,1 wk ahead inc death,2022-04-16,DE,quantile,0.15,942
2022-04-11,1 wk ahead inc death,2022-04-16,DE,quantile,0.2,1059
2022-04-11,1 wk ahead inc death,2022-04-16,DE,quantile,0.25,1159
2022-04-11,1 wk ahead inc death,2022-04-16,DE,quantile,0.3,1249
2022-04-11,1 wk ahead inc death,2022-04-16,DE,quantile,0.35,1333
2022-04-11,1 wk ahead inc death,2022-04-16,DE,quantile,0.4,1412
2022-04-11,1 wk ahead inc death,2022-04-16,DE,quantile,0.45,1489
2022-04-11,1 wk ahead inc death,2022-04-16,DE,quantile,0.5,1564
2022-04-11,1 wk ahead inc death,2022-04-16,DE,quantile,0.55,1639
2022-04-11,1 wk ahead inc death,2022-04-16,DE,quantile,0.6,1716
2022-04-11,1 wk ahead inc death,2022-04-16,DE,quantile,0.65,1795
2022-04-11,1 wk ahead inc death,2022-04-16,DE,quantile,0.7,1879
2022-04-11,1 wk ahead inc death,2022-04-16,DE,quantile,0.75,1969
2022-04-11,1 wk ahead inc death,2022-04-16,DE,quantile,0.8,2069
2022-04-11,1 wk ahead inc death,2022-04-16,DE,quantile,0.85,2186
2022-04-11,1 wk ahead inc death,2022-04-16,DE,quantile,0.9,2334
2022-04-11,1 wk ahead inc death,2022-04-16,DE,quantile,0.95,2552
2022-04-11,1 wk ahead inc death,2022-04-16,DE,quantile,0.975,2741
2022-04-11,1 wk ahead inc death,2022-04-16,DE,quantile,0.99,2961
2022-04-11,2 wk ahead inc death,2022-04-23,DE,point,NA,1468
2022-04-11,2 wk ahead inc death,2022-04-23,DE,quantile,0.01,400
2022-04-11,2 wk ahead inc death,2022-04-23,DE,quantile,0.025,400
2022-04-11,2 wk ahead inc death,2022-04-23,DE,quantile,0.05,400
2022-04-11,2 wk ahead inc death,2022-04-23,DE,quantile,0.1,400
2022-04-11,2 wk ahead inc death,2022-04-23,DE,quantile,0.15,588
2022-04-11,2 wk ahead inc death,2022-04-23,DE,quantile,0.2,753
2022-04-11,2 wk ahead inc death,2022-04-23,DE,quantile,0.25,895
2022-04-11,2 wk ahead inc death,2022-04-23,DE,quantile,0.3,1023
2022-04-11,2 wk ahead inc death,2022-04-23,DE,quantile,0.35,1141
2022-04-11,2 wk ahead inc death,2022-04-23,DE,quantile,0.4,1253
2022-04-11,2 wk ahead inc death,2022-04-23,DE,quantile,0.45,1361
2022-04-11,2 wk ahead inc death,2022-04-23,DE,quantile,0.5,1468
2022-04-11,2 wk ahead inc death,2022-04-23,DE,quantile,0.55,1575
2022-04-11,2 wk ahead inc death,2022-04-23,DE,quantile,0.6,1683
2022-04-11,2 wk ahead inc death,2022-04-23,DE,quantile,0.65,1795
2022-04-11,2 wk ahead inc death,2022-04-23,DE,quantile,0.7,1913
2022-04-11,2 wk ahead inc death,2022-04-23,DE,quantile,0.75,2041
2022-04-11,2 wk ahead inc death,2022-04-23,DE,quantile,0.8,2183
2022-04-11,2 wk ahead inc death,2022-04-23,DE,quantile,0.85,2348
2022-04-11,2 wk ahead inc death,2022-04-23,DE,quantile,0.9,2556
2022-04-11,2 wk ahead inc death,2022-04-23,DE,quantile,0.95,2865
2022-04-11,2 wk ahead inc death,2022-04-23,DE,quantile,0.975,3133
2022-04-11,2 wk ahead inc death,2022-04-23,DE,quantile,0.99,3444
2022-04-11,3 wk ahead inc death,2022-04-30,DE,point,NA,1208
2022-04-11,3 wk ahead inc death,2022-04-30,DE,quantile,0.01,400
2022-04-11,3 wk ahead inc death,2022-04-30,DE,quantile,0.025,400
2022-04-11,3 wk ahead inc death,2022-04-30,DE,quantile,0.05,400
